,2019-02-15
1 hr,42.90273333333334
1 min,43.06
1.5 hr,42.801766666666666
10 day,36.797000000000004
10 min,42.988
100 day,35.4229
125 day,35.24792
15 min,42.98266666666667
150 day,34.40826666666668
175 day,33.80954285714287
2 day,42.1
2 hr,42.73328333333334
2.5 hr,42.69689333333334
20 day,35.998000000000005
20 min,42.961999999999996
200 day,33.15850000000001
25 min,42.931
3 hr,42.729311111111116
3.5 hr,42.77450476190478
30 day,35.37
30 min,42.90749999999999
4 hr,42.78035000000003
4.5 hr,42.75270000000002
40 day,34.56
45 min,42.9137111111111
5 day,38.056000000000004
5 hr,42.718290000000025
5 min,43.023
5.5 hr,42.67882424242426
50 day,34.6982
50 min,42.91273999999999
55 min,42.91207272727272
6 hr,42.64294444444446
6.5 hr,42.564107692307694
60 day,35.21399999999999
70 day,35.69942857142857
80 day,35.636125
90 day,35.349
Tomorrow,NULL
