,2018-12-13,2018-12-17,2018-12-19,2018-12-20,2019-01-03,2019-01-04,2019-01-11,2019-01-30
1 hr,12.967233333333342,12.505866666666673,12.124749999999997,12.218083333333333,11.821466666666675,11.93441666666668,12.693983333333335,13.576116666666673
1 min,12.95,12.41,12.1,12.18,11.82,11.9,12.73,13.57
1.5 hr,12.987455555555556,12.538900000000002,12.175122222222214,12.206788888888891,11.828166666666677,11.93357777777779,12.68756666666667,13.585133333333333
10 day,13.061030000000002,12.89898,12.621440000000002,12.472,11.467600000000001,11.447220000000002,11.811130000000002,12.886429999999999
10 min,12.95,12.428100000000002,12.126999999999999,12.1802,11.828,11.917,12.714500000000001,13.534999999999997
100 day,16.075350999999998,15.991281999999996,15.901728999999998,15.853686999999997,15.380740999999999,15.326379,15.053329999999999,14.432631
125 day,16.222323999999997,16.161079999999995,16.0887976,16.048287199999997,15.699011199999998,15.652396799999996,15.456403999999996,15.085484000000001
15 min,12.950533333333333,12.416800000000002,12.127999999999997,12.189066666666665,11.836133333333333,11.921800000000001,12.7146,13.54533333333333
150 day,16.15925933333333,16.12250933333333,16.083982,16.063643999999996,15.835415333333328,15.803249333333326,15.665773999999987,15.375851999999993
175 day,15.882117714285721,15.86162628571429,15.838398857142865,15.82779771428572,15.716992000000001,15.704738285714287,15.645318857142847,15.496421714285706
2 day,12.6884,12.397300000000001,12.004249999999999,11.79075,11.3589,11.5093,12.348749999999999,13.485
2 hr,12.995408333333334,12.541949999999995,12.210741666666648,12.176233333333329,11.835483333333324,11.930350000000026,12.673008333333325,13.596100000000005
2.5 hr,13.006493333333328,12.556306666666655,12.24221999999998,12.18802,11.83555999999998,11.927280000000032,12.676860000000001,13.587833333333334
20 day,13.241535000000002,13.021735000000001,12.872290000000003,12.802905,12.122155000000001,12.03433,11.846070000000001,12.442910000000001
20 min,12.950799999999997,12.414350000000002,12.115249999999998,12.20175,11.8316,11.921199999999999,12.708450000000001,13.551999999999998
200 day,15.682390500000004,15.667127000000002,15.643775000000005,15.630070000000005,15.502655500000003,15.488589000000005,15.445327499999998,15.3668055
25 min,12.951399999999996,12.42528,12.114399999999998,12.216,11.827480000000001,11.923159999999998,12.70392,13.555719999999997
3 hr,13.011711111111111,12.55990555555555,12.268861111111098,12.20350555555556,11.828055555555537,11.942311111111138,12.68262222222222,13.585938888888897
3.5 hr,13.009833333333333,12.575566666666658,12.29385714285713,12.214323809523824,11.830009523809512,11.958790476190508,12.685676190476187,13.592314285714295
30 day,14.027260000000002,13.80633,13.564370000000002,13.443713333333335,12.455493333333331,12.397266666666665,12.268523333333333,12.170213333333331
30 min,12.955199999999996,12.436366666666666,12.1151,12.226499999999996,11.831266666666668,11.92613333333333,12.699600000000002,13.558266666666663
4 hr,13.004937499999988,12.611404166666665,12.308324999999991,12.220587500000024,11.835416666666658,11.973050000000038,12.689437499999995,13.599875000000006
4.5 hr,13.003840740740728,12.646411111111108,12.319911111111105,12.22938518518521,11.845577777777768,11.983418518518562,12.69418888888888,13.597085185185197
40 day,14.517659999999998,14.3399825,14.1431275,14.042935000000003,13.141829999999999,13.035082499999998,12.613672499999998,12.385155
45 min,12.96468888888889,12.473733333333335,12.118177777777777,12.23051111111111,11.825288888888892,11.928111111111113,12.692355555555555,13.56811111111111
5 day,12.819400000000002,12.602039999999999,12.27404,12.124600000000001,11.400640000000001,11.40646,12.215799999999998,13.197999999999999
5 hr,13.007146666666664,12.673386666666662,12.330573333333327,12.241510000000023,11.849499999999992,12.00047333333337,12.699209999999983,13.590566666666684
5 min,12.952000000000002,12.43,12.126,12.1738,11.809000000000001,11.922,12.725999999999999,13.550999999999998
5.5 hr,13.014269696969691,12.6962606060606,12.34157878787878,12.254712121212142,11.849187878787873,12.016887878787909,12.703254545454527,13.585075757575781
50 day,14.777361999999998,14.642428,14.488738000000001,14.403844000000001,13.687634000000003,13.603946000000002,13.220386000000003,12.55779
50 min,12.964900000000005,12.486540000000005,12.119459999999998,12.227459999999999,11.824760000000008,11.930500000000006,12.691419999999995,13.570800000000002
55 min,12.965618181818188,12.496763636363642,12.120436363636362,12.221545454545451,11.82232727272728,11.932454545454556,12.692436363636363,13.571909090909095
6 hr,13.027494444444438,12.716166666666663,12.361086111111106,12.255877777777787,11.843230555555548,12.023819444444474,12.706397222222199,13.571155555555578
6.5 hr,13.04002564102563,12.740728205128201,12.37694615384616,12.246846153846162,11.832294871794856,12.017984615384641,12.709656410256393,13.55629743589746
60 day,15.08389333333333,14.927351666666665,14.767033333333332,14.687911666666668,14.056141666666669,13.981818333333337,13.68384166666667,13.051348333333335
70 day,15.477612857142857,15.316067142857138,15.15060714285714,15.063414285714284,14.365557142857144,14.292774285714287,13.991305714285717,13.466448571428574
80 day,15.787124999999998,15.645536249999996,15.500047499999997,15.425176249999996,14.766423749999998,14.68768375,14.334278750000001,13.760401250000005
90 day,15.989605555555553,15.873232222222216,15.757396666666665,15.696218888888886,15.119197777777776,15.049733333333332,14.727904444444446,14.065001111111116
Tomorrow,12.7515,12.2469,11.8199,11.5287,11.5578,11.849,12.3536,13.77
