,2018-12-17,2018-12-20,2018-12-21,2018-12-26,2018-12-31,2019-01-02,2019-01-09,2019-01-11,2019-01-18,2019-01-22,2019-01-25,2019-02-06,2019-02-11
1 hr,85.66821666666665,83.9207,81.70125000000003,81.62853333333331,83.90538333333332,83.88586666666669,87.17621666666668,87.67121666666668,91.43395000000004,89.64831666666664,93.56773333333331,99.61805000000001,98.97326666666666
1 min,85.64,83.72,80.8,82.78,84.31,84.05,86.96,87.71,91.49,89.82,93.55,99.76,98.85
1.5 hr,85.80141111111108,83.93223333333336,81.87041111111111,81.36357777777775,83.84842222222223,84.04576666666665,87.20246666666668,87.68685555555558,91.38683333333339,89.68944444444445,93.57483333333332,99.54146666666671,98.95695555555554
10 day,89.21000000000001,87.204,86.50199999999998,84.86399999999999,83.30600000000001,83.148,84.179,85.12899999999999,87.98100000000001,88.384,89.79100000000001,94.35399999999998,96.366
10 min,85.513,83.56300000000002,81.2785,82.495,83.8458,83.98420000000002,86.9145,87.7,91.3235,89.6049,93.55659999999999,99.7465,98.96899999999998
100 day,93.21459999999999,92.99879999999999,92.9125,92.72869999999999,92.4787,92.39040000000001,91.9721,91.85979999999999,91.46480000000001,91.34140000000005,91.03030000000003,90.46020000000003,90.37160000000003
125 day,92.40584,92.2924,92.24664,92.17504,92.12832,92.11055999999999,91.96503999999999,91.90616,91.79784,91.78144000000002,91.75480000000002,92.00040000000003,92.13568000000002
15 min,85.45373333333333,83.62700000000001,81.39893333333333,82.356,83.87586666666667,83.95013333333334,86.96166666666666,87.69933333333334,91.35066666666667,89.6572,93.56173333333331,99.76099999999998,98.97
150 day,91.93480000000001,91.84793333333333,91.79160000000002,91.68046666666666,91.57320000000001,91.54833333333333,91.40713333333335,91.367,91.3152,91.31000000000003,91.34306666666669,91.78813333333335,92.02226666666668
175 day,91.0948,91.11314285714286,91.09588571428573,91.04645714285715,91.03662857142858,91.04491428571428,91.04457142857143,91.06428571428572,91.07782857142858,91.0698285714286,91.10057142857146,91.3609142857143,91.5517142857143
2 day,86.64,83.91,82.25,81.015,83.94,84.145,86.53,87.76499999999999,90.315,90.64,92.485,99.225,99.14500000000001
2 hr,85.87239166666663,83.73391666666672,82.00438333333335,81.28132499999995,83.83264166666669,84.13666666666667,87.21712500000007,87.66472499999996,91.38917500000001,89.82042500000009,93.59270833333332,99.50426666666668,98.95905833333326
2.5 hr,85.94041333333332,83.6420533333334,82.13677333333334,81.19269999999997,83.88999333333336,84.2226333333333,87.23951333333335,87.57545333333329,91.38946000000004,89.89164666666673,93.60112666666666,99.48067333333334,98.93045999999994
20 day,88.62700000000001,88.25000000000001,87.95700000000001,87.364,86.5735,86.179,84.8355,84.67049999999999,85.326,85.6305,87.2365,91.563,93.27550000000001
20 min,85.4503,83.71825000000001,81.42544999999998,82.24099999999999,83.91664999999999,83.88760000000002,87.00399999999999,87.69875000000002,91.38425,89.7184,93.56029999999997,99.7494,98.95500000000001
200 day,90.3567,90.32880000000002,90.28960000000002,90.20565000000002,90.14060000000003,90.12020000000003,90.104,90.14609999999999,90.31994999999998,90.3541,90.5,90.91795000000002,91.14975000000003
25 min,85.4586,83.80500000000002,81.41087999999999,82.09399999999998,83.93655999999999,83.85768000000002,87.03487999999999,87.69460000000002,91.39059999999999,89.70436,93.55815999999999,99.73371999999999,98.94439999999999
3 hr,86.04080555555554,83.58421666666672,82.18545555555555,81.08866111111111,83.95434999999999,84.24577222222219,87.26383888888888,87.52328333333328,91.41671111111118,89.9562333333334,93.57199999999999,99.45340555555555,98.91841111111104
3.5 hr,86.14397619047621,83.53312857142863,82.18647619047623,81.03173333333334,83.97931904761904,84.19673333333327,87.28910476190471,87.50359047619041,91.45975714285724,90.03974761904765,93.55250952380955,99.39401904761904,98.94419523809513
30 day,89.46866666666666,88.92366666666666,88.50966666666666,87.65433333333333,87.051,86.80066666666667,86.486,86.49499999999998,86.20166666666668,86.15500000000002,86.44566666666667,88.84433333333331,90.56
30 min,85.46766666666667,83.84616666666669,81.45939999999997,81.99033333333328,83.95433333333332,83.82116666666668,87.06383333333332,87.67983333333336,91.39999999999999,89.69863333333333,93.55029999999998,99.7107,98.946
4 hr,86.31086250000001,83.47626666666673,82.20109583333335,80.97974583333328,83.99345,84.11317499999997,87.29466249999999,87.47932916666663,91.48703750000008,90.12918333333337,93.55626666666673,99.31744166666667,98.9718999999999
4.5 hr,86.40690740740743,83.43057777777781,82.28779629629635,80.8725703703703,83.97348518518515,84.06389629629628,87.29935925925922,87.46688148148145,91.4932074074075,90.21852592592599,93.5544444444445,99.27504814814817,98.9925851851851
40 day,89.31675,88.92075000000001,88.74674999999999,88.36874999999999,88.04074999999999,87.8885,87.0495,86.86049999999999,86.82475000000002,86.94025000000002,87.30025,88.25874999999999,88.97299999999998
45 min,85.57884444444446,83.91515555555557,81.54951111111112,81.80715555555551,83.934,83.83646666666668,87.13535555555555,87.6642888888889,91.42577777777777,89.68975555555556,93.56071111111109,99.66084444444445,98.97057777777779
5 day,88.28,85.352,83.982,82.13,82.63000000000001,83.59200000000001,84.766,86.86999999999998,89.09199999999998,89.56800000000001,91.24600000000001,96.83,99.038
5 hr,86.49685666666666,83.46256000000002,82.38973000000003,80.76053333333324,83.94167666666664,84.04350666666669,87.28247999999998,87.46909666666664,91.48125000000003,90.3026233333334,93.54573333333337,99.27064333333335,99.02277999999993
5 min,85.518,83.61,81.0596,82.742,83.92859999999999,83.99640000000001,86.878,87.73400000000001,91.35799999999999,89.56179999999999,93.548,99.71600000000001,98.91
5.5 hr,86.5537606060606,83.54991818181821,82.52611818181822,80.66604242424232,83.93404848484846,83.98408181818182,87.23181212121209,87.49737272727266,91.43974848484852,90.38534242424248,93.5156060606061,99.25266060606063,99.05649696969691
50 day,89.25900000000001,88.8218,88.7016,88.46479999999998,88.1734,88.08300000000001,87.62519999999999,87.6476,87.61600000000003,87.60640000000004,87.48719999999999,88.4894,89.2072
50 min,85.61946,83.92736000000002,81.59400000000001,81.76173999999996,83.9279,83.84922000000002,87.15090000000001,87.67006,91.43630000000002,89.67258,93.56413999999997,99.64576000000002,98.97032000000002
55 min,85.64423636363637,83.92123636363637,81.64845454545456,81.69185454545452,83.91265454545454,83.86267272727272,87.16278181818183,87.67405454545457,91.43558181818184,89.65334545454544,93.56550909090906,99.63187272727275,98.97220000000002
6 hr,86.56544166666669,83.62315000000001,82.6398166666667,80.61168611111103,83.95681666666665,83.90521666666665,87.19974444444442,87.50808611111106,91.33339722222226,90.45291666666672,93.46764722222227,99.19660277777777,99.06441111111107
6.5 hr,86.53803846153849,83.68933076923076,82.73952564102566,80.59194871794865,83.96852307692306,83.80976666666666,87.15331794871791,87.47672564102561,91.21805897435908,90.49000769230774,93.38736410256412,99.18165641025637,99.07145384615384
60 day,90.70816666666668,89.97483333333334,89.68816666666666,89.10099999999998,88.41683333333334,88.24050000000001,87.83933333333333,87.84816666666667,87.86733333333338,87.82400000000005,87.99133333333336,88.677,88.99883333333334
