,2018-12-14,2018-12-17,2018-12-20,2019-01-02,2019-01-08,2019-01-10,2019-01-23,2019-01-29
1 hr,44.144833333333345,43.552483333333335,43.32395,42.61105,42.70191666666666,42.78906666666668,41.73115,42.67666666666667
1 min,44.05,43.59,43.21,42.91,42.77,42.82,41.69,42.65
1.5 hr,44.12375555555556,43.613211111111106,43.35235555555557,42.62338888888888,42.640966666666685,42.77906666666669,41.74153333333333,42.689155555555566
10 day,44.381,44.20399999999999,43.944,42.789,42.602,42.769,42.076,41.864000000000004
10 min,44.105500000000006,43.525499999999994,43.17959999999999,42.716499999999996,42.7355,42.84000000000001,41.714,42.638999999999996
100 day,43.71709999999999,43.72089999999999,43.72560000000001,43.69359999999999,43.733099999999986,43.77239999999999,43.683,43.631700000000016
125 day,43.18991999999997,43.225359999999974,43.31599999999999,43.45519999999998,43.47079999999998,43.48695999999998,43.47351999999999,43.43368000000002
15 min,44.09926666666667,43.5076,43.20506666666666,42.69206666666666,42.73766666666667,42.83466666666668,41.725,42.63746666666667
150 day,42.44799999999997,42.48166666666664,42.576733333333316,42.764133333333305,42.869133333333295,42.92559999999997,43.074799999999975,43.141
175 day,41.83148457142855,41.858550285714266,41.93045257142855,42.09158171428569,42.19348171428569,42.25498799999997,42.455314285714266,42.53234285714285
2 day,44.47,43.815,43.295,43.135,42.495000000000005,42.79,41.555,42.28
2 hr,44.11997500000003,43.63574166666664,43.345575000000004,42.62383333333332,42.59802500000002,42.7796666666667,41.75090833333335,42.69557499999999
2.5 hr,44.12143333333337,43.65836666666666,43.363919999999986,42.64081999999998,42.578646666666685,42.758806666666686,41.74864666666666,42.682
20 day,44.641,44.59149999999999,44.34599999999999,43.4965,43.214999999999996,43.069500000000005,42.339,42.24150000000001
20 min,44.09895000000001,43.50445,43.2371,42.66435,42.742450000000005,42.83485000000001,41.73325,42.6496
200 day,41.373349999999974,41.404041999999976,41.48416949999998,41.623250499999976,41.709789499999985,41.75945849999998,41.914948999999986,41.972395999999996
25 min,44.102360000000004,43.49928,43.26464,42.64648000000001,42.74628,42.83064000000001,41.731,42.66088
3 hr,44.12757222222225,43.681605555555535,43.37003333333332,42.65367777777775,42.57218333333335,42.74452222222223,41.73195555555555,42.66656666666667
3.5 hr,44.140333333333345,43.699028571428556,43.37851904761902,42.64808571428568,42.57348095238098,42.746738095238115,41.70963333333333,42.6597238095238
30 day,44.73333333333333,44.68166666666665,44.55633333333332,43.99066666666667,43.683,43.54633333333334,42.83533333333334,42.46933333333334
30 min,44.110166666666686,43.5007,43.28306666666666,42.63196666666667,42.74439999999999,42.82603333333334,41.72916666666667,42.66906666666667
4 hr,44.13985833333333,43.73290833333331,43.3700208333333,42.63847499999996,42.57304583333339,42.74307916666667,41.687091666666696,42.657904166666654
4.5 hr,44.13649629629631,43.754977777777746,43.366966666666634,42.6489444444444,42.5696444444445,42.75031111111111,41.67665555555558,42.6500148148148
40 day,44.45349999999999,44.43174999999999,44.33874999999999,44.208499999999994,43.99249999999999,43.86775,43.28125000000001,42.97225000000001
45 min,44.13786666666669,43.51893333333332,43.332533333333345,42.623955555555554,42.733422222222224,42.812577777777776,41.729088888888896,42.682533333333346
5 day,44.516,44.397999999999996,43.486000000000004,42.858000000000004,42.622,42.678,41.769999999999996,41.834
5 hr,44.138600000000004,43.76737999999997,43.375473333333325,42.66319999999995,42.58088333333337,42.75298666666666,41.678536666666695,42.640690000000006
5 min,44.108,43.54299999999999,43.1912,42.769,42.764,42.85000000000001,41.688,42.637
5.5 hr,44.13796666666669,43.77211212121208,43.38715757575756,42.669151515151476,42.58475454545458,42.748981818181804,41.68247878787882,42.638236363636366
50 day,44.312999999999995,44.30259999999999,44.28479999999999,44.10319999999999,43.99279999999999,43.99079999999999,43.60920000000001,43.35860000000002
50 min,44.14398000000002,43.530379999999994,43.33988,42.617059999999995,42.725880000000004,42.80460000000001,41.726980000000005,42.68082000000001
55 min,44.144181818181835,43.5418909090909,43.33280000000001,42.61287272727273,42.71343636363636,42.79550909090909,41.728163636363625,42.67845454545456
6 hr,44.143694444444456,43.7837833333333,43.40293333333332,42.68413888888885,42.58968888888892,42.739941666666645,41.696694444444475,42.63539166666666
6.5 hr,44.14084358974362,43.792038461538425,43.41569230769229,42.6999538461538,42.59481282051284,42.73252564102563,41.7078948717949,42.63046923076924
60 day,44.307833333333335,44.29833333333333,44.28399999999999,44.05033333333331,43.981499999999976,43.96499999999998,43.67333333333333,43.61250000000002
70 day,44.15657142857143,44.17714285714286,44.214285714285715,44.082714285714275,44.01542857142855,43.95928571428569,43.709285714285706,43.612142857142864
80 day,44.035,44.039249999999996,44.035,44.003624999999985,43.999999999999986,43.96724999999999,43.77299999999999,43.62875
90 day,43.782000000000004,43.794111111111114,43.84744444444444,43.90033333333332,43.86155555555555,43.84122222222221,43.78622222222222,43.69333333333334
Tomorrow,43.58,43.21,42.32,42.44,42.75,42.44,41.22,43.02
