,2019-02-15
1 hr,4.3288833333333345
1 min,4.39
1.5 hr,4.33677777777778
10 day,2.23067
10 min,4.3057
100 day,1.8903410000000007
125 day,2.147754400000001
15 min,4.300933333333333
150 day,2.2124633333333343
175 day,2.0772868571428575
2 day,4.6
2 hr,4.350275000000002
2.5 hr,4.379400000000001
20 day,1.7602900000000001
20 min,4.30335
200 day,1.9956125000000007
25 min,4.307320000000001
3 hr,4.398372222222224
3.5 hr,4.420533333333334
30 day,1.6375633333333333
30 min,4.308766666666667
4 hr,4.461804166666667
4.5 hr,4.494137037037037
40 day,1.5138725000000002
45 min,4.312866666666668
5 day,3.2255399999999996
5 hr,4.52415666666667
5 min,4.3382
5.5 hr,4.541784848484853
50 day,1.4503060000000003
50 min,4.317540000000001
55 min,4.326745454545456
6 hr,4.543758333333337
6.5 hr,4.544866666666671
60 day,1.4467200000000002
70 day,1.517974285714286
80 day,1.701727500000001
90 day,1.8094466666666675
Tomorrow,NULL
