,2019-02-05,2019-02-06,2019-02-07,2019-02-08,2019-02-12
1 hr,13.125083333333329,12.277883333333332,10.851666666666677,10.700966666666671,11.213233333333338
1 min,13.18,12.37,10.92,10.7,11.21
1.5 hr,13.14574444444445,12.264533333333333,10.849188888888891,10.722855555555562,11.175722222222227
10 day,11.690000000000001,11.823,11.829,11.800999999999998,11.803999999999998
10 min,13.101400000000002,12.372000000000002,10.966,10.7065,11.207899999999999
100 day,12.543750000000005,12.495850000000004,12.437850000000003,12.378350000000003,12.30725
125 day,13.807400000000008,13.753160000000008,13.695400000000006,13.647480000000007,13.539880000000005
15 min,13.1046,12.381933333333334,10.969266666666668,10.696533333333331,11.191933333333333
150 day,13.595166666666673,13.600900000000008,13.595366666666672,13.588566666666674,13.588900000000004
175 day,13.192485714285725,13.191114285714297,13.184200000000011,13.17482857142858,13.167800000000009
2 day,13.11,12.77,11.645,10.809999999999999,11.11
2 hr,13.182916666666667,12.223316666666655,10.819383333333342,10.70625833333333,11.155933333333328
2.5 hr,13.213393333333332,12.201519999999983,10.794826666666676,10.679693333333327,11.186426666666664
20 day,11.4595,11.536,11.536,11.537999999999998,11.530999999999999
20 min,13.108349999999998,12.367750000000003,10.957500000000001,10.697999999999999,11.1951
200 day,13.174375000000008,13.167925000000011,13.156525000000013,13.147075000000012,13.123775000000009
25 min,13.1078,12.347760000000001,10.9246,10.704839999999999,11.202519999999998
3 hr,13.261477777777774,12.18911111111109,10.77911111111112,10.661666666666656,11.22726666666667
3.5 hr,13.315690476190465,12.182947619047603,10.762157142857156,10.654176190476166,11.251704761904758
30 day,11.000666666666666,11.093666666666667,11.135666666666667,11.154999999999998,11.234999999999998
30 min,13.113366666666668,12.326400000000001,10.897333333333332,10.706700000000001,11.205566666666666
4 hr,13.359795833333324,12.182483333333316,10.743729166666673,10.649787499999976,11.267937499999997
4.5 hr,13.401725925925913,12.175144444444427,10.738307407407415,10.639255555555533,11.275737037037034
40 day,11.123249999999999,11.11975,11.077499999999999,11.041749999999997,10.98725
45 min,13.12231111111111,12.28468888888889,10.859488888888889,10.69335555555556,11.21868888888889
5 day,12.366,12.526,12.336000000000002,12.041999999999998,11.242
5 hr,13.440983333333328,12.174869999999979,10.750843333333341,10.62876999999998,11.29409999999999
5 min,13.132,12.3488,10.954,10.706,11.211
5.5 hr,13.467778787878778,12.186596969696954,10.770645454545459,10.633496969696953,11.304903030303018
50 day,11.321,11.315999999999999,11.2916,11.273399999999999,11.2488
50 min,13.126399999999997,12.28016,10.854840000000003,10.693380000000005,11.220320000000001
55 min,13.124509090909088,12.278781818181818,10.851581818181826,10.697327272727279,11.217927272727277
6 hr,13.479555555555544,12.177541666666652,10.768472222222226,10.625824999999987,11.314083333333322
6.5 hr,13.454020512820502,12.207664102564085,10.763917948717953,10.62081538461537,11.306576923076918
60 day,11.764666666666667,11.744166666666667,11.6915,11.631333333333334,11.547
70 day,11.889857142857144,11.892000000000001,11.869000000000002,11.849285714285715,11.821857142857144
80 day,12.004750000000001,11.992500000000001,11.964375000000002,11.941,11.895375000000001
90 day,12.284111111111113,12.262444444444448,12.223666666666668,12.164333333333335,12.089555555555554
Tomorrow,12.37,10.92,10.7,11.0,11.29
