,2018-12-20,2019-01-09,2019-01-24,2019-01-31,2019-02-08
1 hr,152.40156666666672,161.7137333333333,170.24568333333335,172.31364999999997,176.75090000000003
1 min,151.822,161.6,170.18,172.73,177.0
1.5 hr,152.37182222222228,161.6420444444444,170.2021888888889,172.52801111111106,176.81458888888892
10 day,158.33616999999998,156.073,163.65,168.01999999999998,174.596
10 min,151.7412,161.3825,170.18290000000002,172.647,176.66699999999997
100 day,173.96735099999995,170.30060499999993,168.29051699999988,167.4448489999999,167.0101869999999
125 day,175.40492559999998,173.04108639999995,171.5362615999999,171.02027759999987,170.5189127999999
15 min,151.88946666666666,161.41733333333335,170.1506,172.55066666666664,176.63400000000001
150 day,177.4998433333333,174.964714,173.17269799999994,172.77348599999993,172.7754686666666
175 day,177.18366742857137,175.95213542857135,175.23178628571424,174.91830399999995,174.62772857142855
2 day,152.49,159.625,165.58499999999998,172.73000000000002,177.105
2 hr,151.94390833333344,161.5974916666666,170.09947500000007,172.71655833333324,176.85500000000002
2.5 hr,151.83520000000016,161.60384000000002,169.95962666666676,172.82777333333325,176.71330000000003
20 day,161.43105999999997,156.10913500000004,159.8615,163.784,169.6585
20 min,152.0596,161.44265000000001,170.12575000000004,172.48299999999998,176.63250000000002
200 day,177.79246799999993,175.7504305,175.15670899999995,174.99528299999994,175.10295700000003
25 min,152.21847999999997,161.4796,170.10532000000003,172.47359999999998,176.64832
3 hr,151.7374055555557,161.67701666666667,169.86681666666667,172.96439444444434,176.5759277777778
3.5 hr,151.68754285714303,161.70654761904765,169.93975238095237,173.08871904761895,176.39156190476191
30 day,162.22319999999996,158.80331000000007,158.62275666666665,160.464,165.44266666666667
30 min,152.28676666666664,161.53296666666665,170.0974,172.43333333333328,176.6672666666667
4 hr,151.6578583333334,161.72874583333333,170.02372916666664,173.1815499999999,176.20333333333335
4.5 hr,151.7340555555556,161.6947185185185,170.07175185185181,173.22379259259247,176.01901111111113
40 day,162.1422825,159.55666000000002,160.01498249999997,160.80179499999997,162.95656249999996
45 min,152.43028888888887,161.66386666666662,170.18824444444442,172.2786444444444,176.75640000000004
5 day,156.4702,156.334,164.53799999999998,171.502,177.49599999999998
5 hr,151.8924766666667,161.6259533333333,170.02792666666667,173.19924666666654,175.9145333333333
5 min,151.7324,161.433,170.252,172.76999999999998,176.78000000000003
5.5 hr,152.10459090909094,161.52512727272725,170.00049696969702,173.1523545454544,175.8496969696969
50 day,163.40195599999996,160.54313400000004,160.37532799999997,161.21991999999997,163.15189199999998
50 min,152.44016,161.68747999999994,170.21712,172.26317999999995,176.76634
55 min,152.41414545454546,161.70225454545448,170.23765454545452,172.27761818181816,176.76230909090913
6 hr,152.32004166666675,161.50193611111112,169.96073055555556,173.0904777777777,175.76347777777772
6.5 hr,152.4579564102565,161.49312051282055,169.81188205128203,173.01607179487166,175.74373333333324
60 day,166.47932499999993,161.51694666666666,161.06094499999992,161.96251999999998,162.8701533333333
70 day,169.16582428571422,163.96509428571423,161.8216685714285,161.90661999999992,163.25153142857135
80 day,171.45577624999993,166.63526874999994,163.92570749999987,163.1083074999999,163.4748237499999
90 day,172.64141222222213,168.80612999999994,166.3035722222221,165.52643444444433,164.99053777777766
Tomorrow,149.38,163.08,173.79,174.76,177.82
