,2019-01-03,2019-01-04,2019-01-15
1 hr,37.310099999999984,37.4756,40.141866666666644
1 min,37.17,37.56,40.15
1.5 hr,37.32673333333333,37.489788888888896,40.11403333333333
10 day,36.891999999999996,36.781,38.578
10 min,37.2318,37.43,40.12579999999999
100 day,51.7747,51.5355,49.99579999999998
125 day,54.87068000000001,54.64340000000001,53.054199999999994
15 min,37.26566666666667,37.44333333333334,40.15206666666667
150 day,56.41436666666667,56.24136666666668,55.08716666666667
175 day,57.307971428571435,57.1751142857143,56.32997142857143
2 day,37.019999999999996,37.36,39.985
2 hr,37.31470833333332,37.43842500000001,40.11708333333333
2.5 hr,37.30745333333332,37.421326666666666,40.12775999999999
20 day,39.49749999999999,39.053,37.932
20 min,37.27900000000001,37.44375000000001,40.15605000000001
200 day,57.56427500000001,57.44057500000001,56.738274999999994
25 min,37.29140000000001,37.45764000000001,40.15308
3 hr,37.29903888888888,37.45361666666666,40.11952222222222
3.5 hr,37.31431428571428,37.48740952380951,40.12340476190476
30 day,41.846999999999994,41.559,39.90933333333333
30 min,37.313266666666664,37.452366666666684,40.14643333333333
4 hr,37.31311666666665,37.50624166666665,40.1421125
4.5 hr,37.30854444444444,37.51315185185183,40.13200740740742
40 day,43.07374999999999,42.84325,41.481249999999996
45 min,37.32179999999998,37.44457777777779,40.1362222222222
5 day,36.809999999999995,36.976,39.546
5 hr,37.25029333333333,37.523919999999976,40.11602666666666
5 min,37.183,37.462,40.104
5.5 hr,37.186245454545464,37.52872424242422,40.089475757575755
50 day,44.383599999999994,44.091800000000006,42.65559999999999
50 min,37.31861999999998,37.45612,40.14103999999998
55 min,37.31529090909089,37.46647272727272,40.14121818181816
6 hr,37.134638888888915,37.547513888888865,40.063208333333314
6.5 hr,37.100010256410286,37.5383205128205,40.047164102564075
60 day,45.88466666666667,45.609833333333334,43.951499999999996
70 day,47.57085714285715,47.24228571428572,45.339285714285715
80 day,49.329750000000004,49.025125,47.061375
90 day,50.72333333333333,50.45922222222222,48.68766666666666
Tomorrow,37.55,38.1,40.55
