,2019-01-03,2019-01-04,2019-01-07,2019-01-08,2019-01-11,2019-01-23,2019-01-31,2019-02-08,2019-02-11
1 hr,106.45210000000002,115.02786666666665,108.22599999999997,110.8052333333333,120.46646666666668,118.77718333333334,139.0891833333334,127.65566666666663,127.2939
1 min,106.73,115.41,110.0,110.95,120.35,118.81,139.71,127.894,127.0
1.5 hr,106.33617777777778,114.95704444444442,107.50294444444442,110.97089999999997,120.5641444444444,118.54464444444446,139.0514000000001,128.38303333333326,127.41917777777776
10 day,104.54999999999998,105.782,106.60499999999999,107.84899999999998,112.14699999999998,119.36300000000001,122.838,133.124,134.221
10 min,107.01820000000001,115.8606,110.3875,111.2515,120.51199999999999,118.79450000000001,139.709,127.3625,127.11309999999999
100 day,130.57400000000004,130.43300000000002,130.26120000000003,130.1219,129.80560000000003,128.91980000000004,127.94179999999999,127.43800000000002,127.18450000000003
125 day,130.39736000000002,130.20616,129.98264000000003,129.76584000000003,129.28024000000002,128.46304000000003,128.60616000000002,129.29952000000003,129.27928000000003
15 min,107.15246666666667,115.85260000000001,110.19933333333333,111.32433333333333,120.51166666666664,118.80566666666667,139.7120666666667,127.19513333333335,127.19033333333331
150 day,128.26133333333337,128.40520000000004,128.49966666666674,128.58606666666674,128.99526666666674,129.94353333333336,129.17280000000002,129.36473333333336,129.28253333333336
175 day,122.44085714285715,122.65588571428573,122.8334285714286,123.01862857142861,123.71177142857148,124.98177142857146,126.06394285714289,127.68137142857145,127.87080000000006
2 day,107.08500000000001,111.05000000000001,112.725,110.47999999999999,119.47999999999999,119.5,134.82,132.655,127.435
2 hr,106.51195833333331,114.8628333333333,106.995975,110.89471666666665,120.56292499999998,118.42471666666671,138.85575833333343,128.8914083333333,127.43764166666665
2.5 hr,106.65981333333329,114.84673333333328,106.61204666666663,110.59145333333332,120.47674666666668,118.50522666666676,138.58482000000004,129.1307666666667,127.44132666666663
20 day,112.672,112.30449999999999,111.526,111.00399999999999,110.05349999999999,113.60600000000002,119.0975,126.76500000000001,127.08650000000003
20 min,107.11344999999999,115.67620000000002,109.97850000000001,111.34074999999999,120.48225,118.80040000000001,139.68920000000006,127.15109999999997,127.21324999999999
200 day,116.79299999999999,116.96754999999999,117.11810000000001,117.28230000000002,117.88545000000003,119.54035000000002,120.88255000000001,122.66095000000001,122.90695000000004
25 min,107.04364000000001,115.44015999999999,109.77320000000002,111.24699999999997,120.50319999999999,118.80792000000001,139.63812000000004,127.09627999999996,127.25304
3 hr,106.73651666666665,114.82113888888883,106.55628888888887,110.32671666666673,120.35080555555558,118.428838888889,138.32075000000003,129.41791666666666,127.5860499999999
3.5 hr,106.83701904761905,114.7384428571428,106.45591904761908,110.20321904761911,120.21197142857146,118.4244142857144,137.9642761904762,129.71717142857142,127.79419523809514
30 day,116.30666666666666,116.27566666666665,116.03733333333334,115.83533333333334,115.33666666666666,113.79033333333335,114.29333333333335,121.45833333333334,122.1066666666667
30 min,106.95853333333336,115.30166666666665,109.47143333333335,111.16136666666665,120.51920000000001,118.81593333333333,139.5008666666667,127.05623333333331,127.27486666666667
4 hr,106.83330000000001,114.51138333333328,106.5426666666667,110.08167500000008,120.12998333333333,118.35208750000012,137.7062916666667,129.9065833333333,127.95029583333329
4.5 hr,106.84173703703703,114.11237037037034,106.77657407407408,109.82711111111115,120.13818148148147,118.38932592592603,137.58191851851856,130.10711851851843,128.04317777777774
40 day,118.90025,118.29775,117.61875,116.79075,116.15675000000002,116.71725,116.49225000000001,118.52325000000005,118.57000000000005
45 min,106.71173333333336,115.12193333333332,108.86026666666666,110.91702222222219,120.45037777777779,118.84704444444444,139.15611111111116,127.30824444444441,127.31351111111114
5 day,107.742,109.31800000000001,109.75,110.112,114.976,120.476,124.848,138.022,135.102
5 hr,106.84564666666665,113.81161666666664,107.27973333333333,109.60655333333335,120.12955333333333,118.59031000000003,137.52429999999995,130.3494633333332,128.2971666666666
5 min,106.79,115.84400000000001,110.41300000000001,111.24000000000001,120.50399999999999,118.76000000000002,139.74200000000002,127.5998,127.03320000000001
5.5 hr,106.82069999999995,113.54832727272724,108.45257878787875,109.44734848484846,120.13899393939393,118.83332424242425,137.3668666666666,130.61044545454533,128.49340303030303
50 day,121.13640000000001,120.79379999999999,120.3078,120.06580000000002,119.84940000000002,117.3052,117.67040000000001,119.96500000000006,120.03660000000005
50 min,106.61348000000004,115.09143999999998,108.67121999999998,110.84692,120.43706,118.80738,139.11954000000006,127.41581999999997,127.30972
55 min,106.52080000000002,115.07294545454545,108.42154545454542,110.78905454545453,120.44345454545456,118.78520000000002,139.10349090909097,127.54901818181817,127.2954909090909
6 hr,106.80438333333329,113.25158611111112,109.77947499999998,109.45056944444445,120.20942777777776,119.1440416666667,137.16486666666663,130.9775972222221,128.66191666666674
6.5 hr,106.82405897435889,112.96583589743597,110.74776666666664,109.51282051282053,120.13135128205124,119.35715384615392,136.90594358974354,131.30222307692293,128.78513846153848
60 day,122.94683333333336,122.686,122.36683333333335,122.17750000000002,121.67866666666669,119.94866666666668,119.62100000000002,119.69700000000005,119.80000000000004
70 day,126.8637142857143,126.32557142857142,125.68928571428572,125.00557142857144,123.35414285714288,121.77542857142858,120.94742857142857,121.77257142857145,121.91714285714292
80 day,129.70237500000002,129.39275,128.974375,128.47650000000002,127.20900000000002,124.30025,122.33899999999998,123.08487500000001,123.03062500000003
90 day,130.71522222222228,130.51733333333337,130.24600000000004,129.9816666666667,129.27633333333335,127.46388888888889,125.59255555555553,124.42533333333334,124.18355555555559
Tomorrow,115.43,110.02,110.94,114.96,118.6,121.02,139.65,127.0,132.91
