,2018-12-17,2018-12-19,2018-12-20,2018-12-26,2019-01-02,2019-01-03,2019-01-07,2019-01-22,2019-01-23,2019-01-25,2019-01-31,2019-02-01,2019-02-11,2019-02-13,2019-02-14,2019-02-15
1 hr,44.14525,44.765666666666675,43.47791666666668,44.17739999999999,44.36266666666667,43.24121666666666,45.731616666666675,48.3692,48.27943333333333,50.72048333333337,51.27925,52.01724999999999,53.756150000000005,55.58748333333332,56.22963333333334,59.83066666666668
1 min,44.27,44.55,43.64,44.61,44.4,43.36,45.71,48.45,48.33,50.68,51.48,51.96,53.74,55.43,56.35,59.86
1.5 hr,44.236044444444445,44.958877777777786,43.35626666666667,44.07498888888889,44.43192222222225,43.31664444444444,45.694799999999994,48.38309999999999,48.25195555555553,50.72606666666669,51.29523333333335,52.03132222222223,53.70782222222223,55.57066666666666,56.219322222222225,59.7068888888889
10 day,46.295,45.688,45.357000000000006,44.376,44.117999999999995,43.994,44.25000000000001,47.583999999999996,47.793,48.326,49.706999999999994,50.088,51.96600000000001,52.937,53.422000000000004,54.21099999999999
10 min,44.2158,44.647000000000006,43.538,44.485,44.35800000000001,43.331,45.754999999999995,48.38100000000001,48.326499999999996,50.70799999999999,51.35450000000001,51.99100000000001,53.792500000000004,55.4775,56.327,59.772000000000006
100 day,52.265261,52.057485000000014,51.96817400000002,51.64563700000001,51.215569,51.095643,50.899979,50.04564599999998,49.94670599999998,49.77784399999999,49.52672699999998,49.51390999999998,49.283615999999974,49.28195499999997,49.29416899999998,49.34357899999999
125 day,52.542332800000004,52.38600240000002,52.29748560000002,52.07941520000002,51.85316400000002,51.77724240000002,51.640332000000015,51.106015199999995,51.05597519999999,50.9645936,50.880559199999986,50.86282959999998,50.71673279999997,50.72067919999997,50.73615519999998,50.77452639999998
15 min,44.18353333333334,44.63866666666666,43.542666666666676,44.4376,44.333333333333336,43.32866666666667,45.75733333333333,48.3986,48.32646666666667,50.704,51.31366666666668,52.00599999999999,53.80533333333335,55.48833333333333,56.27833333333332,59.826666666666675
150 day,52.28825133333334,52.23419466666669,52.19651866666669,52.06225000000002,51.93014800000002,51.88868066666668,51.81706000000001,51.51881666666666,51.478711999999994,51.420506666666675,51.349548,51.35477933333333,51.356590666666655,51.378489999999985,51.39816599999999,51.43426333333333
175 day,51.87657542857143,51.825974285714295,51.78861714285715,51.65879542857144,51.531172571428584,51.494491428571436,51.45018800000002,51.38055314285716,51.37687942857144,51.39749771428572,51.42845028571428,51.443585714285696,51.53088857142853,51.5814491428571,51.60691657142853,51.65118799999996
2 day,45.010000000000005,44.595,44.114999999999995,43.1,44.765,43.894999999999996,45.394999999999996,48.645,48.39,50.08,51.265,51.730000000000004,53.34,55.385,55.89,58.1
2 hr,44.27861666666664,45.10453333333334,43.16790833333336,43.99176666666666,44.479691666666696,43.377775,45.690849999999976,48.41292499999997,48.25078333333332,50.71726666666668,51.31518333333336,52.05728333333332,53.681599999999996,55.54508333333331,56.19958333333333,59.62766666666669
2.5 hr,44.29607333333331,45.25884,43.07658666666668,43.89932666666665,44.53207333333335,43.40384666666665,45.69923333333332,48.42853999999996,48.245099999999994,50.71424666666664,51.328260000000014,52.08682666666665,53.656900000000014,55.551513333333325,56.17043333333333,59.59866666666669
20 day,46.38848,46.21716000000001,46.16087,45.741730000000004,45.2065,44.926,44.8035,45.916999999999994,46.2115,46.9095,48.081,48.511,50.30150000000001,51.143,51.56450000000001,52.1495
20 min,44.1654,44.628499999999995,43.557500000000005,44.39970000000001,44.313,43.30550000000001,45.75599999999999,48.43745,48.32555000000001,50.6945,51.297250000000005,52.019249999999985,53.80775000000002,55.50854999999998,56.25785,59.82750000000001
200 day,51.80427099999999,51.73565249999999,51.692611,51.55930399999999,51.41736750000001,51.3748675,51.302053500000014,51.129418500000014,51.13053500000001,51.146833500000014,51.163065,51.16789599999999,51.23976499999997,51.29666849999998,51.33121449999998,51.38166799999998
