,2018-12-12,2018-12-13,2018-12-14,2018-12-18,2018-12-19,2018-12-20,2018-12-21,2019-01-03,2019-01-04,2019-01-07,2019-01-08,2019-01-09,2019-01-11,2019-01-18,2019-01-22,2019-01-23,2019-01-25,2019-01-29,2019-01-30,2019-01-31,2019-02-01,2019-02-04,2019-02-06,2019-02-11,2019-02-12
1 hr,32.12058333333335,32.435366666666674,32.16736666666667,31.930400000000017,30.810149999999997,30.105083333333344,30.126483333333336,30.00973333333333,31.558033333333324,32.01183333333332,33.258183333333335,32.93593333333333,33.37028333333333,34.325749999999985,35.06936666666669,34.82814999999999,35.338199999999986,35.93579999999999,36.95126666666666,36.37386666666666,36.9476,37.48863333333335,36.98413333333333,36.19475000000001,37.1078
1 min,32.0,32.38,32.19,31.89,30.97,30.09,30.1,29.96,31.53,31.86,32.93,33.1,33.49,34.31,34.96,34.85,35.44,35.87,36.86,36.58,37.15,37.51,36.97,36.2,37.01
1.5 hr,32.13194444444446,32.45386666666668,32.18052222222223,31.942300000000014,31.027377777777765,30.13271111111112,30.168733333333346,30.031966666666666,31.556722222222234,31.988666666666646,33.255733333333325,32.96794444444444,33.3424888888889,34.35545555555554,35.125211111111106,34.82832222222222,35.346833333333336,35.977855555555564,36.97813333333333,36.3448888888889,36.97296666666667,37.49206666666666,36.98055555555555,36.18040000000002,37.128177777777765
10 day,33.40463,33.1393,32.86304,32.10681,31.734159999999996,31.43107,31.213440000000002,29.95016,30.02654,30.22337,30.523220000000002,30.946399999999993,31.665000000000003,33.185,33.489000000000004,33.678,34.043,34.536,34.94500000000001,35.269,35.62200000000001,35.943,36.351,36.577,36.688
10 min,32.09349999999999,32.378,32.122,32.00000000000001,30.952700000000004,30.066000000000003,30.054000000000002,29.967499999999994,31.547000000000004,31.9548,33.0325,33.015499999999996,33.459999999999994,34.28699999999999,34.896,34.832,35.398,35.853,36.86999999999999,36.5265,37.088499999999996,37.447,36.967499999999994,36.213499999999996,37.0555
100 day,42.230700000000006,42.07951800000001,41.913385000000005,41.57196900000001,41.404796000000005,41.23313400000001,41.06642100000001,40.054066000000006,39.937878000000005,39.82429700000001,39.722108000000006,39.63210900000001,39.438822,38.891806,38.786655,38.681693,38.473404,38.284448000000005,38.18989000000001,38.08709,37.996323000000004,37.914302000000006,37.729451,37.412847,37.31859999999999
125 day,43.01623360000002,42.90496080000002,42.78657920000002,42.55289680000003,42.43238560000002,42.29391840000002,42.16657040000001,41.287012800000014,41.17205280000001,41.05640720000002,40.94449120000001,40.83924000000001,40.62958640000001,40.104092800000004,40.005008,39.8946736,39.679748000000004,39.4947768,39.416834400000006,39.34678720000001,39.29072080000002,39.2405424,39.12258880000002,38.93470240000002,38.88487760000001
15 min,32.10466666666666,32.379333333333335,32.103,31.995,30.915466666666667,30.074999999999996,30.06526666666667,29.97126666666667,31.546000000000003,31.97786666666666,33.10766666666667,32.974,33.446666666666665,34.294999999999995,34.919000000000004,34.84433333333333,35.388333333333335,35.854,36.91933333333332,36.49033333333333,37.07,37.438333333333325,36.99033333333333,36.21266666666667,37.067666666666675
150 day,44.026464000000026,43.92703466666669,43.823455333333364,43.598626666666696,43.46909266666669,43.330837333333356,43.19619733333336,42.29940133333335,42.184880666666686,42.06901200000003,41.96132733333336,41.85260733333336,41.63470800000002,41.113138666666686,41.038628666666675,40.95878733333334,40.81255800000002,40.668490000000006,40.60855666666668,40.54432666666668,40.491452000000024,40.43875066666667,40.32310400000002,40.130377333333364,40.06820600000002
175 day,44.150560571428585,44.07795085714287,44.01592057142859,43.874912000000016,43.803193714285726,43.720114285714295,43.640077714285724,43.0093222857143,42.92850857142859,42.84541257142859,42.7769342857143,42.71370800000002,42.59570400000002,42.250921142857166,42.181310857142876,42.10865142857144,41.95751771428574,41.789481714285735,41.71366742857145,41.63856342857145,41.5668845714286,41.500923428571454,41.363833142857175,41.14732628571432,41.0773245714286
