,2018-12-11,2018-12-13,2018-12-14,2018-12-17,2018-12-18,2018-12-19,2018-12-20,2018-12-21,2018-12-26,2018-12-31,2019-01-02,2019-01-03,2019-01-04,2019-01-07,2019-01-08,2019-01-09,2019-01-10,2019-01-11,2019-01-14,2019-01-15,2019-01-16,2019-01-17,2019-01-18,2019-01-22,2019-01-23,2019-01-24,2019-01-25,2019-01-28,2019-01-29,2019-01-30,2019-01-31,2019-02-01,2019-02-05,2019-02-06,2019-02-08,2019-02-11,2019-02-12,2019-02-13,2019-02-14,2019-02-15
1 hr,39.62491666666668,39.343633333333315,38.7246,37.35111666666667,37.372299999999996,36.0896,36.71841666666667,36.140233333333335,37.435733333333324,38.46783333333331,39.02389999999999,36.688216666666676,38.11841666666666,39.132666666666665,39.11793333333333,40.398333333333326,40.74076666666669,40.58191666666665,40.267483333333324,39.71053333333335,39.66168333333334,38.651199999999996,40.080400000000004,38.53179999999998,38.78474999999999,40.96119999999999,43.614816666666655,43.29023333333332,42.90081666666668,43.75158333333333,44.06555000000001,45.124033333333344,45.051766666666666,45.3347,44.935600000000015,44.726216666666666,45.425466666666686,45.93030000000002,45.79813333333332,45.81843333333334
1 min,39.51,39.38,38.54,37.44,37.32,36.17,36.58,36.35,37.91,38.64,39.08,36.5,38.14,39.16,39.13,40.15,40.6,40.68,40.13,39.64,39.72,38.725,40.23,38.5,38.76,40.98,43.66,43.26,42.78,43.75,44.29,45.25,45.15,45.24,45.02,44.66,45.37,45.74,45.78,45.71
1.5 hr,39.60340000000003,39.32845555555556,38.738188888888885,37.40714444444445,37.378322222222224,36.45516666666667,36.73523333333332,36.28763333333334,37.33837777777776,38.43392222222221,39.10094444444444,36.76465555555557,38.13645555555555,39.09194444444446,39.12068888888889,40.44196666666668,40.74503333333334,40.564655555555554,40.29716666666666,39.69758888888889,39.65895555555555,38.64613333333333,40.05817777777778,38.533144444444424,38.751933333333305,40.95243333333333,43.57602222222222,43.31768888888889,42.91811111111111,43.7956,44.07176666666668,45.09396666666669,45.06366666666668,45.337488888888885,44.90572222222224,44.72807777777777,45.4230777777778,45.955133333333336,45.7841888888889,45.82224444444446
10 day,41.40322,40.53902,40.13591999999999,39.57944,38.91178,38.442750000000004,38.005849999999995,37.71901,37.32549,37.266999999999996,37.495,37.414,37.61,37.867999999999995,38.146,38.547000000000004,38.816,39.039,39.215999999999994,39.321999999999996,39.386,39.60699999999999,39.815999999999995,39.748000000000005,39.71,39.793,40.099,40.35799999999999,40.623000000000005,41.032000000000004,41.48800000000001,42.141000000000005,43.339999999999996,43.987,44.472,44.611000000000004,44.873000000000005,45.073,45.222,45.267
10 min,39.4865,39.397000000000006,38.5666,37.324799999999996,37.4765,36.114999999999995,36.5043,36.089499999999994,37.79899999999999,38.470800000000004,39.040000000000006,36.576499999999996,38.11600000000001,39.193,39.128,40.116499999999995,40.68249999999999,40.62500000000001,40.1509,39.6435,39.695499999999996,38.659000000000006,40.152,38.4351,38.777,40.99000000000001,43.670500000000004,43.213499999999996,42.79630000000001,43.68149999999999,44.194,45.25500000000001,45.07000000000001,45.28600000000001,44.9838,44.6845,45.4144,45.756,45.791,45.784
100 day,46.63451499999999,46.320420000000006,46.15880900000001,45.97920000000001,45.79421900000001,45.62539000000002,45.467255,45.320310000000006,45.027492,44.59997999999999,44.45675499999999,44.326933999999994,44.214670999999996,44.111346999999995,43.986283,43.87451800000001,43.76580100000001,43.64604400000001,43.51807000000001,43.382776000000014,43.24323400000002,43.08991100000003,42.951297000000025,42.78926500000002,42.62906200000002,42.49561700000001,42.41662700000002,42.32975600000002,42.27805600000002,42.23644400000002,42.20003800000002,42.16945400000002,42.11328800000002,42.08560600000001,42.04411600000001,42.025479000000026,42.00765500000002,41.99224900000002,41.96800000000002,41.94059400000002
125 day,48.5207032,48.242844,48.0931416,47.937734400000004,47.7855576,47.621386400000006,47.46212319999999,47.3196512,47.0410752,46.64116079999999,46.51214319999999,46.3493728,46.19971760000001,46.056980800000005,45.91299680000001,45.78982000000001,45.656507200000014,45.523754400000016,45.391025600000006,45.25725360000001,45.12404160000002,44.990051200000025,44.873493600000025,44.743945600000025,44.62152720000003,44.511200000000024,44.413855200000036,44.33543200000004,44.25844400000004,44.199928000000035,44.14223920000004,44.08967360000004,43.976124800000036,43.91206400000003,43.804667200000026,43.76693680000004,43.73411760000004,43.68686640000004,43.64249440000005,43.59640080000005
15 min,39.50966666666667,39.40253333333333,38.56640000000001,37.286199999999994,37.497400000000006,36.07666666666667,36.534200000000006,36.04366666666666,37.753,38.507,39.035333333333334,36.61346666666666,38.11526666666667,39.20433333333334,39.135533333333335,40.15546666666667,40.71939999999999,40.620333333333335,40.17933333333333,39.67666666666667,39.681666666666665,38.654333333333334,40.0942,38.465466666666664,38.78333333333333,40.98033333333334,43.66853333333334,43.220000000000006,42.82886666666666,43.69433333333333,44.15133333333333,45.26,45.06086666666667,45.305000000000014,44.99153333333334,44.70766666666667,45.40626666666666,45.76333333333333,45.797,45.817800000000005
150 day,49.636591333333335,49.42430400000001,49.31407800000001,49.194207333333345,49.07339000000001,48.934667333333344,48.80085133333334,48.68291066666668,48.43893533333335,48.09447666666667,47.988654,47.860773333333334,47.754443333333334,47.64499466666667,47.538164,47.427057333333345,47.32228066666668,47.23998466666668,47.14922200000001,47.04278400000001,46.942188000000016,46.83595200000002,46.72608533333335,46.60871133333335,46.48968466666669,46.38797866666668,46.30336466666669,46.21375533333335,46.12230266666669,46.05277600000002,45.98245066666669,45.9239626666667,45.79880800000003,45.72770066666669,45.57707733333336,45.4957646666667,45.418350666666704,45.34236400000004,45.277250000000045,45.20022266666671
175 day,50.53578800000001,50.33912742857144,50.24514171428572,50.146673714285726,50.03444971428573,49.919987428571446,49.80062571428573,49.67594800000002,49.42415200000002,49.08710571428573,48.99108000000001,48.88015142857144,48.77831542857144,48.67660342857144,48.57378971428572,48.485631428571445,48.4202862857143,48.35265371428573,48.280397142857154,48.20156057142859,48.12164285714288,48.033106285714304,47.94908228571431,47.85483885714289,47.76526685714288,47.686349142857175,47.6189628571429,47.540514857142895,47.46118685714289,47.40226628571432,47.341275428571464,47.28171600000004,47.16066342857145,47.10389428571431,46.98289142857145,46.928951428571466,46.87073828571431,46.816883428571465,46.753820571428605,46.69321200000004
