,2019-01-03,2019-02-01
1 hr,32.99456666666668,37.52756666666668
1 min,32.8,37.66
1.5 hr,32.96937777777777,37.5137888888889
10 day,32.413,37.092
10 min,32.9543,37.696000000000005
100 day,43.98519999999999,42.40120000000001
125 day,45.79675999999999,43.111360000000005
15 min,32.986866666666664,37.66906666666667
150 day,47.47029999999999,44.92296666666667
175 day,48.100257142857146,46.49311428571428
2 day,32.785,37.91
2 hr,32.924425000000014,37.52300833333334
2.5 hr,32.90517333333335,37.39614666666667
20 day,35.074,36.72500000000001
20 min,32.993399999999994,37.652950000000004
200 day,47.80372499999998,46.95847500000001
25 min,32.99552,37.620760000000004
3 hr,32.92504444444445,37.32103888888889
3.5 hr,32.98349047619049,37.19622857142857
30 day,38.160999999999994,35.287666666666674
30 min,32.99693333333333,37.601466666666674
4 hr,33.06593333333335,37.11714583333334
4.5 hr,33.1437703703704,37.095211111111134
40 day,39.60275,35.8995
45 min,33.005844444444456,37.55626666666668
5 day,32.74399999999999,37.166
5 hr,33.168093333333346,37.02570666666669
5 min,32.876999999999995,37.706
5.5 hr,33.138254545454565,36.95620606060609
50 day,41.122,37.5866
50 min,33.00856000000001,37.54324000000002
55 min,32.99798181818183,37.53221818181821
6 hr,33.11528055555558,36.91775833333337
6.5 hr,33.088758974358996,36.92077179487184
60 day,42.19099999999999,38.643499999999996
70 day,43.1902857142857,39.86571428571429
80 day,43.82025,40.82449999999999
90 day,43.959666666666664,41.75355555555555
Tomorrow,34.34,36.88
