,2018-12-11,2018-12-12,2018-12-13,2018-12-14,2018-12-17,2018-12-18,2018-12-19,2018-12-20,2018-12-21,2018-12-26,2018-12-31,2019-01-02,2019-01-03,2019-01-04,2019-01-07,2019-01-08,2019-01-09,2019-01-10,2019-01-11,2019-01-14,2019-01-17,2019-01-18,2019-01-22,2019-01-23,2019-01-25,2019-01-28,2019-01-29,2019-01-30,2019-01-31,2019-02-01,2019-02-05,2019-02-06,2019-02-07,2019-02-08,2019-02-12,2019-02-13,2019-02-14,2019-02-15
1 hr,68.92173333333334,69.68548333333335,69.71226666666664,68.87041666666666,68.47375000000001,68.85051666666666,66.32676666666666,65.79155,64.44305,65.94928333333334,66.70873333333333,67.91033333333334,60.45663333333336,63.743983333333325,64.57188333333335,64.98458333333333,67.88983333333336,68.8736,70.1312666666667,68.68471666666669,68.89606666666667,70.06708333333334,68.73576666666669,68.30789999999998,72.56023333333336,72.62316666666668,71.45985,73.88036666666669,72.87615000000001,73.81503333333333,75.93658333333332,84.88633333333334,81.6101666666667,81.48690000000002,83.90733333333334,83.45191666666665,83.79199999999999,83.38223333333333
1 min,68.545,69.31,69.63,68.68,68.42,68.76,66.35,65.63,64.48,66.69,67.02,67.97,60.71,63.63,64.47,65.19,67.69,68.58,70.03,68.32,69.03,70.08,68.92,68.26,72.46,72.67,71.57,73.93,73.05,73.96,75.96,84.73,81.55,81.72,83.58,82.98,83.65,83.38
1.5 hr,68.88049999999998,69.70646666666671,69.64444444444442,68.83354444444446,68.58397777777779,68.94013333333334,66.79333333333335,65.77594444444442,64.60597777777778,65.75437777777782,66.6738222222222,68.09612222222223,60.52292222222224,63.9176111111111,64.54145555555556,64.88176666666664,67.89122222222221,68.87787777777775,70.11475555555558,68.76053333333337,68.90993333333334,70.06686666666666,68.70568888888891,68.24518888888888,72.55763333333334,72.55055555555553,71.47546666666669,73.86236666666665,72.99345555555554,73.78429999999996,75.92746666666667,84.85373333333332,81.66641111111115,81.51022222222227,83.89717777777778,83.55132222222221,83.74703333333333,83.39387777777776
10 day,70.52099999999999,70.38499999999999,70.12899999999999,69.875,69.441,68.97099999999999,68.531,68.03399999999999,67.726,67.079,66.513,66.466,65.662,65.389,65.274,65.34400000000001,65.83500000000001,66.023,66.25300000000001,66.366,67.424,68.06800000000001,68.50900000000001,68.81700000000001,69.439,69.706,70.025,70.57199999999997,70.99599999999998,71.48899999999999,72.675,74.31700000000001,75.47,76.39399999999998,78.513,79.41900000000001,80.47900000000001,81.42099999999999
10 min,68.5846,69.4155,69.71009999999998,68.8064,68.44600000000001,68.9598,66.51129999999999,65.5846,64.2234,66.42920000000001,66.644,67.91460000000001,60.73900000000001,63.7158,64.51230000000001,65.1175,67.70649999999999,68.73400000000001,70.0384,68.43050000000001,68.95779999999999,69.96900000000001,68.728,68.29520000000001,72.41839999999999,72.7065,71.422,73.86420000000001,73.0095,73.86249999999998,75.98100000000001,84.8055,81.5995,81.5555,83.72749999999999,83.01400000000001,83.83500000000001,83.3645
100 day,85.426785,85.15903899999999,84.899841,84.65085899999998,84.39580999999998,84.137622,83.858109,83.57902399999999,83.28695300000001,82.69701300000001,81.868126,81.59866099999999,81.267638,80.978048,80.689897,80.419587,80.185317,79.96203700000001,79.74868000000001,79.527277,78.82772500000002,78.60353000000002,78.36136900000001,78.11330500000003,77.70313500000002,77.52194900000002,77.34219300000001,77.18872300000001,77.03729500000001,76.906803,76.69451300000001,76.70225400000002,76.65044800000003,76.59497000000002,76.528182,76.474164,76.399394,76.316455
125 day,88.03870959999998,87.78504479999998,87.52807439999998,87.27634399999997,87.03568959999997,86.79299919999998,86.54038159999998,86.28446079999998,86.02861279999999,85.5285256,84.8437224,84.63085119999998,84.32677359999998,84.04225119999998,83.76223119999997,83.47822159999998,83.23870079999998,82.9963152,82.76711279999999,82.5232824,81.74678799999998,81.5386712,81.3255528,81.12300719999999,80.7548976,80.58192720000001,80.4058592,80.2476424,80.08190959999999,79.91577039999999,79.60804479999999,79.5211408,79.4143688,79.3174704,79.15367760000001,79.07974960000001,79.01993360000002,78.95962960000001
15 min,68.67306666666667,69.47946666666667,69.7654,68.7884,68.41466666666669,69.01586666666667,66.42286666666666,65.63606666666666,64.21673333333335,66.33613333333334,66.67233333333334,67.9072,60.67966666666666,63.72053333333334,64.52433333333335,65.11146666666667,67.73266666666665,68.8024,70.09126666666667,68.46733333333334,68.9772,69.98733333333332,68.75266666666667,68.32013333333335,72.47693333333333,72.69566666666667,71.44066666666666,73.87413333333333,72.96900000000001,73.847,75.95786666666666,84.859,81.61566666666667,81.513,83.74,83.02433333333333,83.86,83.41473333333333
150 day,89.75901799999998,89.59208133333331,89.41720466666665,89.23652333333331,89.04087666666663,88.85486866666663,88.64660733333331,88.42781866666664,88.20939466666664,87.75910466666664,87.12410733333331,86.92042866666662,86.66623799999998,86.43917466666663,86.20225799999997,85.97410266666664,85.76816199999996,85.56293799999997,85.3528493333333,85.1493273333333,84.53672466666663,84.33040399999999,84.11146199999997,83.89888666666664,83.53149933333333,83.36318466666665,83.18925066666664,83.03891066666665,82.87992999999997,82.73890466666664,82.46839533333332,82.39196866666666,82.30524266666666,82.19177799999999,81.96999266666666,81.851918,81.75865066666667,81.65526266666666
175 day,90.22507771428569,90.0589674285714,89.89931199999998,89.75262399999997,89.60185485714284,89.44174228571427,89.26588457142856,89.07722285714284,88.89011485714286,88.51745885714286,88.06891828571429,87.95710514285715,87.80882971428572,87.67695714285713,87.5466697142857,87.42783028571428,87.32508228571427,87.20411714285714,87.08872799999999,86.9587737142857,86.51155828571426,86.37281257142855,86.21880399999998,86.06153428571426,85.76474457142857,85.62240628571426,85.4685874285714,85.33525257142854,85.1930394285714,85.04934685714282,84.78108114285712,84.69683485714283,84.5999674285714,84.50203257142856,84.31747828571426,84.22357371428569,84.13819599999998,84.04680399999998
2 day,67.97999999999999,68.91499999999999,69.465,69.155,68.56,68.595,67.56,66.0,65.065,64.745,67.12,67.49,64.34,62.175,64.06,64.84,66.44,68.14,69.305,69.185,68.91499999999999,69.55,69.485,68.58500000000001,71.25,72.58,72.11500000000001,72.73,73.48,73.5,75.41499999999999,80.32499999999999,83.125,81.63499999999999,82.71000000000001,83.28,83.31,83.50999999999999
2 hr,68.73825833333332,69.74496666666668,69.60297499999997,68.83860000000001,68.63118333333334,69.05674166666664,67.11618333333332,65.54894166666666,64.76461666666667,65.62470833333334,66.65074166666665,68.19291666666668,60.52009166666669,63.96765833333333,64.58635,64.80126666666665,67.92607499999998,68.8568333333333,70.13615833333333,68.81778333333335,68.79563333333336,70.08011666666667,68.79000833333338,68.26877499999999,72.61436666666665,72.48989166666667,71.52009166666669,73.76601666666666,73.092075,73.78862499999995,75.93976666666666,84.79991666666665,81.66002500000005,81.48730833333335,83.87864166666665,83.62998333333333,83.70914999999998,83.38319166666663
2.5 hr,68.65228000000003,69.81778000000001,69.63147999999998,68.85062000000003,68.65882000000003,69.11326000000001,67.44692,65.51118000000001,64.90545999999999,65.47338666666668,66.68325333333331,68.28836,60.53387333333335,63.9802133333333,64.71096,64.74600000000004,67.95169999999997,68.83089333333331,70.15112666666666,68.87794000000002,68.73594000000001,70.08812666666665,68.82562000000001,68.28055333333332,72.66846666666666,72.47013333333331,71.55275333333333,73.58190666666664,73.15704666666666,73.84016666666663,75.88423999999998,84.79957333333331,81.69662666666673,81.43733333333333,83.8872733333333,83.67124666666668,83.67354666666667,83.38067333333329
20 day,70.80387,70.64697,70.54336500000001,70.43304499999999,70.21722499999998,70.027355,69.826395,69.656575,69.38400000000001,68.8,68.194,67.95349999999999,67.31649999999999,66.96000000000001,66.65400000000001,66.53500000000001,66.54749999999999,66.551,66.5865,66.523,66.543,66.72850000000001,66.89150000000001,67.08050000000001,67.73100000000001,67.97950000000002,68.19550000000001,68.54050000000001,68.7945,69.4565,70.592,71.567,72.2605,72.91649999999998,74.26899999999999,74.99549999999999,75.7375,76.455
