,2018-12-11,2018-12-12,2018-12-13,2018-12-17,2018-12-18,2018-12-19,2018-12-20,2018-12-21,2018-12-26,2018-12-31,2019-01-02,2019-01-03,2019-01-04,2019-01-08,2019-01-09,2019-01-10,2019-01-11,2019-01-14,2019-01-16,2019-01-17,2019-01-18,2019-01-22,2019-01-23,2019-01-24,2019-01-25,2019-01-28,2019-01-29,2019-01-30,2019-01-31,2019-02-01,2019-02-04,2019-02-05,2019-02-06,2019-02-07,2019-02-08,2019-02-12,2019-02-15
1 hr,22.315266666666673,22.792866666666665,22.47636666666668,20.628016666666664,20.70455000000001,20.398700000000005,19.585433333333334,18.61983333333333,18.191133333333333,18.797116666666668,18.89016666666667,18.619883333333338,19.34736666666665,19.606916666666667,19.92746666666668,20.008166666666668,19.920133333333332,19.465999999999998,19.748283333333333,19.95645,20.07968333333334,19.715650000000014,19.71926666666667,20.10665,20.395983333333334,20.664449999999988,20.40326666666667,20.790283333333313,20.95858333333334,22.888116666666665,23.05715,22.821983333333332,22.86474999999999,22.54229999999999,22.67628333333334,23.399383333333336,23.172883333333342
1 min,22.27,22.75,22.47,20.64,20.71,20.42,19.56,18.48,18.5,18.9,18.94,18.57,19.37,19.58,19.93,20.08,19.88,19.33,19.75,20.01,20.1,19.8,19.77,20.02,20.37,20.84,20.41,20.81,21.02,22.89,23.01,22.79,22.9,22.57,22.66,23.41,23.15
1.5 hr,22.297966666666664,22.76984444444444,22.462777777777788,20.69704444444444,20.720755555555566,20.52402222222223,19.574211111111108,18.680977777777766,18.12106666666667,18.77046666666667,18.9464111111111,18.648244444444455,19.35437777777777,19.616466666666675,19.915144444444454,19.999899999999997,19.92630000000001,19.485577777777774,19.73765555555556,19.96565555555555,20.117933333333337,19.718655555555564,19.682666666666655,20.10583333333332,20.383822222222214,20.64709999999999,20.420811111111117,20.79861111111109,20.964166666666674,22.869377777777768,23.05603333333333,22.84860000000002,22.845888888888876,22.5448111111111,22.674844444444457,23.390877777777778,23.171011111111117
10 day,22.108859999999996,22.19857,22.196579999999994,21.95038,21.78691,21.63441,21.36031,21.02739,20.240959999999998,19.170949999999998,19.00051,18.787209999999995,18.68055,18.771250000000002,18.96761,19.123099999999997,19.24968,19.32544,19.48641,19.62894,19.7037,19.750549999999997,19.770490000000002,19.780460000000005,19.811360000000004,19.908050000000003,20.01769,20.12833,20.25591,20.54497,20.835020000000004,21.134050000000002,21.44503,21.6972,21.924459999999996,22.378980000000002,22.83305
10 min,22.2745,22.795099999999998,22.4848,20.593999999999998,20.753800000000002,20.431,19.4995,18.512399999999996,18.4345,18.819499999999998,18.918,18.601,19.392500000000002,19.593,19.911,20.073999999999998,19.901999999999997,19.368500000000004,19.725999999999996,19.956,20.050099999999997,19.74,19.7595,20.049,20.391500000000004,20.749,20.398500000000002,20.802,21.006,22.924,22.998,22.776600000000002,22.899000000000004,22.553000000000004,22.6465,23.4155,23.177500000000002
100 day,20.351961999999993,20.368904999999994,20.38602699999999,20.39869999999999,20.40134699999999,20.399816999999988,20.39377199999999,20.377453999999993,20.332121999999995,20.314298999999995,20.310684999999992,20.305560999999994,20.308705999999994,20.325697999999992,20.340759999999996,20.348705999999996,20.353516,20.353688,20.356938999999997,20.361454999999996,20.365576999999995,20.363627999999995,20.359492999999997,20.354769999999995,20.357210999999992,20.364734999999992,20.369164999999995,20.379171999999997,20.391866999999994,20.423202999999994,20.45503799999999,20.483488999999995,20.512041999999997,20.537801999999996,20.564657999999994,20.619579999999996,20.691702999999993
125 day,20.452814399999998,20.465101599999997,20.476027999999996,20.47896159999999,20.47783279999999,20.47605519999999,20.467972799999995,20.452939199999996,20.423323999999997,20.380838400000002,20.367099999999997,20.347799199999997,20.333688,20.303655199999998,20.2940896,20.282948,20.269895200000004,20.253327999999996,20.226414399999996,20.217407199999993,20.209910399999995,20.202237599999993,20.197255999999992,20.19315919999999,20.192565599999988,20.19469039999999,20.196711999999987,20.202635999999988,20.208491999999993,20.22585599999999,20.257002399999987,20.283822399999988,20.31250799999999,20.338482399999993,20.36691679999999,20.43157439999999,20.53591919999999
15 min,22.279,22.812333333333335,22.48686666666667,20.573666666666664,20.758533333333332,20.41,19.511533333333333,18.5436,18.398666666666667,18.835666666666665,18.902733333333337,18.60413333333333,19.39466666666667,19.597333333333335,19.914333333333335,20.057666666666666,19.909333333333333,19.382000000000005,19.716266666666662,19.942466666666668,20.046133333333334,19.729666666666663,19.758333333333333,20.05833333333333,20.393333333333334,20.741666666666667,20.399333333333335,20.792666666666662,20.994333333333337,22.905733333333334,23.003666666666668,22.770066666666665,22.898,22.55666666666667,22.647999999999993,23.414000000000005,23.191333333333333
150 day,20.654843999999997,20.616984666666664,20.574503999999994,20.58600466666666,20.576867999999994,20.56567333333333,20.548893999999997,20.52552733333333,20.485405999999998,20.441296666666663,20.428945333333328,20.414004666666663,20.406021999999997,20.387308666666666,20.379432,20.37117,20.362734,20.35044533333333,20.331316666666666,20.323876666666663,20.31657333333333,20.307869999999998,20.299693999999995,20.294300666666658,20.291100666666654,20.29240999999999,20.291389333333324,20.294676666666657,20.300149999999995,20.319568666666658,20.338661999999992,20.353918666666658,20.368255999999995,20.380861999999997,20.391889333333328,20.413703999999996,20.44991866666666
175 day,21.582285142857135,21.564769142857134,21.545433714285704,21.492959428571417,21.46190857142856,21.427064571428563,21.382925714285708,21.33285828571428,21.22683828571428,21.075751428571422,21.027179428571422,20.97695142857142,20.926713714285707,20.830250857142854,20.787148571428567,20.745519999999996,20.701399999999996,20.655161714285708,20.562676571428568,20.515464571428566,20.467977142857137,20.416300571428568,20.418951999999997,20.412431999999995,20.402663999999994,20.395460571428565,20.385976571428564,20.379503999999994,20.377551428571422,20.387603999999993,20.39856457142856,20.410132571428562,20.42187485714285,20.43190628571428,20.442338285714282,20.46779828571428,20.501684571428566
2 day,22.10785,22.44175,22.541449999999998,21.04135,20.6177,20.5081,19.93,18.938200000000002,18.1757,18.666600000000003,18.856,18.698999999999998,18.9083,19.3917,19.69075,19.93495,19.91,19.536250000000003,19.66085,19.81035,19.99475,19.8901,19.72565,19.8403,20.1393,20.54795,20.5679,20.552950000000003,20.851950000000002,21.893549999999998,22.8903,22.8355,22.7757,22.65605,22.536450000000002,22.8405,23.0675
2 hr,22.24759166666667,22.78460833333334,22.468966666666685,20.719308333333352,20.75336666666667,20.606341666666683,19.512150000000005,18.72988333333332,18.080600000000004,18.759241666666682,18.96690833333333,18.65077500000001,19.35945833333334,19.64001666666668,19.90623333333333,19.994058333333324,19.93323333333333,19.509050000000002,19.70506666666667,19.93919999999999,20.134608333333333,19.720066666666664,19.67106666666665,20.100083333333323,20.373841666666653,20.636849999999995,20.44382500000001,20.787733333333325,20.961183333333327,22.862633333333317,23.080541666666665,22.878516666666666,22.840933333333332,22.530958333333324,22.66070000000001,23.388666666666662,23.180416666666666
2.5 hr,22.221166666666665,22.80522,22.490640000000017,20.748473333333354,20.766993333333343,20.704586666666675,19.49910666666666,18.77378666666665,18.042706666666664,18.780986666666678,18.98745333333333,18.645353333333343,19.37117333333334,19.662626666666675,19.904246666666676,19.976419999999994,19.937279999999987,19.544906666666662,19.687333333333346,19.923299999999998,20.153166666666667,19.723973333333333,19.662853333333317,20.09433999999999,20.34722666666665,20.623120000000004,20.46287333333336,20.748026666666664,20.947179999999996,22.850613333333317,23.093140000000002,22.89415333333332,22.850753333333323,22.528653333333335,22.635493333333354,23.390726666666666,23.19029333333332
20 day,22.085564999999995,22.134914999999996,22.169814999999993,22.004699999999996,21.886584999999997,21.795384999999996,21.69322,21.53972,21.17491,20.633429999999997,20.475445,20.287059999999993,20.15748,19.89932,19.792170000000002,19.682030000000005,19.538995000000007,19.381510000000002,19.24346,19.208075,19.192124999999997,19.204084999999996,19.27087,19.374035000000003,19.467230000000008,19.578865000000004,19.671565000000008,19.767500000000005,19.871160000000007,20.086955,20.26936,20.4423,20.60776,20.73883,20.867909999999995,21.198334999999997,21.689009999999993
20 min,22.2835,22.8291,22.488900000000005,20.570749999999997,20.752250000000004,20.3851,19.534900000000004,18.548449999999995,18.366500000000002,18.842599999999997,18.887150000000002,18.598599999999994,19.38325,19.599500000000003,19.919500000000003,20.041050000000002,19.919749999999997,19.396250000000002,19.7207,19.939600000000002,20.0426,19.729499999999994,19.765700000000002,20.062499999999993,20.39425,20.73375,20.404250000000005,20.778749999999995,20.985000000000003,22.886049999999997,23.017450000000004,22.77355,22.895999999999994,22.559900000000006,22.650149999999996,23.41700000000001,23.194749999999996
200 day,22.172138499999996,22.155727,22.138117999999995,22.085101999999992,22.05477649999999,22.023646999999993,21.986800999999996,21.9424495,21.8499775,21.723792499999995,21.68321499999999,21.644295499999988,21.610002999999992,21.53994849999999,21.51254049999999,21.483314999999994,21.456594499999998,21.426442499999993,21.371308999999997,21.344397999999998,21.315914499999995,21.2856395,21.256004499999996,21.22771399999999,21.19884999999999,21.170454499999988,21.13611899999999,21.10417149999999,21.07208649999999,21.048582499999995,21.025675999999994,21.00196899999999,20.979450499999995,20.954990999999996,20.93137499999999,20.87810499999999,20.812926499999993
25 min,22.292720000000003,22.83072,22.483520000000002,20.566999999999997,20.747200000000003,20.37988,19.561480000000007,18.542559999999995,18.3326,18.839879999999997,18.878120000000003,18.601439999999997,19.371599999999997,19.604200000000002,19.923560000000002,20.03,19.926199999999994,19.4162,19.72704,19.945079999999997,20.039279999999998,19.723719999999997,19.76736,20.063999999999993,20.3968,20.72156,20.407840000000007,20.776599999999995,20.984600000000004,22.88524,23.02588,22.775919999999996,22.889719999999993,22.554280000000002,22.650719999999996,23.414120000000008,23.1968
3 hr,22.2193611111111,22.83327777777777,22.496472222222238,20.788600000000013,20.786738888888895,20.774055555555567,19.503188888888893,18.792938888888866,18.01129444444444,18.799316666666673,18.997038888888888,18.64352222222223,19.38423333333333,19.654855555555553,19.907644444444454,19.979722222222208,19.93728888888888,19.560905555555546,19.675833333333344,19.911988888888892,20.183777777777774,19.7162,19.653155555555543,20.092694444444433,20.33943333333333,20.602927777777783,20.471683333333353,20.721372222222218,20.916761111111114,22.86329444444442,23.100622222222228,22.902922222222205,22.856255555555553,22.518761111111107,22.615216666666694,23.384511111111102,23.197505555555527
3.5 hr,22.2190476190476,22.857485714285705,22.5163142857143,20.83102857142858,20.80051428571429,20.829971428571437,19.50832380952382,18.79468095238094,17.998957142857137,18.801052380952388,18.983795238095233,18.65746190476191,19.38648095238095,19.64023333333334,19.915576190476184,19.983871428571423,19.942776190476174,19.55951904761905,19.669066666666676,19.90229047619048,20.20630952380952,19.71137619047619,19.642033333333327,20.092580952380935,20.343499999999995,20.59003333333335,20.479942857142884,20.705723809523793,20.900171428571433,22.894957142857123,23.1018380952381,22.916466666666665,22.856804761904755,22.49752380952381,22.595047619047648,23.364471428571424,23.20343809523806
30 day,21.41587666666666,21.575616666666665,21.736986666666663,21.918349999999997,21.960966666666664,21.976729999999996,21.880129999999998,21.73737333333333,21.47069666666666,21.14633666666667,21.00330333333334,20.85346,20.75710666666667,20.616896666666666,20.55809,20.490973333333333,20.425520000000002,20.319866666666666,20.145766666666663,20.067686666666667,20.00622,19.922826666666666,19.85637666666667,19.78826666666667,19.725140000000003,19.662013333333334,19.593570000000003,19.568650000000005,19.580943333333337,19.653706666666668,19.73975666666667,19.847406666666668,19.99559,20.148423333333334,20.28630666666667,20.574036666666668,21.002319999999994
30 min,22.304600000000004,22.826933333333333,22.481266666666674,20.561833333333325,20.74133333333334,20.37956666666667,19.573400000000003,18.54913333333333,18.301566666666663,18.8344,18.869600000000002,18.612199999999994,19.362499999999994,19.60916666666667,19.924766666666667,20.02266666666667,19.92733333333333,19.42866666666667,19.731666666666666,19.949400000000004,20.038899999999998,19.720433333333336,19.764633333333336,20.066,20.393733333333333,20.714133333333326,20.4112,20.77749999999999,20.983666666666675,22.88986666666666,23.032900000000005,22.78159999999999,22.8826,22.551399999999997,22.654266666666658,23.411133333333336,23.19333333333333
4 hr,22.220062499999983,22.89367083333333,22.529941666666677,20.8866375,20.81094166666668,20.870920833333347,19.504658333333346,18.803341666666658,17.983966666666667,18.79850416666668,18.955224999999995,18.665641666666676,19.3871125,19.630758333333336,19.9068375,19.99160416666665,19.943741666666654,19.554729166666675,19.67019166666667,19.89595833333333,20.224587500000002,19.709170833333328,19.62394583333332,20.101883333333312,20.349158333333317,20.57825416666668,20.480441666666696,20.69396666666665,20.89730000000001,22.963491666666656,23.102200000000003,22.93244166666668,22.852537499999993,22.478625,22.57419583333337,23.3405,23.207920833333294
4.5 hr,22.23323703703703,22.924511111111105,22.545737037037046,20.929640740740734,20.810337037037055,20.886770370370378,19.501396296296303,18.832485185185174,17.958785185185178,18.78912962962964,18.94256666666667,18.681522222222235,19.38890740740741,19.621151851851867,19.88923703703703,20.00373703703702,19.93502962962962,19.547429629629637,19.67756296296297,19.886666666666674,20.23423333333335,19.710988888888874,19.6200074074074,20.10742962962961,20.35383333333332,20.574688888888897,20.480188888888915,20.673485185185168,20.898514814814817,23.004999999999995,23.10075555555557,22.944625925925937,22.854725925925937,22.46622592592593,22.557622222222253,23.31694444444444,23.208029629629593
40 day,20.931012499999994,21.006604999999997,21.053612499999993,21.098724999999995,21.126464999999996,21.146732499999995,21.150287499999997,21.148287499999995,21.122147499999997,21.182155,21.188890000000004,21.1675275,21.152684999999998,20.995842500000002,20.9363375,20.8837975,20.836955000000003,20.775662500000003,20.62408,20.547330000000002,20.493755,20.4486525,20.405295000000002,20.3636825,20.32107,20.296152499999998,20.244322500000003,20.200465,20.173302500000002,20.1870075,20.213420000000003,20.225632500000003,20.25354,20.265500000000003,20.274970000000003,20.289922500000003,20.448542499999995
45 min,22.321377777777787,22.80448888888889,22.48562222222223,20.59028888888889,20.723844444444453,20.386377777777785,19.59537777777778,18.57511111111111,18.23871111111111,18.809488888888886,18.87713333333333,18.613666666666667,19.351088888888878,19.614933333333333,19.93397777777779,20.01155555555556,19.922977777777763,19.453777777777777,19.744822222222215,19.945177777777772,20.05926666666667,19.715644444444457,19.74791111111112,20.092488888888884,20.39435555555555,20.68493333333333,20.3978,20.78104444444443,20.96911111111111,22.894466666666663,23.050177777777794,22.80393333333333,22.869000000000007,22.544733333333323,22.66857777777778,23.406422222222222,23.179844444444434
5 day,22.01018,22.16766,22.201559999999997,21.87462,21.56364,21.10116,20.51906,19.89508,18.918280000000003,18.44682,18.64218,18.65614,18.80564,19.095679999999998,19.293039999999998,19.59006,19.693720000000003,19.691740000000003,19.67978,19.66782,19.71368,19.809359999999998,19.823320000000002,19.881140000000002,19.954900000000002,20.102420000000002,20.22602,20.43334,20.63068,21.13504,21.56762,22.042080000000002,22.456719999999997,22.76372,22.71388,22.715880000000002,22.95222
5 hr,22.255929999999992,22.94656999999999,22.548410000000022,20.98345999999999,20.816233333333354,20.902326666666678,19.520066666666672,18.860253333333326,17.929769999999984,18.78454000000001,18.943503333333336,18.68134666666668,19.391699999999997,19.610636666666686,19.87027666666666,20.008726666666657,19.921873333333327,19.53419333333334,19.687093333333337,19.879163333333338,20.24322333333335,19.713519999999978,19.63313999999999,20.104196666666656,20.35758333333333,20.577306666666683,20.478650000000027,20.65595333333332,20.90181,23.050223333333324,23.10279000000001,22.96152666666668,22.860979999999998,22.47226666666667,22.55121333333337,23.296830000000003,23.20502333333329
5 min,22.27,22.762,22.491000000000003,20.619000000000003,20.738,20.449,19.520000000000003,18.463,18.492,18.843,18.927,18.602,19.381999999999998,19.583,19.926,20.074,19.895,19.338,19.756999999999998,19.982,20.069200000000002,19.754,19.772,20.041000000000004,20.389000000000003,20.796,20.419,20.814999999999998,21.016,22.942,23.004,22.800000000000004,22.898,22.552,22.637,23.401999999999997,23.169
5.5 hr,22.27821212121212,22.95714848484848,22.55187272727275,21.021545454545436,20.82200606060608,20.927221212121225,19.56336666666668,18.894869696969696,17.892654545454533,18.77895757575759,18.930572727272732,18.664209090909104,19.380345454545463,19.609018181818193,19.851939393939393,20.007057575757564,19.911566666666666,19.519569696969715,19.694836363636377,19.86747878787879,20.24124545454547,19.71216060606058,19.65417272727272,20.101884848484847,20.351145454545456,20.58004545454547,20.484557575757602,20.642821212121206,20.905015151515155,23.092342424242418,23.103257575757596,22.978469696969707,22.863496969696964,22.489506060606065,22.545690909090936,23.280912121212122,23.202193939393897
50 day,20.752757999999993,20.793163999999997,20.832757999999995,20.857521999999996,20.872361999999995,20.875459999999993,20.869759999999996,20.841929999999998,20.793001999999998,20.698334,20.679081999999998,20.658613999999996,20.653496,20.67288,20.692836000000003,20.722338,20.760968000000002,20.794796,20.848394,20.859810000000003,20.862887999999998,20.809712,20.750772,20.705162,20.66931,20.651174,20.624068,20.594802000000005,20.550446,20.546858,20.562008000000002,20.585732000000004,20.613242,20.630386,20.641747999999996,20.671253999999998,20.716215999999996
