,2019-02-13
1 hr,53.1544166666667
1 min,52.86
1.5 hr,53.07465555555559
10 day,51.706
10 min,52.955999999999996
100 day,47.27675
125 day,47.4638
15 min,52.998666666666665
150 day,47.82333333333333
175 day,47.668000000000006
2 day,52.76
2 hr,52.98429166666668
2.5 hr,52.93224666666665
20 day,50.60750000000001
20 min,53.048500000000004
200 day,46.81350000000001
25 min,53.0912
3 hr,52.887172222222226
3.5 hr,52.860895238095246
30 day,48.36533333333333
30 min,53.12366666666666
4 hr,52.84842916666669
4.5 hr,52.83561481481484
40 day,46.1095
45 min,53.15877777777781
5 day,51.688
5 hr,52.85360000000002
5 min,52.895999999999994
5.5 hr,52.88035151515154
50 day,46.517599999999995
50 min,53.164100000000026
55 min,53.16227272727275
6 hr,52.8885027777778
6.5 hr,52.900512820512816
60 day,46.94033333333333
70 day,47.247928571428574
80 day,46.9964375
90 day,46.960055555555556
Tomorrow,53.88
