,2018-12-12
1 hr,28.13385
1 min,28.12
1.5 hr,28.06998888888888
10 day,27.464999999999996
10 min,28.103500000000004
100 day,27.64089999999999
125 day,27.066079999999985
15 min,28.140066666666666
150 day,26.57013333333332
175 day,26.11942857142856
2 day,27.925
2 hr,28.06100833333335
2.5 hr,28.057700000000015
20 day,26.506
20 min,28.16655
200 day,26.195074999999992
25 min,28.180480000000003
3 hr,28.101983333333347
3.5 hr,28.13700952380953
30 day,25.89733333333333
30 min,28.182233333333333
4 hr,28.188154166666674
4.5 hr,28.288100000000004
40 day,26.319
45 min,28.165688888888887
5 day,27.406
5 hr,28.392056666666686
5 min,28.111
5.5 hr,28.455615151515172
50 day,27.462799999999998
50 min,28.163219999999995
55 min,28.150563636363632
6 hr,28.486847222222245
6.5 hr,28.493028205128244
60 day,27.861333333333334
70 day,27.933
80 day,27.948999999999995
90 day,27.925111111111107
Tomorrow,27.09
