,2019-01-08,2019-01-17,2019-01-18
1 hr,53.19545000000001,56.898383333333335,58.449416666666664
1 min,53.51,56.85,58.6
1.5 hr,53.19140000000003,56.87553333333335,58.372566666666664
10 day,51.568999999999996,54.409000000000006,54.94499999999999
10 min,53.415,56.78900000000001,58.573
100 day,70.90289999999999,68.2515,67.91109999999999
125 day,75.18512,73.06599999999997,72.76287999999997
15 min,53.38766666666667,56.82133333333333,58.565999999999995
150 day,78.63126666666666,76.49233333333332,76.21573333333332
175 day,81.60308571428571,79.85257142857141,79.61005714285713
2 day,53.315,56.66,57.705
2 hr,53.20808333333336,56.808983333333344,58.36238333333334
2.5 hr,53.21461333333336,56.77954666666666,58.36012666666666
20 day,51.897499999999994,52.4745,52.9135
20 min,53.378250000000016,56.856899999999996,58.56025000000001
200 day,82.98620000000001,81.78299999999999,81.61079999999998
25 min,53.36800000000001,56.907520000000005,58.5578
3 hr,53.182250000000025,56.74632222222219,58.34980555555555
3.5 hr,53.14738095238099,56.705099999999966,58.33597619047618
30 day,53.956333333333326,52.972333333333346,53.06933333333334
30 min,53.341666666666676,56.95060000000001,58.53696666666667
4 hr,53.12025000000006,56.65779166666665,58.32502499999999
4.5 hr,53.02899259259265,56.61374074074073,58.30148518518518
40 day,55.622249999999994,54.49325000000001,54.44350000000001
45 min,53.244666666666674,56.95493333333334,58.51186666666668
5 day,52.65599999999999,55.32000000000001,56.19200000000001
5 hr,52.92033000000004,56.561013333333335,58.25779666666666
5 min,53.471999999999994,56.818000000000005,58.55
5.5 hr,52.84642121212126,56.518830303030306,58.199999999999974
50 day,57.43479999999999,56.0308,55.8922
50 min,53.218700000000005,56.93484,58.49428000000002
55 min,53.20372727272728,56.91621818181819,58.470254545454544
6 hr,52.79961944444451,56.47814722222225,58.120711111111106
6.5 hr,52.784266666666724,56.46555641025642,58.022966666666655
60 day,59.68849999999999,57.44766666666667,57.35616666666667
70 day,62.884857142857136,60.17428571428571,59.825285714285705
80 day,65.88924999999999,63.05499999999999,62.70574999999999
90 day,68.4771111111111,65.78944444444444,65.45066666666666
Tomorrow,53.83,58.56,57.98
