,2018-12-12
1 hr,64.38316666666667
1 min,64.04
1.5 hr,64.48344444444447
10 day,59.06699999999999
10 min,64.185
100 day,55.61529999999999
125 day,56.79303999999999
15 min,64.20333333333333
150 day,57.914533333333324
175 day,58.32417142857144
2 day,63.290000000000006
2 hr,64.5485416666667
2.5 hr,64.6049666666667
20 day,56.701999999999984
20 min,64.16149999999999
200 day,58.17690000000002
25 min,64.17880000000001
3 hr,64.62977777777782
3.5 hr,64.6315
30 day,55.24299999999999
30 min,64.22833333333334
4 hr,64.66010416666667
4.5 hr,64.67897407407406
40 day,54.69799999999999
45 min,64.31822222222223
5 day,60.56
5 hr,64.66376999999999
5 min,64.117
5.5 hr,64.6217151515151
50 day,54.629799999999996
50 min,64.3364
55 min,64.35636363636364
6 hr,64.51776666666662
6.5 hr,64.39452820512817
60 day,54.803000000000004
70 day,55.00757142857144
80 day,55.04787500000001
90 day,55.14922222222223
Tomorrow,63.82
