,2018-12-14,2018-12-17,2018-12-18,2018-12-19,2018-12-21,2018-12-26,2019-01-02,2019-01-03,2019-01-04,2019-01-07,2019-01-09,2019-01-11,2019-01-14,2019-01-16,2019-01-17,2019-01-18,2019-01-22,2019-01-23,2019-01-30,2019-01-31,2019-02-01,2019-02-04,2019-02-11,2019-02-12,2019-02-14
1 hr,83.24441666666667,80.01376666666665,79.53106666666666,80.50436666666666,81.55444999999999,85.01981666666666,88.36476666666664,84.80375,87.4542,93.46455,96.25161666666665,95.63071666666666,94.06281666666663,94.20638333333328,92.80848333333333,90.51141666666666,91.29208333333335,93.02363333333334,94.87846666666665,98.49128333333333,99.16688333333332,102.07996666666666,104.60010000000003,106.23409999999997,104.76963333333329
1 min,83.22,79.85,79.12,81.07,81.12,85.33,89.03,84.41,86.89,92.7,95.73,95.72,93.69,94.32,93.01,90.67,91.37,93.66,95.0,98.4,98.94,102.21,104.57,106.12,104.81
1.5 hr,83.24217777777775,80.16083333333334,79.48837777777777,80.92701111111111,81.59421111111108,84.90166666666666,88.53618888888886,84.72475555555555,87.53669999999998,93.40726666666667,96.34908888888887,95.74944444444444,94.12267777777777,94.23961111111107,92.9473111111111,90.20226666666667,91.30721111111114,92.61354444444443,94.87393333333331,98.71584444444449,99.30377777777775,102.25108888888887,104.53001111111108,106.27431111111109,104.77422222222218
10 day,84.43900000000001,83.83000000000001,82.78200000000001,82.316,82.09399999999998,81.88799999999999,84.07199999999999,84.60799999999999,85.21099999999998,86.25699999999999,89.34099999999998,91.167,91.778,92.94699999999999,93.791,94.149,94.022,93.905,93.51299999999999,93.92099999999998,94.52699999999999,95.678,100.536,101.826,103.49100000000001
10 min,83.2009,79.8725,79.51219999999999,81.1561,81.10849999999999,85.1155,88.80850000000001,84.7618,87.225,93.1055,95.687,95.45049999999999,93.8695,94.2788,92.7733,90.4445,91.1443,93.512,94.9627,98.38899999999998,98.9005,101.97770000000001,104.497,106.296,104.90620000000001
100 day,80.9479,81.0759,81.19880000000002,81.27100000000002,81.46990000000001,81.62760000000002,82.14119999999998,82.20290000000001,82.29310000000001,82.43790000000001,82.78070000000001,83.131,83.28559999999999,83.58939999999998,83.69230000000002,83.7379,83.78689999999999,83.84679999999999,84.08529999999999,84.2025,84.3222,84.46439999999998,85.05230000000002,85.18950000000001,85.47760000000004
125 day,77.76768000000004,77.88616000000003,77.99488000000004,78.11864000000001,78.41312000000002,78.73296000000002,79.55064,79.71928000000001,79.89416000000001,80.11760000000001,80.60239999999999,81.04799999999999,81.26279999999997,81.69159999999998,81.89207999999999,82.07447999999997,82.27479999999997,82.50807999999998,83.47543999999999,83.67631999999999,83.8688,84.09327999999996,85.16120000000001,85.38432,85.81400000000005
15 min,83.13593333333334,79.87366666666667,79.63246666666666,81.0214,81.221,85.0914,88.62066666666666,84.8748,87.27833333333332,93.233,95.74166666666665,95.44500000000001,93.93160000000002,94.2662,92.798,90.48333333333333,91.2312,93.451,94.95913333333333,98.36633333333332,98.94233333333332,101.9564666666667,104.566,106.30879999999999,104.92313333333335
150 day,75.47880000000004,75.59460000000004,75.71006666666672,75.8386666666667,76.09426666666671,76.36646666666671,77.03760000000003,77.17800000000004,77.33333333333337,77.52466666666669,77.92160000000003,78.31860000000002,78.51480000000001,78.90906666666667,79.08760000000002,79.24880000000002,79.41760000000001,79.59786666666668,80.59386666666667,80.82820000000001,81.08306666666667,81.35013333333332,82.68406666666668,82.95966666666668,83.49320000000002
175 day,73.19871428571432,73.33557142857146,73.4620285714286,73.5900285714286,73.8328285714286,74.06848571428574,74.70651428571432,74.86234285714289,75.0447428571429,75.25428571428574,75.7070285714286,76.15525714285718,76.35651428571431,76.73994285714288,76.90988571428575,77.06062857142858,77.21005714285715,77.37451428571428,78.29474285714288,78.50565714285717,78.71891428571432,78.94314285714287,80.09051428571432,80.33114285714288,80.78240000000004
2 day,83.72,81.52,79.485,80.09,81.69,81.99,89.005,86.755,85.785,89.9,95.315,95.575,94.68,94.85,93.62,91.795,91.055,92.545,94.11500000000001,96.70500000000001,98.69,100.58000000000001,104.455,105.345,105.03
2 hr,83.28625833333332,80.24432500000003,79.58151666666669,81.19628333333335,81.48465833333329,84.7045166666667,88.7356916666667,84.75434999999999,87.62005,93.47405833333336,96.33885,95.81947499999997,94.10324166666665,94.22702500000001,93.06118333333333,90.2329166666667,91.37161666666672,92.43985000000004,94.81627499999999,98.8152416666667,99.4566083333333,102.34085833333327,104.57880833333327,106.26565833333333,104.74846666666664
