,2019-01-03,2019-01-04,2019-01-11,2019-01-15
1 hr,136.43271666666666,143.98571666666666,156.93685000000002,158.41809999999998
1 min,135.94,144.49,157.87,158.95
1.5 hr,136.6842,144.00207777777777,156.64717777777778,158.19382222222217
10 day,140.01654000000002,139.91172,146.01038,148.86654
10 min,136.381,144.2875,157.70350000000002,158.6735
100 day,174.525769,174.19080899999997,172.77463900000004,172.271251
125 day,171.58589999999998,171.54290399999996,171.48232000000002,171.5793088
15 min,136.43933333333334,144.15633333333335,157.6584,158.68466666666663
150 day,168.96275866666667,168.92752533333334,168.78359733333335,168.75413666666668
175 day,166.17417942857145,166.1387702857143,166.16545828571432,166.2929342857143
2 day,138.76465000000002,140.0525,155.46635,157.2733
2 hr,136.9797166666667,143.93495833333333,156.39400000000015,158.18622499999998
2.5 hr,137.2352866666667,143.89399999999998,156.2252200000001,158.1944666666667
20 day,147.4789,146.685245,144.77698,145.18777999999998
20 min,136.428,144.0315,157.58830000000003,158.65849999999998
200 day,163.89795999999998,163.8812705,163.986365,164.0777565
25 min,136.44619999999998,143.99220000000003,157.51904000000002,158.60307999999998
3 hr,137.3940722222223,143.92283333333333,156.03862222222233,158.1007000000001
3.5 hr,137.5338333333334,143.9020952380952,155.95929047619057,158.03500952380963
30 day,151.4128966666667,151.0581666666667,149.87450333333334,149.52642666666668
30 min,136.4695,143.99266666666665,157.38723333333334,158.5652333333333
4 hr,137.5988958333334,143.78214583333326,155.94181666666677,157.87996666666672
4.5 hr,137.6906481481481,143.6344962962962,155.94566296296307,157.6666851851853
40 day,155.36266250000006,154.71939000000003,152.11329000000003,151.9063925
45 min,136.43631111111114,143.98262222222223,157.13162222222223,158.52748888888888
5 day,140.93098,141.55194,150.46882,154.83742
5 hr,137.61912666666663,143.5419799999999,155.82446333333343,157.54367666666673
5 min,136.192,144.74599999999998,157.746,158.71
5.5 hr,137.42825151515154,143.4753454545454,155.7107393939395,157.52803333333338
50 day,159.14438000000007,158.42906400000004,155.64802000000003,155.28081000000003
50 min,136.42012000000003,143.99276,157.06926,158.50184
55 min,136.4154181818182,143.99659999999997,157.00547272727275,158.4674909090909
6 hr,137.30182222222217,143.28739999999996,155.59090277777784,157.50697222222226
6.5 hr,137.52153333333328,143.00597692307693,155.36724102564108,157.4387153846154
60 day,163.13854666666666,162.39629333333335,159.67533333333338,158.7974883333334
70 day,168.34715285714285,167.55733,163.8527285714286,162.6233842857143
80 day,171.87019499999997,171.23752124999996,168.36234125000001,167.36202749999998
90 day,173.8279622222222,173.3463033333333,171.17469,170.45902666666663
Tomorrow,144.2454,145.63299999999998,156.0154,160.0486
