,2018-12-14,2018-12-18,2018-12-19,2018-12-20,2018-12-21,2018-12-26,2019-01-02,2019-01-03,2019-01-07,2019-01-08,2019-01-09,2019-01-10,2019-01-16,2019-01-18,2019-01-29,2019-02-01,2019-02-04,2019-02-11,2019-02-13,2019-02-14
1 hr,6.897999999999997,6.185616666666666,6.406216666666668,6.149233333333334,5.958566666666666,6.370633333333331,6.989116666666667,7.103966666666666,7.699966666666667,8.17781666666667,8.510416666666666,7.972550000000001,7.981950000000002,8.358483333333332,9.266233333333325,9.995500000000009,10.170483333333328,9.336016666666666,9.520549999999993,9.9671
1 min,6.9,6.15,6.4,6.1,5.96,6.51,7.1,7.14,7.81,8.28,8.57,7.98,7.97,8.35,9.25,10.09,10.21,9.41,9.52,9.98
1.5 hr,6.900711111111102,6.185855555555558,6.437844444444448,6.153733333333335,5.973355555555554,6.319466666666669,7.003755555555553,7.14528888888889,7.667733333333337,8.160811111111114,8.52337777777778,7.950855555555551,7.990322222222223,8.389499999999998,9.27935555555555,9.99090000000001,10.17464444444443,9.323411111111112,9.518722222222214,9.968688888888899
10 day,7.018000000000001,6.790000000000001,6.7219999999999995,6.639,6.556,6.444,6.447999999999999,6.545999999999999,6.8180000000000005,7.046000000000001,7.302000000000001,7.448,7.813000000000001,8.020000000000001,8.315,8.895,9.081,9.769,9.736,9.735999999999999
10 min,6.891999999999999,6.1819999999999995,6.393699999999999,6.104100000000001,5.932900000000001,6.474900000000001,7.0188999999999995,7.105700000000001,7.737500000000002,8.2255,8.523,7.9879999999999995,7.9428,8.3461,9.2529,10.0659,10.21,9.3872,9.5205,9.979000000000003
100 day,8.119299999999999,8.0895,8.076799999999999,8.0625,8.0441,8.012099999999998,7.992900000000001,7.993,8.004,8.015500000000001,8.0302,8.037700000000001,8.0342,8.0288,7.973200000000002,8.027800000000003,8.048800000000002,8.0934,8.0929,8.101400000000002
125 day,8.167439999999997,8.118239999999997,8.098159999999996,8.076639999999998,8.057039999999997,8.021759999999997,7.968399999999999,7.9558399999999985,7.940959999999997,7.9398399999999985,7.942959999999999,7.941679999999999,7.937279999999999,7.942639999999999,7.980240000000001,8.031040000000003,8.052080000000002,8.1516,8.1884,8.2116
15 min,6.891333333333333,6.186333333333332,6.388533333333332,6.1094,5.933266666666667,6.451933333333334,7.0066,7.105666666666666,7.716133333333334,8.222533333333335,8.519,7.997,7.947533333333333,8.336066666666666,9.2516,10.043333333333333,10.202,9.385466666666666,9.520466666666666,9.985999999999999
150 day,8.679733333333331,8.613866666666667,8.578999999999999,8.541666666666666,8.503266666666667,8.430866666666667,8.32226666666667,8.293000000000001,8.242933333333333,8.225333333333335,8.208866666666667,8.1888,8.101600000000001,8.057466666666668,8.005733333333337,8.035933333333338,8.04786666666667,8.084133333333337,8.096533333333337,8.108666666666668
175 day,8.815999999999999,8.797085714285712,8.785942857142855,8.771142857142856,8.754914285714285,8.722457142857142,8.64817142857143,8.633600000000001,8.604571428571429,8.596457142857144,8.591028571428572,8.581314285714285,8.53714285714286,8.51114285714286,8.414457142857147,8.384571428571435,8.380342857142862,8.340057142857148,8.318857142857148,8.312914285714289
2 day,6.85,6.34,6.275,6.244999999999999,6.035,6.265,7.03,7.125,7.605,8.03,8.41,8.275,7.915,8.305,9.125,10.05,10.155000000000001,9.455,9.355,9.765
2 hr,6.9177833333333325,6.224233333333336,6.454341666666668,6.124899999999998,5.980466666666666,6.291308333333341,7.009283333333326,7.170316666666668,7.660808333333334,8.136391666666672,8.532833333333334,7.934266666666661,7.999266666666661,8.385933333333334,9.271966666666664,9.98993333333334,10.180858333333326,9.333091666666673,9.51849166666666,9.96143333333335
2.5 hr,6.92972666666667,6.245173333333337,6.472046666666666,6.111059999999994,5.9845066666666655,6.271893333333338,7.022479999999991,7.1812800000000045,7.667906666666666,8.126786666666664,8.542019999999996,7.925026666666666,8.004833333333327,8.371579999999991,9.269506666666663,9.988106666666672,10.178200000000004,9.337946666666657,9.522759999999993,9.95332666666669
