,2018-12-11,2018-12-12,2018-12-13,2018-12-14,2018-12-17,2018-12-18,2018-12-19,2018-12-20,2018-12-21,2018-12-26,2018-12-31,2019-01-02,2019-01-04,2019-01-07,2019-01-08,2019-01-09,2019-01-10,2019-01-11,2019-01-14,2019-01-16,2019-01-17,2019-01-18,2019-01-22,2019-01-23,2019-01-24,2019-01-25,2019-01-28,2019-01-29,2019-01-31,2019-02-01,2019-02-04,2019-02-05,2019-02-06,2019-02-08,2019-02-11,2019-02-12,2019-02-13,2019-02-14,2019-02-15
1 hr,94.23188333333334,85.29289999999997,76.16029999999998,74.44094999999999,65.18258333333334,76.56978333333333,70.85721666666667,79.44023333333332,72.86165000000004,70.93768333333335,71.05978333333334,70.16000000000001,69.39686666666667,71.17183333333332,82.23258333333332,81.97434999999997,81.17908333333334,96.38513333333337,101.89148333333334,84.33274999999999,83.69603333333332,76.16326666666667,72.60953333333336,71.80281666666669,74.3652,75.73630000000001,80.04273333333335,78.18911666666666,81.07668333333336,81.8687833333333,84.21865000000001,82.71193333333335,78.06969999999998,77.27700000000002,75.95946666666667,75.97253333333335,77.29346666666667,76.36306666666665,76.68480000000001
1 min,94.05,84.5,75.565,75.13,65.88,76.77,71.31,78.3,74.85,71.3,70.6,70.46,69.77,71.9,83.25,79.69,80.75,95.955,100.11,85.57,83.48,77.14,72.85,71.71,74.18,75.34,81.868,79.06,80.26,81.91,83.36,83.25,78.0,79.25,75.51,76.01,77.28,76.55,76.49
1.5 hr,94.22514444444444,85.76641111111108,74.77173333333333,74.0494,65.7885888888889,76.99415555555558,71.31078888888888,79.21775555555554,72.6525666666667,70.71582222222223,71.07722222222222,70.27674444444445,69.52823333333333,70.98336666666665,82.14496666666663,81.99433333333332,81.18863333333334,97.13940000000002,101.9311888888889,84.1229,83.7542888888889,76.70322222222224,72.4861777777778,71.87101111111113,74.52833333333335,75.81689999999998,79.88721111111113,78.11985555555555,81.16231111111112,82.02739999999997,84.8787777777778,82.50514444444444,78.07485555555553,77.35928888888887,75.97896666666668,76.1074888888889,77.36425555555556,76.34581111111113,76.81845555555554
10 day,102.819,99.86700000000002,96.33100000000002,93.124,89.468,86.824,83.898,81.82799999999999,79.28999999999999,74.457,72.621,73.078,72.323,71.68299999999999,72.522,73.354,74.244,76.736,79.236,81.985,83.33000000000001,84.05499999999999,84.14500000000001,82.99300000000001,82.419,81.914,80.507,78.39800000000001,77.346,77.19200000000001,77.779,78.82600000000001,79.46700000000001,80.45900000000002,79.80799999999999,79.496,79.477,79.09,78.548
10 min,94.3014,84.5461,75.5425,74.64290000000001,65.2588,76.76429999999999,71.40530000000001,78.2893,74.4847,71.0977,70.5446,70.2635,69.93990000000001,71.721,83.0267,80.3171,80.6686,96.35150000000002,100.52539999999999,85.29899999999999,83.51379999999999,76.33430000000001,72.6968,71.737,74.1361,75.42710000000001,81.26919999999998,78.6399,80.32770000000001,81.6863,83.23570000000001,82.9204,77.95309999999999,77.7931,75.57040000000002,75.95570000000001,77.1677,76.4106,76.52329999999999
100 day,92.04665000000004,92.59375000000004,93.05445000000005,93.55215000000004,93.94615000000003,94.44715000000004,94.91415000000005,95.46875000000006,95.99645000000005,96.95725000000004,98.38825000000004,98.84545000000007,99.73075000000006,100.18310000000005,100.77320000000005,101.27920000000003,101.79050000000002,102.44360000000002,103.08610000000003,103.98160000000001,104.43360000000003,104.76700000000001,104.9606,105.163,105.28129999999999,105.44410000000002,105.61140000000002,105.63189999999999,105.512,105.55220000000001,105.53790000000001,105.4127,105.1447,104.4489,104.00119999999998,103.21079999999998,101.84309999999999,100.84579999999998,100.38069999999998
125 day,89.09236000000003,88.96700000000003,88.90812000000005,88.82428000000004,88.68380000000003,88.67820000000003,88.66380000000004,88.71628000000004,88.72356000000005,88.60836000000005,88.44628000000006,88.35468000000009,88.14356000000006,88.09356000000007,88.11972000000007,88.12340000000006,88.16324000000006,88.32372000000007,88.50660000000005,88.62964000000004,89.11812000000005,89.49756000000004,89.84436000000002,90.21540000000002,90.59516000000002,90.98676000000003,91.44780000000004,91.89756000000003,92.80108000000004,93.26540000000004,93.73676000000003,94.20420000000004,94.63196000000003,95.50308000000003,95.89988000000004,96.29408000000002,96.71840000000002,97.09856,97.47632
15 min,94.44053333333332,84.6212,75.63033333333334,74.53533333333334,65.06133333333334,76.6386,71.19253333333334,78.64693333333335,74.27326666666667,71.09819999999999,70.59633333333335,70.17946666666667,69.898,71.763,82.94786666666667,80.72933333333332,80.59706666666668,96.34306666666666,101.06326666666665,85.46473333333331,83.53386666666667,76.10313333333333,72.66466666666666,71.7444,74.2492,75.50673333333334,81.17426666666667,78.70986666666666,80.53893333333333,81.66760000000001,83.52146666666667,82.86106666666667,77.9482,77.60419999999999,75.64180000000003,75.91893333333334,77.17966666666666,76.39313333333332,76.56326666666665
150 day,87.40010000000001,87.30330000000001,87.13843333333335,86.99170000000002,86.80383333333334,86.75063333333335,86.72050000000002,86.74163333333337,86.80150000000003,86.77070000000003,86.71883333333338,86.71190000000006,86.6700333333334,86.67910000000005,86.76443333333339,86.82910000000005,86.8987666666667,87.05943333333337,87.17203333333337,87.2279666666667,87.14430000000004,86.99130000000004,86.92410000000004,86.83163333333336,86.76836666666668,86.75603333333336,86.81690000000003,86.86570000000002,86.92343333333338,86.92330000000004,86.95003333333338,86.98863333333338,86.97303333333338,86.93470000000005,86.88236666666671,86.86763333333337,86.84963333333339,86.83216666666671,86.83930000000004
175 day,90.29465714285716,90.26254285714288,90.1524285714286,90.01614285714288,89.82414285714287,89.68425714285716,89.47934285714288,89.12905714285716,88.87860000000002,88.4240285714286,87.82751428571432,87.59882857142861,87.1941428571429,86.98037142857146,86.79311428571432,86.59631428571431,86.4043142857143,86.31928571428574,86.27900000000002,86.06814285714287,85.97208571428574,85.8475142857143,85.69065714285715,85.54551428571429,85.43060000000001,85.3784285714286,85.41505714285717,85.4375142857143,85.52654285714289,85.58888571428575,85.61614285714289,85.66414285714289,85.70282857142861,85.79797142857146,85.79951428571432,85.83037142857145,85.86940000000003,85.9072285714286,85.94460000000002
