,2018-12-11,2018-12-12,2018-12-13,2018-12-14,2018-12-17,2018-12-18,2018-12-19,2018-12-20,2018-12-21,2018-12-26,2018-12-31,2019-01-02,2019-01-03,2019-01-04,2019-01-08,2019-01-09,2019-01-10,2019-01-11,2019-01-15,2019-01-16,2019-01-17,2019-01-18,2019-01-22,2019-01-23,2019-01-24,2019-01-25,2019-01-28,2019-01-29,2019-01-30,2019-01-31,2019-02-01,2019-02-05,2019-02-06,2019-02-07,2019-02-08,2019-02-11,2019-02-12,2019-02-13,2019-02-14,2019-02-15
1 hr,118.75568333333332,118.33833333333337,118.10941666666663,118.52996666666664,119.15591666666666,119.66921666666667,121.30680000000002,120.81703333333334,120.6901833333333,120.11181666666661,121.41454999999999,122.06288333333332,123.54164999999995,122.09256666666667,121.49711666666667,120.99311666666662,120.42195000000001,120.79366666666671,120.04901666666667,120.10286666666667,120.15421666666666,119.65461666666664,120.41594999999998,120.30469999999995,121.03703333333331,120.5246333333333,120.46858333333333,120.96779999999994,120.75821666666666,121.97758333333334,120.97791666666667,120.87026666666672,121.0013666666667,121.83171666666667,122.40916666666666,121.9415833333333,121.47843333333331,121.12781666666669,121.67636666666665,121.93764999999999
1 min,118.9,118.36,118.09,118.48,119.15,119.6,121.17,120.7,120.71,120.02,121.51,122.14,123.54,122.13,121.46,121.21,120.46,120.92,120.04,120.16,120.17,119.58,120.31,120.32,121.08,120.54,120.41,121.02,120.93,121.9,120.955,120.96,121.02,121.83,122.347,121.87,121.555,121.12,121.78,121.97
1.5 hr,118.78133333333335,118.39915555555557,118.14274444444449,118.5866777777777,119.13204444444446,119.65979999999996,121.16031111111113,120.95314444444448,120.64935555555553,120.23915555555557,121.35134444444444,121.9732777777778,123.53471111111106,122.11122222222218,121.5517777777778,121.02376666666663,120.4762666666667,120.83962222222227,120.07626666666667,120.07096666666665,120.17405555555554,119.68172222222218,120.45193333333333,120.30723333333336,121.05880000000003,120.53559999999997,120.50166666666668,120.95133333333328,120.75047777777776,121.97549999999994,120.97530000000002,120.8681666666667,120.9681444444445,121.80267777777776,122.38726666666668,121.91136666666664,121.46848888888887,121.12631111111115,121.69425555555561,121.92401111111107
10 day,116.13246999999998,116.49141999999999,116.87810999999999,117.26091999999998,117.66970999999998,118.06820999999998,118.43126,118.71358000000001,118.97200000000001,119.38331000000002,120.23531,120.56075999999999,120.95387999999998,121.04667000000002,121.21828000000001,121.21029000000003,121.25419000000002,121.34299000000001,121.13944999999998,120.94089999999998,120.60664999999999,120.35222000000002,120.21453000000001,120.10378,120.09081,120.09779,120.04591,120.09978000000001,120.18858,120.36917000000001,120.47324999999998,120.67330999999999,120.77141999999999,120.87071,121.07987,121.253,121.33377,121.37802000000002,121.3875,121.48950000000002
10 min,118.8931,118.352,118.0845,118.47399999999998,119.24300000000001,119.62859999999998,121.22460000000001,120.77059999999999,120.7115,120.02330000000002,121.51380000000002,122.09100000000001,123.4775,122.17429999999999,121.446,121.2168,120.4425,120.8656,120.0204,120.11619999999998,120.19460000000001,119.65029999999999,120.35830000000001,120.3183,121.05199999999998,120.5972,120.44800000000001,120.99679999999998,120.87740000000001,121.90800000000002,120.97250000000001,120.94850000000001,121.0115,121.75330000000001,122.39020000000001,121.9202,121.56019999999998,121.1327,121.71549999999999,121.95750000000001
100 day,115.82746800000007,115.81716500000005,115.81873800000007,115.82035700000006,115.83071400000004,115.85043600000004,115.88395500000004,115.91711900000006,115.94368600000006,116.01334300000003,116.10847700000004,116.15565600000004,116.20684100000004,116.23517800000005,116.28906800000004,116.30694900000005,116.31714600000004,116.33055300000004,116.33206400000003,116.32911000000001,116.32458100000002,116.311399,116.31320300000002,116.32170700000002,116.33651500000003,116.34297200000005,116.35104300000005,116.37204600000004,116.39531500000004,116.42461100000004,116.45663800000005,116.51568800000007,116.55029300000004,116.59111900000003,116.64277900000005,116.68963900000006,116.74560600000004,116.80394200000006,116.86384100000006,116.92613400000003
125 day,116.55624640000008,116.55400080000005,116.54866160000006,116.54745120000005,116.54623680000005,116.55902960000004,116.57948640000004,116.59650960000005,116.61125200000005,116.62831440000004,116.65182400000002,116.66638560000004,116.68928720000004,116.69762560000004,116.71851760000004,116.72250880000006,116.72035280000004,116.71950800000005,116.71696400000003,116.71965680000002,116.71652720000003,116.72017680000003,116.74202240000002,116.76024080000005,116.78626080000005,116.80946160000006,116.83013040000007,116.85889600000007,116.88182560000007,116.92073520000005,116.95242240000007,117.00169440000008,117.03362560000006,117.07101040000006,117.10466480000005,117.12761520000006,117.15001760000006,117.17091040000007,117.19180080000007,117.21428960000004
15 min,118.87573333333333,118.34146666666666,118.07766666666664,118.49659999999999,119.2456,119.63406666666667,121.2474,120.77973333333331,120.69433333333335,120.0308666666667,121.48106666666669,122.08933333333331,123.4448,122.1528,121.46413333333334,121.20453333333336,120.42766666666668,120.8334,120.01766666666666,120.13033333333333,120.18373333333336,119.64286666666666,120.36313333333334,120.30266666666667,121.05806666666665,120.59273333333333,120.4512,120.9852,120.8852666666667,121.92693333333334,120.98133333333335,120.94233333333337,121.0168,121.74453333333334,122.39513333333336,121.92146666666667,121.55879999999999,121.1338,121.69433333333336,121.94146666666668
150 day,116.56407600000009,116.57898200000005,116.58582666666672,116.5934326666667,116.60973133333336,116.63958066666669,116.68287866666665,116.72710333333336,116.76466400000002,116.83951266666668,116.92371000000007,116.93793466666672,116.96676066666672,116.9873806666667,117.03576533333336,117.05864400000003,117.08268400000001,117.10232266666671,117.13883933333338,117.15695666666672,117.17566600000005,117.18370466666671,117.19641133333339,117.20950533333338,117.22327200000007,117.24011866666675,117.2520440000001,117.26809200000008,117.28177400000008,117.30126133333341,117.3083853333334,117.32145666666673,117.33222333333339,117.34405933333338,117.35706600000005,117.36424866666671,117.374514,117.38181133333336,117.39062533333338,117.40077133333335
175 day,116.61389885714294,116.61299371428578,116.61552228571433,116.61306628571432,116.61341771428575,116.6190565714286,116.6313022857143,116.64601028571431,116.65904000000003,116.68224000000002,116.74964114285719,116.78428400000003,116.829868,116.87171142857143,116.93522628571428,116.96127371428572,116.98526914285713,117.01267200000002,117.05289714285718,117.07299942857145,117.09388857142861,117.11515942857146,117.13573142857145,117.15433885714289,117.1809765714286,117.21186400000003,117.24458628571435,117.2840891428572,117.3174811428572,117.3564668571429,117.39225942857148,117.44603771428578,117.46806857142863,117.4800051428572,117.4995034285715,117.51737828571434,117.53703942857146,117.55898171428576,117.58329600000006,117.6141382857143
