,2018-12-26,2019-01-02,2019-01-04,2019-01-07,2019-01-08,2019-01-09,2019-01-10,2019-01-15,2019-02-04,2019-02-05,2019-02-12,2019-02-13,2019-02-15
1 hr,35.91313333333333,33.49101666666666,34.65721666666666,36.87186666666667,39.23398333333334,40.55336666666666,42.20131666666667,43.04606666666668,43.095766666666655,43.675133333333335,46.46396666666667,45.75615,51.26291666666666
1 min,36.48,34.0,34.7,36.9,40.01,40.64,42.219,43.02,42.967,43.51,46.47,46.22,51.56
1.5 hr,35.720477777777774,33.37232222222224,34.70945555555556,36.86880000000001,39.13365555555556,40.52654444444443,42.503922222222215,43.03631111111113,43.147022222222205,43.68052222222221,46.532566666666675,45.74715555555553,51.23397777777779
10 day,34.058,34.366,34.378,34.90599999999999,35.754,36.607000000000006,37.18000000000001,38.742999999999995,42.885000000000005,42.995,43.25,43.547999999999995,45.028999999999996
10 min,36.353699999999996,33.924,34.676,36.9011,40.00999999999999,40.741,42.1862,42.9848,42.9644,43.60999999999999,46.3507,46.01219999999999,51.331900000000005
100 day,37.221000000000004,37.408,37.45419999999999,37.5062,37.571099999999994,37.6472,37.7301,37.9398,38.0035,37.9727,37.8413,37.903999999999996,38.043800000000005
125 day,34.865000000000016,35.32352000000001,35.48968000000001,35.60152000000001,35.73848000000002,35.86904000000002,36.00304000000002,36.37840000000001,37.98615999999999,38.075599999999994,38.569520000000004,38.6712,38.941919999999996
15 min,36.29313333333333,33.90646666666667,34.63666666666667,36.8926,39.88533333333333,40.705933333333334,42.205733333333335,43.0082,42.969400000000014,43.65333333333333,46.36246666666666,45.907466666666664,51.31466666666667
150 day,31.981700000000014,32.58370000000002,32.84156666666669,32.991300000000024,33.15656666666669,33.32490000000003,33.49970000000003,34.027233333333356,35.96623333333334,36.109500000000004,36.805066666666676,36.96066666666667,37.30073333333334
175 day,28.71440000000001,29.373771428571438,29.67457142857144,29.8397142857143,30.023714285714306,30.212342857142875,30.408971428571448,30.996400000000015,33.386885714285725,33.55648571428573,34.395800000000015,34.573000000000015,34.969628571428586
2 day,34.29,35.985,33.480000000000004,35.8,38.445,40.32,41.42,42.120000000000005,42.725,43.235,45.41,46.335,50.39
2 hr,35.56493333333334,33.41147500000002,34.79780000000001,36.913349999999994,39.046875,40.4838,42.76443333333332,43.110916666666654,43.18684166666664,43.680691666666654,46.50241666666667,45.744099999999975,51.279833333333364
2.5 hr,35.41766666666668,33.526540000000004,34.87124666666666,36.98929333333333,38.931326666666656,40.46400666666668,42.88951999999999,43.20454000000001,43.22096666666665,43.63489999999997,46.472426666666664,45.738913333333315,51.237280000000034
20 day,34.842499999999994,34.973,34.6445,34.733,35.058499999999995,35.33150000000001,35.619000000000014,36.528,42.356500000000004,42.6875,43.20049999999999,43.36049999999999,43.98649999999999
20 min,36.28655,33.81785,34.6019,36.8746,39.700500000000005,40.6666,42.17555,43.01765,42.968800000000016,43.65454999999999,46.37614999999999,45.907799999999995,51.29045000000001
200 day,25.76845000000001,26.41650000000001,26.71315000000001,26.87910000000001,27.060150000000018,27.24340000000002,27.433750000000018,27.996300000000016,30.383300000000006,30.564100000000003,31.462600000000013,31.654700000000005,32.081500000000005
25 min,36.23444,33.73987999999999,34.608760000000004,36.877280000000006,39.57712000000001,40.65628,42.14304,43.01968,42.97264000000001,43.65756,46.39475999999999,45.87984,51.27716
3 hr,35.285900000000005,33.57439444444445,34.941711111111104,37.03318888888889,38.860355555555536,40.4932888888889,42.96279999999999,43.24086666666667,43.222566666666644,43.576999999999984,46.52381666666666,45.71577777777778,51.180022222222256
3.5 hr,35.14818571428573,33.63405238095239,34.985276190476185,37.03184761904762,38.787719047619035,40.545600000000015,43.059909523809516,43.23261904761904,43.165999999999976,43.53614285714282,46.57583809523808,45.76305238095238,51.097571428571456
30 day,33.885666666666665,34.416666666666664,34.531,34.812333333333335,35.058,35.34266666666667,35.62166666666667,36.32366666666667,39.696999999999996,40.09366666666666,41.54633333333334,41.821333333333335,42.97233333333334
30 min,36.177099999999996,33.67823333333333,34.62070000000001,36.86273333333334,39.4888,40.642633333333336,42.139166666666675,43.026666666666664,42.99363333333334,43.6621,46.40729999999999,45.83753333333333,51.276133333333334
4 hr,35.00641666666669,33.70236666666667,34.93587083333335,37.045616666666675,38.74838333333334,40.62956666666667,43.086062500000004,43.238320833333326,43.07937499999996,43.50376249999997,46.603662500000006,45.78619999999998,51.017750000000014
