,2018-12-11,2018-12-12,2018-12-18,2018-12-19,2018-12-20,2018-12-21,2018-12-26,2018-12-31,2019-01-02,2019-01-03,2019-01-04,2019-01-07,2019-01-08,2019-01-09,2019-01-10,2019-01-11,2019-01-14,2019-01-16,2019-01-18,2019-01-22,2019-01-23,2019-01-24,2019-01-30,2019-02-05,2019-02-06,2019-02-07,2019-02-08,2019-02-11,2019-02-13,2019-02-14,2019-02-15
1 hr,61.97333333333332,62.83629999999998,57.87133333333335,56.763799999999996,55.25433333333332,52.626316666666675,53.076299999999996,53.67828333333334,54.058600000000006,51.20524999999997,53.87888333333333,55.21621666666666,57.031233333333354,57.80451666666666,57.58999999999998,56.01773333333334,55.85098333333331,56.89098333333335,58.93388333333333,55.1305,55.29096666666665,56.63396666666664,57.06025000000001,60.04133333333335,59.43814999999999,58.463983333333324,59.494633333333354,59.49658333333335,57.032,58.09181666666665,56.79009999999999
1 min,61.79,62.55,57.97,56.67,55.03,52.44,53.67,53.96,54.26,51.04,53.91,55.21,57.17,57.85,57.53,56.01,55.75,56.9,59.04,55.32,55.64,56.68,57.13,59.96,59.22,58.64,59.16,59.54,56.93,57.76,56.8
1.5 hr,62.023499999999984,62.792866666666676,57.75295555555557,57.033111111111104,55.23427777777778,52.75600000000002,52.85095555555556,53.628688888888895,54.084077777777786,51.25854444444442,53.9012,55.158877777777775,57.06161111111114,57.781255555555546,57.52816666666664,56.04754444444444,55.84945555555556,56.89782222222223,58.906455555555574,55.1145888888889,55.23986666666666,56.676144444444425,57.02202222222224,60.021966666666685,59.44738888888888,58.477188888888904,59.45513333333336,59.46155555555554,56.99213333333333,58.09596666666666,56.77243333333332
10 day,62.899000000000015,62.96600000000001,61.193000000000005,60.538,59.650999999999996,58.738,56.979,54.675,54.326,53.632000000000005,53.357000000000006,53.38000000000001,53.849000000000004,54.472,54.86,55.05000000000001,55.271,55.82000000000001,57.073,57.08,56.92099999999999,56.806,56.943999999999996,57.23100000000001,57.595000000000006,57.79299999999999,57.989999999999995,58.26500000000001,58.653,58.690999999999995,58.61
10 min,61.888999999999996,62.696000000000005,58.07650000000001,56.757999999999996,54.923500000000004,52.496500000000005,53.5785,53.628,54.25,51.18599999999999,53.91700000000001,55.232899999999994,57.069500000000005,57.752599999999994,57.5822,56.033500000000004,55.782999999999994,56.87950000000001,58.84799999999999,55.24400000000001,55.44200000000001,56.616499999999995,57.0388,59.908500000000004,59.386,58.51299999999999,59.2145,59.564600000000006,57.033,57.866200000000006,56.7461
100 day,54.39950000000001,54.42660000000001,54.389300000000006,54.3767,54.34440000000001,54.28930000000001,54.2539,54.25150000000001,54.246400000000015,54.20640000000001,54.202100000000016,54.21550000000002,54.24470000000002,54.29010000000001,54.32850000000001,54.353200000000015,54.372400000000006,54.435,54.544799999999995,54.564299999999996,54.5886,54.6141,54.765299999999996,55.060900000000004,55.14160000000001,55.227900000000005,55.316,55.4187,55.580299999999994,55.661899999999996,55.73
125 day,55.106719999999996,55.145360000000004,55.16335999999999,55.16047999999999,55.14728,55.12144,55.06368,55.00880000000001,54.992640000000016,54.94568000000002,54.91656000000002,54.89688000000002,54.89352000000002,54.88688000000001,54.87056000000001,54.845680000000016,54.81696000000001,54.75560000000001,54.73128,54.691359999999996,54.65848,54.62536,54.566320000000005,54.69752000000001,54.73520000000001,54.766720000000014,54.80000000000001,54.84152000000001,54.914960000000015,54.950640000000014,54.975360000000016
15 min,61.885,62.76466666666666,58.11299999999999,56.75666666666665,54.98500000000001,52.51333333333333,53.53433333333333,53.66333333333333,54.199333333333335,51.20566666666666,53.93213333333334,55.24199999999999,57.059666666666665,57.74773333333333,57.601800000000004,56.06066666666667,55.80246666666666,56.882333333333335,58.86133333333333,55.25033333333334,55.37633333333334,56.594333333333324,57.04586666666667,59.955333333333336,59.410000000000004,58.495999999999995,59.27866666666666,59.59706666666668,57.061866666666674,57.92546666666667,56.78040000000001
150 day,54.538,54.6376,54.925866666666664,54.97893333333332,55.02,55.050399999999996,55.11066666666666,55.206399999999995,55.23526666666666,55.23719999999999,55.24906666666666,55.249266666666664,55.25606666666667,55.25826666666665,55.26713333333332,55.27080000000001,55.27026666666667,55.258599999999994,55.279466666666664,55.25793333333333,55.23299999999999,55.21679999999999,55.21360000000001,55.26493333333335,55.28566666666668,55.30186666666668,55.317133333333345,55.33033333333335,55.34393333333335,55.33786666666668,55.31926666666668
175 day,52.456514285714285,52.57731428571429,53.009485714285724,53.10285714285714,53.184571428571445,53.2529142857143,53.37960000000001,53.586742857142866,53.65262857142858,53.7048,53.793885714285715,53.89588571428572,54.0096,54.12628571428571,54.24074285714284,54.342,54.44348571428572,54.64742857142857,54.8250857142857,54.86394285714284,54.90159999999998,54.94742857142856,55.13954285714285,55.359828571428565,55.41548571428571,55.46565714285714,55.51394285714285,55.55622857142857,55.590342857142865,55.591771428571434,55.59508571428572
2 day,61.44,62.175,57.845,57.325,55.84,53.745,52.644999999999996,53.745,54.08,52.629999999999995,52.480000000000004,54.58,56.205,57.505,57.7,56.790000000000006,55.89,56.825,58.745000000000005,57.175,55.445,56.135,56.725,58.785,59.585,58.945,58.935,59.370000000000005,58.665,57.349999999999994,57.285
2 hr,61.95274999999997,62.84887500000001,57.80870833333333,57.24242500000001,55.09283333333336,52.85156666666669,52.71328333333334,53.66936666666665,54.05931666666667,51.23935833333332,53.8808,55.18968333333333,57.106166666666724,57.75222499999999,57.524824999999986,56.13453333333333,55.84755000000003,56.910033333333324,58.882875000000006,55.177274999999995,55.23367499999998,56.711916666666674,56.98218333333337,60.02020833333334,59.43909166666664,58.47202500000002,59.44969166666669,59.526583333333306,56.93860833333334,58.08952499999999,56.733774999999966
2.5 hr,61.91739999999998,62.9425066666667,57.851386666666635,57.56511333333334,55.06190000000001,52.95523333333334,52.63402666666667,53.75469999999998,54.02407333333334,51.27547999999997,53.906873333333344,55.22159333333332,57.098833333333374,57.73591999999999,57.48802666666666,56.22462666666665,55.86774666666668,56.889126666666655,58.874060000000014,55.290720000000015,55.22084666666666,56.712640000000015,56.87690000000001,60.028593333333376,59.470153333333315,58.50198000000004,59.41599333333337,59.58899333333332,56.876253333333345,58.07056666666662,56.71938666666664
20 day,62.092999999999996,62.0875,61.41050000000001,61.20050000000001,61.01300000000001,60.667500000000004,59.939,58.581999999999994,58.09000000000001,57.41250000000001,56.94750000000001,56.515499999999996,56.293499999999995,56.13100000000001,55.919500000000006,55.59250000000001,55.311,55.073,55.21499999999999,55.22999999999998,55.38499999999998,55.63899999999999,56.248000000000005,57.1555,57.258,57.2995,57.381499999999996,57.55750000000002,57.79850000000001,57.84150000000001,57.75949999999999
20 min,61.87124999999999,62.81949999999999,58.1005,56.699749999999995,55.04075,52.496500000000005,53.505250000000004,53.706,54.14150000000001,51.21374999999999,53.9111,55.24749999999999,57.04174999999999,57.76405,57.620850000000004,56.06925000000001,55.81859999999999,56.8875,58.89649999999999,55.25600000000001,55.35025,56.577749999999995,57.030899999999995,59.98875,59.417950000000005,58.49400000000001,59.31845,59.599300000000014,57.0774,57.97009999999999,56.787550000000024
200 day,51.08855000000001,51.20270000000002,51.58410000000003,51.65555000000002,51.71770000000003,51.767850000000024,51.86330000000002,52.02100000000002,52.073250000000016,52.11485000000002,52.175550000000015,52.24380000000001,52.32910000000001,52.418099999999995,52.49619999999999,52.57465,52.6504,52.818599999999996,52.99889999999999,53.06859999999999,53.14574999999999,53.230199999999996,53.555600000000005,53.88415000000002,53.97215000000001,54.05205000000001,54.1385,54.24455000000001,54.45790000000001,54.55960000000001,54.656000000000006
