,2018-12-17,2018-12-19,2019-01-03,2019-01-17,2019-02-07
1 hr,33.42323333333334,32.40108333333334,31.065233333333307,35.63975,38.16555
1 min,33.54,32.48,30.94,35.7,38.31
1.5 hr,33.47475555555557,32.5595777777778,31.132699999999996,35.62477777777778,38.109722222222224
10 day,35.775999999999996,34.702,31.656,34.444,37.556000000000004
10 min,33.4538,32.4685,30.967000000000002,35.605000000000004,38.25449999999999
100 day,39.146499999999996,39.091699999999996,38.47839999999999,37.95659999999999,37.23439999999999
125 day,38.07376,38.04711999999999,37.96159999999999,37.98911999999997,38.01495999999997
15 min,33.428266666666666,32.437999999999995,30.983,35.619,38.25699999999999
150 day,37.488600000000005,37.46346666666667,37.28046666666666,37.2801333333333,37.618133333333304
175 day,37.1647142857143,37.139685714285726,36.90882857142857,36.88639999999998,37.09028571428569
2 day,34.07,32.78,31.7,35.415,38.58
2 hr,33.50587500000002,32.66979166666667,31.183916666666672,35.58054166666664,38.065599999999996
2.5 hr,33.54204000000001,32.82849999999999,31.221339999999987,35.54963333333331,38.059859999999986
20 day,36.1755,35.928,33.407999999999994,33.05,36.5905
20 min,33.4182,32.39675,30.996499999999997,35.64424999999999,38.25224999999999
200 day,37.12147500000001,37.06567500000001,36.750325000000004,36.68807499999999,36.79587499999998
25 min,33.41296,32.384479999999996,31.02096,35.663799999999995,38.22447999999999
3 hr,33.572172222222235,32.9320111111111,31.245505555555553,35.52229999999997,38.03224444444442
3.5 hr,33.60499047619049,33.01167142857142,31.280900000000006,35.4933095238095,38.01541904761902
30 day,36.32333333333333,36.02733333333333,34.58699999999999,33.75333333333333,35.211666666666666
30 min,33.4028,32.38306666666667,31.0418,35.67363333333333,38.2084
4 hr,33.66544166666668,33.05217083333332,31.311341666666678,35.48339583333332,37.983854166666646
4.5 hr,33.722059259259275,33.06892592592592,31.349618518518522,35.47483333333331,37.96505555555553
40 day,36.577749999999995,36.307,35.028999999999996,34.55125,34.68974999999999
45 min,33.409644444444446,32.39477777777778,31.05119999999998,35.665933333333335,38.202488888888894
5 day,34.67999999999999,33.721999999999994,32.064,35.28,38.274
5 hr,33.778213333333355,33.082866666666625,31.357226666666666,35.44886333333331,37.93574666666665
5 min,33.4956,32.507,30.954,35.613,38.26199999999999
5.5 hr,33.83281515151516,33.10273636363632,31.337660606060595,35.420678787878764,37.91304545454543
50 day,37.20579999999999,36.862199999999994,35.493399999999994,34.912000000000006,35.1848
50 min,33.417280000000005,32.39970000000001,31.053279999999976,35.657,38.193940000000005
55 min,33.42043636363637,32.39554545454546,31.058981818181792,35.648999999999994,38.18132727272727
6 hr,33.875775000000004,33.11829444444441,31.32168888888886,35.40094166666662,37.846072222222205
6.5 hr,33.90234358974359,33.13033589743589,31.35050769230767,35.3851897435897,37.730084615384605
60 day,38.16933333333331,37.82466666666665,36.13916666666666,35.3185,35.29233333333333
70 day,38.919999999999995,38.64257142857142,37.08799999999999,35.89699999999999,35.55885714285714
80 day,39.27712499999999,39.07674999999999,37.89524999999999,36.757499999999986,35.918625
90 day,39.307555555555545,39.16188888888888,38.34688888888888,37.51177777777777,36.548999999999985
Tomorrow,33.08,31.62,32.1,36.59,38.18
