,2018-12-12,2018-12-13
1 hr,30.435049999999993,29.512499999999992
1 min,30.3,29.35
1.5 hr,30.450055555555547,29.483899999999988
10 day,31.146000000000004,30.883
10 min,30.339499999999997,29.406
100 day,33.089161,33.036122
125 day,33.0693912,33.04345360000001
15 min,30.360333333333333,29.433333333333334
150 day,32.90738733333334,32.89200200000002
175 day,32.603447428571435,32.59602514285716
2 day,30.259999999999998,29.83
2 hr,30.479525,29.455441666666662
2.5 hr,30.511986666666676,29.458953333333334
20 day,31.069539999999996,30.99662
20 min,30.386599999999998,29.45799999999999
200 day,32.44763500000002,32.441385000000025
25 min,30.394079999999995,29.47739999999999
3 hr,30.49611666666669,29.462716666666662
3.5 hr,30.477052380952404,29.4789238095238
30 day,31.06888,31.032510000000006
30 min,30.395733333333325,29.49816666666666
4 hr,30.48239166666669,29.491079166666673
4.5 hr,30.484455555555574,29.510688888888893
40 day,30.940717499999995,30.864047499999998
45 min,30.40544444444444,29.529222222222202
5 day,30.462,30.172000000000004
5 hr,30.490506666666697,29.53139666666668
5 min,30.314999999999998,29.378000000000004
5.5 hr,30.507409090909118,29.551596969696963
50 day,31.388444,31.318568
50 min,30.417259999999995,29.522899999999986
55 min,30.42805454545454,29.517454545454534
6 hr,30.49132777777781,29.572311111111095
6.5 hr,30.478366666666695,29.612343589743567
60 day,31.837511666666668,31.754130000000007
70 day,32.31259571428571,32.22453
80 day,32.688493750000006,32.617140000000006
90 day,32.90818222222222,32.852320000000006
Tomorrow,29.35,29.03
