,2018-12-12,2018-12-13,2018-12-14,2018-12-17,2018-12-18,2018-12-19,2018-12-20,2018-12-21,2018-12-26,2018-12-31,2019-01-02,2019-01-03,2019-01-04,2019-01-07,2019-01-08,2019-01-09,2019-01-10,2019-01-11,2019-01-14,2019-01-15,2019-01-17,2019-01-22,2019-01-23,2019-01-24,2019-01-28,2019-01-29,2019-01-30,2019-01-31,2019-02-01,2019-02-04,2019-02-05,2019-02-07,2019-02-08,2019-02-11,2019-02-12,2019-02-13,2019-02-14,2019-02-15
1 hr,94.51243333333333,92.9832,92.06710000000001,91.18158333333332,90.87978333333334,88.56823333333337,87.54238333333335,87.07696666666666,88.49106666666667,91.88300000000002,91.56695000000003,89.17318333333331,91.71995,92.14141666666664,92.22721666666665,92.84978333333338,92.36553333333336,90.00590000000004,91.28935000000001,92.37955000000004,94.64895000000003,94.2376333333333,93.60723333333337,93.72473333333336,94.4146333333333,93.01970000000003,89.44300000000001,93.01233333333333,93.78481666666667,94.94075000000001,94.41375000000001,93.47923333333334,92.11528333333334,92.62616666666668,96.96224999999998,98.21146666666665,97.74053333333335,97.2576
1 min,94.02,93.25,91.96,91.09,90.76,88.37,87.3,86.78,89.67,92.35,91.85,88.8,91.98,91.81,92.33,92.65,92.29,90.25,91.2,92.74,94.74,94.48,93.62,93.86,94.45,92.75,89.25,93.47,94.15,95.15,94.61,93.73,92.38,92.67,97.09,98.13,97.33,97.58
1.5 hr,94.41324444444446,92.93406666666668,92.01265555555557,91.29878888888886,90.90264444444446,89.14036666666672,87.68341111111114,87.29208888888888,88.1247111111111,91.78953333333334,91.70020000000004,89.33222222222219,91.69936666666672,92.09826666666666,92.20498888888889,92.8526888888889,92.35362222222227,90.04300000000003,91.27263333333333,92.25627777777778,94.69475555555556,94.21853333333328,93.5876777777778,93.67272222222222,94.37585555555555,93.10182222222222,89.44656666666667,92.94531111111108,93.75073333333332,94.9306111111111,94.44385555555556,93.44953333333333,92.1313666666667,92.6181666666667,96.93446666666668,98.23916666666668,97.74503333333331,97.26138888888893
10 day,94.99347,94.55868000000001,94.04154000000003,93.28251000000002,92.47865,91.86358,91.17819999999999,90.59765000000002,89.747,89.38899999999998,89.47,89.271,89.62799999999999,90.083,90.637,91.40700000000001,91.67100000000002,91.56500000000003,91.55,91.59300000000002,92.52900000000001,93.25399999999999,93.384,93.505,94.151,94.307,93.956,93.775,93.71600000000001,93.572,93.585,93.63300000000001,93.41600000000003,93.238,93.672,94.561,94.949,95.292
10 min,94.23649999999999,93.22849999999998,91.96849999999999,90.9505,91.139,88.546,87.07400000000001,86.60699999999999,89.292,91.826,91.6315,88.9783,91.89700000000002,91.97,92.36399999999999,92.57699999999998,92.44649999999999,90.16049999999998,91.172,92.6618,94.655,94.14200000000002,93.5385,93.7564,94.32199999999999,92.88649999999998,89.021,93.44400000000002,94.02900000000001,95.0085,94.55,93.71200000000002,92.12499999999999,92.66879999999999,97.009,98.07249999999999,97.49549999999999,97.42800000000003
100 day,105.62840599999996,105.36459099999996,105.08797399999996,104.76733999999996,104.47606399999995,104.18643199999995,103.90177599999996,103.59515399999997,103.02633499999995,102.27180299999996,102.00966599999994,101.72521799999996,101.48972899999995,101.25846299999995,101.02213299999995,100.80961699999997,100.585315,100.347616,100.11842899999998,99.89981199999998,99.524149,99.14981599999999,98.93713799999999,98.72902900000001,98.33784100000001,98.12958,97.89272800000002,97.71030500000002,97.58932200000005,97.46128000000004,97.31974600000007,97.02962100000006,96.85793800000005,96.70315000000004,96.58928700000006,96.46984400000007,96.33614800000007,96.20256900000004
125 day,108.08647759999995,107.84875679999995,107.60844879999995,107.36677439999995,107.11134639999995,106.84287359999995,106.57080719999996,106.32030239999996,105.86887679999995,105.32063919999996,105.14225279999995,104.94151999999997,104.76606799999998,104.57103519999995,104.37273999999995,104.18000399999995,103.97231679999997,103.75359599999997,103.53332159999997,103.32529039999997,102.92889679999999,102.55471279999999,102.3466192,102.11275200000001,101.7263456,101.5422208,101.31660320000002,101.13902640000002,100.96562800000002,100.80070560000003,100.62214960000004,100.23965280000004,100.04065440000002,99.85778320000003,99.71469040000005,99.57210640000007,99.43961360000007,99.30249200000006
15 min,94.33666666666664,93.25039999999997,91.94433333333333,90.94833333333332,91.166,88.53766666666668,87.16066666666666,86.74986666666668,89.19800000000001,91.90099999999998,91.62033333333332,89.04773333333334,91.87673333333336,92.03233333333334,92.38286666666666,92.62046666666666,92.48633333333332,90.14833333333333,91.16900000000003,92.64486666666666,94.69,94.14960000000002,93.56233333333331,93.73906666666669,94.33133333333333,92.911,89.11433333333335,93.36066666666667,94.028,94.98166666666667,94.54673333333332,93.67133333333331,92.09793333333333,92.6712,96.95733333333332,98.07066666666668,97.59766666666664,97.41933333333337
150 day,110.02715333333333,109.88005399999999,109.72023599999999,109.55552399999998,109.39496733333331,109.19487399999997,108.98816533333333,108.77825133333332,108.34299599999997,107.79417999999998,107.63016066666664,107.42266533333331,107.24199133333332,107.05077399999998,106.86079399999996,106.67739466666663,106.46759999999998,106.2505473333333,106.03479199999997,105.8302213333333,105.45219266666663,105.09316399999999,104.90390733333331,104.72137866666665,104.35006133333333,104.15967266666665,103.96731866666666,103.81026466666668,103.67786400000003,103.55173733333335,103.41911533333337,103.14514400000003,103.00166666666671,102.8600566666667,102.7324626666667,102.60595000000005,102.47660333333339,102.33879733333336
175 day,109.68111771428562,109.61141085714276,109.5519862857142,109.48410799999989,109.40477142857132,109.3148039999999,109.20812628571419,109.10374457142848,108.88433599999992,108.62777942857137,108.54384971428567,108.44961142857139,108.35314399999997,108.24864799999993,108.13719885714282,108.02875599999997,107.93265885714281,107.8285474285714,107.73630799999992,107.63880457142851,107.4488331428571,107.22793199999998,107.1003737142857,106.97536342857141,106.7221777142857,106.57614171428571,106.41027257142856,106.260952,106.11153942857143,105.97417599999999,105.83450800000001,105.56293771428571,105.40548457142857,105.254564,105.12060628571432,104.99096628571435,104.86056685714293,104.71097142857145
2 day,92.3324,93.28999999999999,92.61500000000001,91.5,90.91499999999999,89.60499999999999,87.85499999999999,87.03999999999999,87.30000000000001,91.83,92.08,90.325,90.39500000000001,91.91499999999999,92.085,92.485,92.47,91.27000000000001,90.72,91.97,95.005,95.53999999999999,94.045,93.74000000000001,94.5,93.6,90.995,91.35,93.805,94.66,94.88499999999999,93.97999999999999,93.06,92.525,94.88,97.61,97.735,97.46000000000001
2 hr,94.47876666666666,92.8673416666667,92.06343333333334,91.41817499999998,91.03470833333334,89.49553333333337,87.59524999999994,87.38937499999997,87.93044999999996,91.78120833333335,91.75515000000004,89.45732499999998,91.64310833333342,92.14927499999999,92.18961666666671,92.878775,92.34438333333337,90.08085833333341,91.2858416666667,92.2104083333333,94.58995000000002,94.24961666666664,93.63471666666665,93.63284166666666,94.36469166666663,93.2046333333333,89.43983333333331,92.91664166666665,93.73025833333334,94.94651666666671,94.50857500000004,93.4058916666667,92.12085833333332,92.62713333333335,96.90551666666668,98.27134999999996,97.75268333333331,97.24250833333332
2.5 hr,94.61045333333334,92.85634666666672,92.16410666666665,91.53097333333332,91.12664000000004,89.90710000000006,87.62595999999995,87.48936666666663,87.77524666666659,91.84965333333335,91.84197333333336,89.53474666666662,91.60176666666672,92.22850666666665,92.17192666666672,92.8491066666667,92.24014000000003,90.10083333333338,91.37123333333335,92.1955933333333,94.54721333333336,94.27823333333332,93.63343999999998,93.59820666666667,94.37042666666666,93.3330933333333,89.20225999999997,92.86837333333332,93.79726666666669,94.89470000000003,94.47504666666674,93.44197333333338,92.09305999999997,92.63048,96.90587333333337,98.29106666666664,97.75376666666666,97.19267333333329
20 day,94.607365,94.51305,94.41974000000002,94.204,93.98619,93.69404,93.493285,93.14196500000001,92.41242,91.71527,91.37625499999999,90.874825,90.74578999999999,90.63059999999999,90.61732500000001,90.66174000000001,90.709,90.55550000000002,90.45200000000001,90.49100000000001,90.9,91.66849999999998,92.0105,92.45599999999999,92.85799999999998,92.92849999999999,92.77449999999999,92.85549999999999,93.1225,93.282,93.4195,93.56899999999999,93.5735,93.69449999999998,93.98949999999999,94.2585,94.362,94.50399999999999
20 min,94.42,93.23319999999998,91.92774999999999,90.95375,91.1135,88.46125,87.27459999999998,86.79915000000001,89.14099999999999,91.98495,91.57575,89.07130000000001,91.82630000000003,92.04985,92.36714999999998,92.64935,92.47425000000001,90.10774999999998,91.16975000000002,92.60664999999999,94.71685,94.21245000000002,93.57374999999999,93.7141,94.34360000000001,92.92875000000001,89.1229,93.276,94.02755,94.96325000000003,94.55904999999998,93.645,92.09349999999999,92.6682,96.95,98.10375000000002,97.66674999999998,97.40125000000003
200 day,109.5698774999999,109.49073849999989,109.41402099999988,109.33138499999988,109.24018999999987,109.12968449999988,109.01494499999988,108.89234149999989,108.6213824999999,108.29377049999992,108.18639849999992,108.07456649999993,107.98525349999993,107.89244649999989,107.82621399999991,107.77629349999992,107.70647799999989,107.6374469999999,107.57463599999988,107.50893499999988,107.42376749999988,107.32438449999991,107.28063799999991,107.23539449999991,107.13620349999992,107.07011049999991,106.99107649999992,106.92902349999994,106.86414399999995,106.80608049999995,106.74541249999999,106.62081849999997,106.55620999999998,106.47525099999997,106.41001699999998,106.34154900000001,106.27011150000003,106.2124765
25 min,94.44884,93.17343999999999,91.93075999999999,90.97931999999999,91.0672,88.46780000000003,87.38287999999997,86.77332,89.06620000000001,91.99836,91.5608,89.10003999999999,91.80772000000003,92.08908000000001,92.35436,92.69108,92.4434,90.08379999999997,91.19900000000003,92.54711999999999,94.74467999999999,94.20136000000001,93.57719999999999,93.70047999999998,94.36548,92.94792,89.17712,93.2184,94.02244,94.95420000000001,94.54723999999999,93.57988000000002,92.09216,92.65816000000001,96.95639999999997,98.1344,97.69339999999998,97.36480000000003
3 hr,94.67638333333333,92.82447777777779,92.2630222222222,91.66608333333333,91.23246111111114,90.1974277777778,87.64410555555553,87.52265555555552,87.62593888888883,91.90768888888888,91.8985722222223,89.5983444444444,91.61381666666665,92.30369444444445,92.1300388888889,92.82097777777778,92.22618333333335,90.11382777777784,91.45832777777778,92.18924999999997,94.52756111111113,94.30578333333334,93.60123888888886,93.56777777777776,94.34199999999998,93.3892944444444,88.97367222222219,92.81576111111112,93.84092222222223,94.81521666666667,94.42726666666674,93.42786111111118,92.07620555555548,92.63869444444447,96.83263888888895,98.29398888888886,97.7158888888889,97.15300555555552
3.5 hr,94.68186666666668,92.8417190476191,92.32233333333333,91.79331904761905,91.30489523809527,90.40257142857146,87.66724285714285,87.55756190476188,87.52995714285706,91.94085714285711,91.89111904761907,89.69479523809515,91.5816,92.32948571428574,92.09577142857145,92.79334761904764,92.27791428571427,90.16389523809532,91.52782857142857,92.18366666666667,94.49845238095241,94.36332380952379,93.53457619047619,93.58588095238095,94.31289999999996,93.41519523809518,88.76478571428568,92.75859523809524,93.8551904761905,94.74941428571431,94.39739523809531,93.40656190476197,92.05381904761902,92.64853809523817,96.75068571428581,98.28304761904764,97.63736190476187,97.13419523809519
30 day,95.50032999999999,95.42554333333331,95.28227999999997,95.07360666666663,94.89332666666664,94.61716999999997,94.24743666666664,93.78196,93.03885666666665,92.74282666666664,92.62599999999999,92.41446,92.33869333333332,92.35652333333333,92.30697666666667,92.2638,92.16528000000001,92.03482333333335,91.82089333333334,91.67451333333335,91.42621666666668,91.50506666666666,91.53955,91.60949333333333,91.754,91.737,91.646,91.727,91.83866666666668,92.06400000000002,92.30733333333335,92.84833333333334,92.93933333333334,92.98466666666668,93.17633333333333,93.36999999999999,93.55333333333334,93.84566666666667
30 min,94.46053333333333,93.15753333333332,91.93879999999997,91.00576666666664,91.02803333333333,88.48816666666669,87.42733333333331,86.79426666666669,88.96400000000001,92.01116666666668,91.5285,89.14336666666667,91.78726666666668,92.10456666666666,92.34599999999999,92.7429,92.43083333333335,90.04549999999999,91.22433333333336,92.51376666666667,94.74706666666665,94.20613333333333,93.58316666666664,93.69939999999998,94.38589999999999,92.97026666666667,89.22309999999999,93.17266666666664,93.99570000000001,94.95250000000001,94.53819999999997,93.54190000000003,92.09646666666667,92.64646666666665,96.96766666666666,98.17000000000002,97.7035,97.3333666666667
4 hr,94.70102916666669,92.81437500000001,92.35621250000001,91.90412500000002,91.37723750000005,90.52687500000008,87.68588749999999,87.6427125,87.46539999999987,91.9481958333333,91.85440416666671,89.74192083333325,91.52145,92.33971666666669,92.11213750000002,92.76805000000006,92.29943333333333,90.19790833333337,91.56920416666668,92.17846250000001,94.43919999999997,94.39544583333333,93.46870833333334,93.61344999999999,94.2695999999999,93.44723333333327,88.60619583333329,92.72914166666665,93.87545416666666,94.718725,94.3512375000001,93.36467083333338,92.01111666666661,92.65061250000005,96.68236250000011,98.27041666666669,97.58445833333329,97.14069166666663
4.5 hr,94.6932111111111,92.81087037037038,92.39143333333335,92.00681481481487,91.41568518518524,90.57478148148157,87.67059259259261,87.78670000000004,87.33419259259249,91.92844074074071,91.86138888888894,89.78965185185176,91.43495555555553,92.33818518518518,92.06384444444446,92.7486888888889,92.3192111111111,90.21812222222225,91.55338518518523,92.11962592592596,94.39079259259256,94.45000370370369,93.45374814814815,93.65502222222226,94.23120740740727,93.47930740740735,88.51687407407404,92.69137037037034,93.89074444444445,94.69875185185187,94.34164814814827,93.3347740740741,91.95808518518514,92.64066666666673,96.5937000000001,98.25762222222222,97.50781481481478,97.1350592592592
40 day,95.91257249999998,95.71404999999997,95.46590749999997,95.26399249999996,95.05111499999997,94.79486499999997,94.55007249999997,94.39029499999998,94.05579499999996,93.80895999999997,93.67270499999998,93.48774499999999,93.36987749999997,93.20632749999997,92.99571999999998,92.83331249999999,92.6968925,92.5814325,92.48252500000001,92.45537,92.443095,92.5808925,92.57623250000002,92.57410000000002,92.56386750000001,92.44242,92.24488500000001,92.11587750000001,91.99866250000002,92.01389500000002,92.02505000000002,92.11537000000001,92.14125000000003,92.12500000000003,92.22075000000001,92.37475000000002,92.53250000000003,92.70200000000003
45 min,94.4758,93.06444444444443,92.02902222222221,91.12084444444443,90.94142222222222,88.54966666666671,87.53551111111109,86.87015555555557,88.68511111111113,91.93366666666667,91.52344444444445,89.16557777777777,91.73126666666667,92.15371111111112,92.27717777777775,92.8352666666667,92.38402222222224,89.9981111111111,91.26933333333338,92.43628888888888,94.68304444444445,94.24566666666668,93.61693333333331,93.72862222222223,94.41504444444442,93.01248888888891,89.29522222222222,93.05464444444443,93.8683111111111,94.96148888888888,94.47437777777778,93.50393333333332,92.12924444444444,92.63475555555556,96.98211111111111,98.20464444444444,97.72624444444443,97.26311111111113
5 day,92.63316,92.4544,92.33130000000001,92.18496,92.076,91.09400000000001,89.902,88.864,87.418,89.914,91.292,91.12400000000001,91.258,91.36,91.35999999999999,91.522,92.218,91.872,91.74,91.826,92.84,94.768,94.942,94.66000000000001,94.19000000000001,93.846,92.97,92.89,92.81,92.954,93.32399999999998,94.376,94.02200000000002,93.522,94.02000000000001,94.80199999999999,95.522,96.562
5 hr,94.64678999999998,92.7674333333333,92.44604666666669,92.11554000000004,91.4488733333334,90.63523333333342,87.70273,87.86419333333339,87.14515333333321,91.91887666666663,91.87270333333338,89.78882999999989,91.35587666666665,92.32519666666668,92.03452000000003,92.70499333333336,92.31964333333332,90.21564666666664,91.52283000000003,92.05093666666674,94.34535999999997,94.52899333333328,93.47330666666666,93.69111000000005,94.21771666666656,93.49724999999998,88.45671666666662,92.64285333333328,93.90020999999999,94.64681,94.38366000000009,93.32375,91.9252333333333,92.63735666666675,96.4946433333334,98.27102333333332,97.43512999999997,97.14823999999994
5 min,94.075,93.25399999999999,92.01400000000001,90.974,90.97999999999999,88.464,87.125,86.66999999999999,89.47,91.88799999999999,91.672,88.8706,91.992,91.892,92.359,92.567,92.30799999999999,90.219,91.194,92.70759999999999,94.716,94.162,93.548,93.829,94.376,92.847,89.079,93.53300000000002,94.129,95.09100000000001,94.604,93.72300000000001,92.194,92.667,97.077,98.14499999999998,97.41799999999999,97.50000000000001
5.5 hr,94.58192121212119,92.78840303030299,92.46495151515154,92.15139090909094,91.5009060606061,90.70640303030314,87.78045151515151,87.97931818181821,86.94106060606052,91.93446666666668,91.84440303030308,89.75351515151505,91.26156969696967,92.28769393939398,92.00079393939397,92.61975454545455,92.3316181818182,90.18995454545451,91.51781515151518,92.00023333333338,94.28561515151515,94.58892424242418,93.5087606060606,93.72869393939399,94.21846666666657,93.55759696969695,88.35023333333329,92.60696060606057,93.93018484848484,94.5968787878788,94.42330000000008,93.3754696969697,91.95835757575756,92.64255151515158,96.38858484848488,98.28118787878789,97.39716969696964,97.16205454545448
50 day,97.79763399999996,97.45499399999996,97.07543799999993,96.69653599999997,96.34241399999995,95.94227799999994,95.54455799999997,95.26427799999998,94.81146799999996,94.25052599999995,94.10519399999995,93.89509199999996,93.76149199999996,93.65665799999995,93.63963599999997,93.59645799999998,93.57883600000001,93.52239800000001,93.436126,93.36576800000003,93.29599600000002,93.21586200000002,93.07337600000002,92.96765,92.895346,92.84742,92.75549600000002,92.71780000000003,92.69767600000003,92.71601600000004,92.78171400000005,92.78588000000002,92.72856800000001,92.69869400000002,92.68833600000002,92.70810800000001,92.68250200000004,92.65733000000002
50 min,94.50052,93.02369999999999,92.06772,91.1548,90.92235999999998,88.55380000000002,87.5556,86.93434,88.61526000000002,91.91420000000002,91.53190000000002,89.16401999999998,91.73004,92.15333999999999,92.25705999999998,92.84534000000005,92.36842000000003,90.0019,91.28122000000003,92.42546000000002,94.66354000000001,94.2343,93.60934000000002,93.73498000000001,94.41833999999999,93.01654000000002,89.33460000000001,93.03265999999999,93.83318,94.9579,94.45019999999998,93.49214000000002,92.12694000000002,92.6336,96.9797,98.20707999999999,97.72707999999999,97.26080000000002
55 min,94.51138181818182,92.99803636363636,92.06792727272727,91.17099999999999,90.90047272727274,88.54381818181821,87.54918181818184,87.00814545454546,88.55441818181819,91.89727272727275,91.54140000000004,89.1672909090909,91.72630909090911,92.15049090909089,92.23550909090908,92.84712727272732,92.36529090909092,90.00452727272729,91.28638181818184,92.4032363636364,94.6532181818182,94.22696363636362,93.60800000000003,93.73352727272729,94.41176363636362,93.01430909090911,89.39381818181819,93.02325454545453,93.80352727272727,94.95136363636364,94.42245454545454,93.48123636363638,92.12103636363636,92.6308181818182,96.9719818181818,98.20432727272726,97.73712727272726,97.25954545454546
6 hr,94.4930694444444,92.78586666666666,92.51235833333334,92.16823611111116,91.55483333333335,90.76030000000011,87.83294166666666,88.09899166666668,86.78786388888881,91.95185277777779,91.81854722222229,89.76105555555546,91.13984166666667,92.23368611111111,92.0105138888889,92.59223611111112,92.31690000000006,90.16641666666666,91.50983333333336,91.9549694444445,94.24458611111113,94.64398888888884,93.5694916666667,93.75785555555562,94.23895833333323,93.61115277777776,88.25514999999997,92.52393611111107,93.94036944444447,94.54904166666667,94.48860555555567,93.44137222222223,92.01699999999997,92.6584805555556,96.28570833333336,98.28266944444444,97.3793277777777,97.18097499999996
