,2019-01-29,2019-01-30,2019-02-05
1 hr,1.3158500000000004,1.1069833333333332,1.3696833333333334
1 min,1.27,1.11,1.34
1.5 hr,1.3243,1.1065111111111108,1.3710555555555555
10 day,0.67465,0.7356699999999999,0.9724
10 min,1.2956999999999999,1.111,1.3562
100 day,1.0102529999999996,1.0037529999999997,0.9817529999999999
125 day,1.1277223999999995,1.1243623999999992,1.1113223999999995
15 min,1.3044,1.1110666666666666,1.3638666666666666
150 day,1.1861019999999995,1.1830353333333328,1.1735019999999994
175 day,1.2683159999999998,1.2643159999999998,1.2503731428571425
2 day,1.23,1.195,1.235
2 hr,1.3286083333333338,1.1080166666666662,1.3635500000000003
2.5 hr,1.3228600000000004,1.1113133333333332,1.358746666666667
20 day,0.610575,0.6450750000000001,0.763805
20 min,1.3097999999999999,1.1112499999999998,1.3664
200 day,1.3419765000000003,1.3395265,1.3286265
25 min,1.3087199999999999,1.11068,1.3678
3 hr,1.312211111111111,1.1164277777777776,1.3535611111111119
3.5 hr,1.3045619047619037,1.123147619047618,1.3518476190476199
30 day,0.5642266666666667,0.5822033333333334,0.6628833333333334
30 min,1.3095666666666665,1.1094,1.3679999999999997
4 hr,1.3017999999999992,1.1297499999999994,1.3483708333333335
4.5 hr,1.2966555555555548,1.1356888888888885,1.3466518518518518
40 day,0.5824349999999999,0.5947349999999999,0.6432024999999999
45 min,1.3165555555555555,1.1074444444444445,1.371488888888889
5 day,0.8108000000000001,0.9308,1.1340000000000001
5 hr,1.2926033333333322,1.1369999999999996,1.3399466666666664
5 min,1.2748,1.11,1.3494
5.5 hr,1.2860878787878771,1.1364212121212114,1.3377060606060602
50 day,0.5911699999999999,0.6008759999999999,0.641948
50 min,1.31796,1.10714,1.3707600000000002
55 min,1.3179636363636364,1.1070727272727272,1.3702727272727275
6 hr,1.2918638888888871,1.1340944444444445,1.3304111111111112
6.5 hr,1.288705128205126,1.1312769230769235,1.3245307692307695
60 day,0.6126949999999999,0.6161283333333331,0.6412116666666667
70 day,0.6474742857142856,0.6505728571428568,0.6651957142857142
80 day,0.7963162499999998,0.7669412499999998,0.69606625
90 day,0.9373922222222221,0.9317255555555554,0.8997255555555554
Tomorrow,1.12,1.07,1.35
