,2018-12-13,2018-12-14,2018-12-18,2018-12-19,2018-12-20,2018-12-21,2018-12-31,2019-01-03,2019-01-04,2019-01-07,2019-01-08,2019-01-09,2019-01-10,2019-01-11,2019-01-14,2019-01-15,2019-01-16,2019-01-17,2019-01-18,2019-01-22,2019-01-24,2019-01-28,2019-01-30,2019-01-31,2019-02-01,2019-02-04,2019-02-05,2019-02-06,2019-02-07,2019-02-08,2019-02-13,2019-02-14,2019-02-15
1 hr,92.01626666666668,89.11761666666669,86.37524999999998,86.15471666666664,83.23341666666668,80.76356666666668,83.2688666666667,80.85461666666667,82.40641666666666,83.48996666666669,83.79888333333335,85.07605,84.12166666666668,85.2208,86.12498333333335,86.92953333333337,87.07425000000002,88.16123333333331,89.39075,89.17946666666666,87.52481666666667,88.91134999999998,89.79879999999999,85.11945,86.69461666666665,88.60010000000003,89.4190833333333,90.97281666666667,90.23068333333332,92.35298333333334,95.59649999999998,95.98705000000001,97.27594999999998
1 min,91.99,89.19,86.17,86.02,82.92,80.29,83.44,80.68,82.34,83.55,83.43,84.62,84.67,85.3,85.91,86.94,87.14,88.53,89.48,89.36,87.59,89.11,89.62,85.45,86.98,88.85,89.6,91.03,90.75,92.33,95.83,95.78,97.59
1.5 hr,91.92165555555559,89.05406666666667,86.48989999999998,86.56836666666666,83.22256666666668,80.94220000000001,83.25948888888892,80.94815555555553,82.44862222222224,83.44952222222226,83.84671111111113,85.09096666666666,84.06132222222223,85.27803333333334,86.12387777777779,86.83720000000002,87.09254444444444,88.10558888888887,89.41899999999997,89.13271111111109,87.48249999999999,88.84381111111111,89.85936666666666,84.89441111111114,86.7004,88.54638888888888,89.41808888888886,90.9497222222222,90.21146666666667,92.34914444444445,95.48963333333336,95.98342222222225,97.27667777777773
10 day,92.39,91.842,90.075,89.378,88.433,87.587,83.439,82.41,82.042,82.105,82.42200000000001,83.013,83.19200000000001,83.35500000000002,83.625,83.976,84.46600000000001,85.248,85.96199999999999,86.543,87.392,88.265,88.93100000000001,88.75800000000001,88.605,88.543,88.566,88.76700000000001,89.083,89.355,91.05,92.08800000000001,93.149
10 min,92.1033,88.98299999999998,86.48530000000001,86.20779999999999,82.7904,80.38300000000001,83.04899999999999,80.8055,82.365,83.48050000000002,83.64580000000001,84.65400000000001,84.425,85.32500000000002,86.03040000000001,86.9363,87.1165,88.3362,89.34649999999999,89.199,87.59369999999998,88.9259,89.5365,85.43500000000002,86.7928,88.68209999999999,89.43939999999999,91.0824,90.5547,92.19250000000001,95.76699999999998,95.7775,97.3885
100 day,87.65625200000001,87.77020399999999,87.928037,88.03104400000001,88.091532,88.11986300000001,88.33820199999997,88.35529999999997,88.38019599999998,88.42632799999997,88.45219900000001,88.499697,88.55554000000002,88.60914300000002,88.66020600000002,88.70180800000001,88.71611400000002,88.71869900000002,88.73078399999999,88.76199799999999,88.80940499999998,88.85489199999998,88.846296,88.80432799999998,88.782444,88.774777,88.766936,88.79402300000001,88.81850899999999,88.870653,89.08109800000003,89.14761300000002,89.22674699999997
125 day,85.51418319999998,85.62703279999995,85.80167999999996,85.87375759999996,85.92659679999997,85.96578639999997,86.20313839999994,86.28926959999995,86.33850159999996,86.39066079999995,86.44122799999997,86.50345679999997,86.56687999999998,86.62779599999999,86.69208239999999,86.7607168,86.83198239999999,86.90904479999999,86.99037199999998,87.06748159999998,87.23707519999999,87.42259519999998,87.62381039999998,87.69696559999997,87.76790479999997,87.85420239999998,87.94506879999997,88.0379216,88.11828639999997,88.21287999999998,88.57991920000002,88.70719760000001,88.855152
15 min,92.15586666666668,88.94426666666666,86.55020000000003,86.1758,82.85093333333334,80.499,83.11766666666666,80.81699999999998,82.38866666666667,83.49800000000002,83.74153333333335,84.71666666666668,84.36326666666666,85.31253333333333,86.00553333333333,86.98653333333331,87.09273333333334,88.32346666666668,89.35633333333334,89.20233333333334,87.57406666666664,88.88226666666667,89.57900000000001,85.44500000000001,86.73720000000002,88.65693333333333,89.40586666666667,91.08919999999999,90.4918,92.23966666666665,95.72966666666665,95.83466666666668,97.35346666666666
150 day,83.50169799999996,83.63731999999995,83.85537399999997,83.9606993333333,84.04100666666663,84.09646599999996,84.40644599999995,84.50682133333329,84.56380266666663,84.62342199999996,84.68005999999997,84.74217866666663,84.79840733333332,84.85883666666665,84.92458999999998,85.00164599999998,85.08082866666663,85.17285199999998,85.27736733333329,85.38055266666663,85.5568353333333,85.72626466666662,85.91142199999996,85.97172266666661,86.03606866666661,86.11241866666663,86.20330133333329,86.30874866666665,86.40974799999995,86.51492466666664,86.88282333333332,87.00908066666666,87.14799999999998
175 day,80.52750057142853,80.69980399999996,81.00661771428568,81.15153999999995,81.28518971428568,81.41466285714282,82.07725942857135,82.31408457142851,82.43317485714279,82.53391999999994,82.62437771428566,82.72366514285709,82.82459485714281,82.92669542857138,83.04380857142853,83.16228742857139,83.28264228571423,83.41269028571423,83.54715199999994,83.67465542857138,83.88805142857139,84.10757085714282,84.31691371428568,84.38878799999995,84.46935085714281,84.5570411428571,84.6496371428571,84.7536394285714,84.85485028571425,84.9548754285714,85.3101657142857,85.4271817142857,85.54914914285712
