,2019-02-05,2019-02-07
1 hr,17.112166666666667,16.27254999999999
1 min,17.1,16.3
1.5 hr,17.09577777777778,16.279922222222204
10 day,17.67,17.474
10 min,17.093,16.2645
100 day,19.788999999999994,19.649799999999995
125 day,21.400599999999997,21.156040000000004
15 min,17.095666666666666,16.259333333333338
150 day,23.822166666666664,23.5557
175 day,25.592000000000002,25.377314285714288
2 day,17.3,16.665
2 hr,17.060891666666674,16.27864999999998
2.5 hr,17.051460000000013,16.286286666666662
20 day,17.889000000000003,17.714999999999996
20 min,17.098500000000005,16.259999999999998
200 day,26.61525,26.468150000000005
25 min,17.0968,16.260399999999997
3 hr,17.05898333333335,16.284127777777787
3.5 hr,17.05002380952382,16.280633333333345
30 day,17.490333333333332,17.520999999999997
30 min,17.097500000000007,16.266000000000002
4 hr,17.05325000000001,16.26321250000001
4.5 hr,17.069503703703703,16.241422222222234
40 day,17.254499999999997,17.2065
45 min,17.110444444444447,16.273555555555546
5 day,17.576,17.098000000000003
5 hr,17.095153333333336,16.245536666666688
5 min,17.093,16.279000000000003
5.5 hr,17.11917575757576,16.26284545454547
50 day,17.623199999999997,17.546
50 min,17.112000000000002,16.27435999999999
55 min,17.112000000000002,16.273145454545446
6 hr,17.14613888888889,16.281569444444454
6.5 hr,17.171051282051273,16.30310256410257
60 day,17.566666666666663,17.517999999999997
70 day,18.00042857142856,17.878428571428564
80 day,18.642999999999994,18.495624999999993
90 day,19.242222222222217,19.051444444444442
Tomorrow,17.05,16.3
