,2018-12-12,2018-12-17,2018-12-18,2018-12-20,2018-12-21,2019-01-04,2019-01-07,2019-02-04,2019-02-05,2019-02-06,2019-02-07,2019-02-11,2019-02-12
1 hr,143.56088333333335,124.12708333333333,124.05266666666665,117.64023333333333,107.6769166666667,119.0571166666667,124.14945000000002,151.85830000000004,155.27758333333333,147.18353333333337,142.02931666666663,148.67536666666672,152.59911666666667
1 min,143.32,124.48,123.82,117.16,106.57,117.93,124.52,151.67,155.16,147.5,142.04,148.84,152.97
1.5 hr,143.25597777777773,124.61562222222223,123.89029999999997,117.3953444444444,108.1522777777778,119.36028888888886,123.94537777777776,152.30653333333336,155.34461111111113,147.26125555555558,142.29819999999998,148.56780000000006,152.5510111111111
10 day,139.904,138.013,135.53400000000002,131.2,128.498,112.69500000000001,113.44300000000001,139.059,141.17299999999997,142.539,143.23899999999998,145.4,147.24200000000002
10 min,143.73870000000002,124.3298,124.3362,116.81009999999999,106.60800000000002,118.28389999999999,124.72449999999999,151.3942,154.992,147.1994,142.1463,148.924,152.809
100 day,126.13080000000002,127.34820000000003,127.65850000000005,128.29030000000003,128.51260000000005,130.00510000000003,129.99390000000002,129.77349999999998,129.84789999999998,129.86449999999996,129.82869999999997,129.89209999999997,129.97459999999998
125 day,119.49104000000001,120.49488000000001,120.73856,121.17888,121.31656,122.62936,122.86952000000002,129.46344000000002,129.9916,130.45056000000002,130.85592000000003,131.4468,131.66512
15 min,143.9584,124.15813333333334,124.54479999999998,116.92513333333335,106.73493333333334,118.45193333333333,124.67893333333333,151.3418,155.0686,147.18060000000003,142.14919999999998,148.959,152.77786666666668
150 day,113.41713333333333,114.72880000000002,115.0194666666667,115.53580000000002,115.67526666666667,117.25399999999999,117.50686666666665,123.23333333333336,123.64240000000002,123.99773333333336,124.33800000000002,125.06006666666669,125.44960000000002
175 day,104.53914285714286,105.99857142857145,106.42188571428575,107.19725714285714,107.50731428571427,110.23388571428569,110.64794285714284,118.26862857142862,118.68102857142861,119.05211428571432,119.39102857142862,120.10537142857146,120.48445714285718
2 day,140.60500000000002,130.505,124.15,119.32,111.82,113.74000000000001,121.245,148.46499999999997,153.415,151.32999999999998,144.76999999999998,147.54000000000002,150.94
2 hr,143.41574166666663,124.99068333333337,124.09527499999999,116.75956666666666,108.30212500000006,119.39486666666666,123.99907499999999,152.48179166666665,155.53625000000005,147.3504166666667,142.48054999999994,148.69125833333334,152.58605
2.5 hr,143.76652666666664,125.3449666666667,124.07752,116.43350000000001,108.55106666666671,119.36514666666662,124.19563333333332,152.5167533333333,155.54879333333338,147.33266,142.60211999999999,148.75429333333332,152.49662000000004
20 day,129.99450000000002,132.39950000000002,132.329,132.911,132.312,123.1865,122.32150000000001,134.52800000000005,136.05750000000003,137.03000000000003,137.69199999999995,139.59749999999994,140.82199999999997
