,2019-02-14
1 hr,57.672233333333324
1 min,57.455
1.5 hr,57.7857
10 day,55.87518
10 min,57.44599999999999
100 day,59.50676599999999
125 day,61.556709600000005
15 min,57.505333333333326
150 day,61.82088666666668
175 day,61.27770742857146
2 day,57.715
2 hr,57.841858333333334
2.5 hr,57.87471333333333
20 day,53.82881999999999
20 min,57.55799999999999
200 day,60.17142950000004
25 min,57.59879999999999
3 hr,57.8919
3.5 hr,57.89811428571427
30 day,53.254136666666675
30 min,57.614333333333335
4 hr,57.90279166666665
4.5 hr,57.892744444444425
40 day,52.76347500000001
45 min,57.62988888888889
5 day,56.95032
5 hr,57.884456666666665
5 min,57.394999999999996
5.5 hr,57.89515757575758
50 day,53.172392
50 min,57.635780000000004
55 min,57.65152727272727
6 hr,57.90100555555557
6.5 hr,57.89412564102566
60 day,54.71232999999999
70 day,56.48730142857143
80 day,57.62332375
90 day,58.5610111111111
Tomorrow,58.9
