,2019-01-18
1 hr,56.19024999999997
1 min,56.43
1.5 hr,56.21143333333332
10 day,54.015
10 min,56.31
100 day,63.56779999999999
125 day,66.56351999999998
15 min,56.288000000000004
150 day,70.35086666666662
175 day,73.70582857142853
2 day,55.825
2 hr,56.23001666666666
2.5 hr,56.280466666666655
20 day,51.359
20 min,56.28325000000001
200 day,74.96934999999998
25 min,56.2614
3 hr,56.34972777777777
3.5 hr,56.44541904761909
30 day,52.97033333333333
30 min,56.23216666666666
4 hr,56.5219083333334
4.5 hr,56.54187777777783
40 day,53.394999999999996
45 min,56.20899999999996
5 day,54.61600000000001
5 hr,56.57568333333337
5 min,56.388
5.5 hr,56.58452121212123
50 day,53.408800000000014
50 min,56.19579999999996
55 min,56.18618181818178
6 hr,56.48229722222222
6.5 hr,56.411974358974355
60 day,54.83066666666669
70 day,56.384142857142876
80 day,58.594375
90 day,61.037666666666674
