,2018-12-17,2018-12-18,2018-12-19,2018-12-20,2019-01-07,2019-01-11,2019-01-25,2019-01-30,2019-02-04
1 hr,3.6034666666666695,3.5736666666666674,3.8016000000000014,3.6121333333333334,4.711183333333334,5.149016666666669,5.218099999999999,5.0880499999999955,5.748750000000004
1 min,3.6,3.6,3.84,3.57,4.68,5.15,5.24,5.095,5.76
1.5 hr,3.6230777777777816,3.5722222222222246,3.7992999999999975,3.607644444444443,4.709677777777779,5.149233333333333,5.200955555555561,5.0889333333333315,5.733411111111115
10 day,4.346000000000001,4.194000000000001,4.0920000000000005,3.9850000000000003,3.947,4.346000000000001,5.159,5.144,5.231
10 min,3.6005000000000003,3.6025,3.8375,3.565,4.701300000000001,5.1454,5.234,5.08,5.763
100 day,5.4747,5.446500000000001,5.4239999999999995,5.404400000000001,5.2763,5.2489,5.1781999999999995,5.137599999999999,5.1152
125 day,5.714040000000001,5.684680000000001,5.65876,5.63116,5.421800000000001,5.359800000000001,5.256639999999999,5.243439999999999,5.2495199999999995
15 min,3.5913333333333335,3.5969999999999995,3.8333333333333335,3.5759999999999996,4.701866666666667,5.1476,5.234,5.081999999999999,5.7682666666666655
150 day,5.845633333333334,5.8299,5.815966666666666,5.799033333333333,5.655500000000001,5.603166666666667,5.486766666666667,5.449366666666665,5.422233333333334
175 day,5.8315714285714275,5.8226571428571425,5.812142857142857,5.800828571428571,5.7038,5.683285714285714,5.639514285714285,5.621514285714285,5.6126
2 day,3.7350000000000003,3.605,3.7199999999999998,3.6950000000000003,4.43,5.085,5.25,5.05,5.574999999999999
2 hr,3.637841666666671,3.5784000000000042,3.7930249999999983,3.594816666666667,4.722333333333333,5.15090833333333,5.198891666666679,5.089183333333336,5.726416666666677
2.5 hr,3.654960000000005,3.589466666666669,3.786879999999998,3.5836533333333347,4.726726666666668,5.152279999999992,5.193400000000008,5.089006666666673,5.720546666666681
20 day,4.626000000000001,4.563000000000001,4.518,4.4545,3.966,4.056500000000001,4.693,4.866999999999999,5.0915
20 min,3.5894999999999997,3.595,3.8247499999999994,3.5854999999999997,4.7024,5.148700000000001,5.232,5.080749999999999,5.765199999999999
200 day,5.741025,5.733075,5.726875,5.718725000000001,5.6530749999999985,5.650074999999999,5.656974999999999,5.649474999999999,5.646125
25 min,3.5882,3.5938,3.8265999999999996,3.5935999999999995,4.7053199999999995,5.146560000000001,5.2308,5.081399999999999,5.761559999999999
3 hr,3.674100000000001,3.6021555555555533,3.775761111111114,3.5785055555555565,4.719922222222222,5.15503888888888,5.190533333333337,5.087961111111121,5.705111111111122
3.5 hr,3.693828571428577,3.6122857142857083,3.7665809523809592,3.5794476190476243,4.709952380952379,5.162819047619042,5.191452380952386,5.082733333333339,5.694000000000018
30 day,4.703000000000001,4.656666666666666,4.622666666666666,4.584999999999999,4.285333333333332,4.272333333333334,4.392333333333332,4.493666666666667,4.672333333333333
30 min,3.5902000000000003,3.5921666666666665,3.8245,3.6001666666666665,4.705333333333332,5.146400000000001,5.2295,5.0826666666666656,5.760399999999999
4 hr,3.7138458333333397,3.6197499999999923,3.7519958333333365,3.5780916666666682,4.699712499999994,5.160770833333331,5.192579166666672,5.071812500000005,5.683079166666679
4.5 hr,3.7296518518518593,3.6260629629629557,3.7378148148148176,3.5763888888888897,4.693085185185177,5.156714814814813,5.197777777777785,5.05972962962963,5.67053333333334
40 day,4.81625,4.769499999999999,4.730999999999999,4.685499999999999,4.425499999999999,4.42175,4.4864999999999995,4.4925,4.52725
45 min,3.596800000000002,3.5822666666666674,3.8194666666666675,3.6120666666666654,4.714800000000001,5.1469111111111125,5.227622222222221,5.089066666666666,5.755466666666665
5 day,3.992,3.868,3.7939999999999996,3.694,4.081999999999999,4.764,5.17,5.134,5.3
