,2018-12-11,2018-12-12,2018-12-13,2018-12-14,2018-12-17,2018-12-18,2018-12-19,2018-12-20,2018-12-21,2018-12-26,2018-12-31,2019-01-02,2019-01-03,2019-01-04,2019-01-07,2019-01-08,2019-01-09,2019-01-10,2019-01-11,2019-01-14,2019-01-16,2019-01-17,2019-01-18,2019-01-22,2019-01-23,2019-01-24,2019-01-25,2019-01-28,2019-01-29,2019-01-30,2019-01-31,2019-02-01,2019-02-05,2019-02-06,2019-02-07,2019-02-08,2019-02-11,2019-02-12,2019-02-13,2019-02-14,2019-02-15
1 hr,95.26760000000003,96.12111666666667,95.67393333333332,94.94310000000002,92.04596666666667,94.5107333333333,90.41748333333332,90.36989999999999,90.4177166666666,91.8049833333334,94.38481666666668,94.4766,89.11156666666666,92.7316833333334,94.72599999999997,94.35523333333335,96.17423333333335,97.76863333333336,98.37458333333333,96.55488333333336,97.47620000000003,97.6238,99.20806666666671,96.15769999999999,95.41431666666669,101.94268333333333,104.50973333333336,102.54394999999997,101.7593666666667,102.20346666666667,100.46778333333332,101.49996666666671,102.24276666666671,106.5538833333333,103.51198333333332,104.46661666666667,104.79176666666667,106.45694999999999,107.58758333333336,107.07276666666668,107.39831666666664
1 min,94.53,95.81,95.81,94.23,91.92,94.53,90.51,90.1,90.41,92.98,94.51,94.46,88.86,92.9,94.5,94.38,96.25,97.71,98.6,96.34,97.14,97.54,99.44,96.67,95.5,102.1,104.43,102.66,101.34,102.13,100.68,101.98,102.31,106.48,103.86,104.55,104.76,106.44,107.15,106.97,107.55
1.5 hr,95.33234444444446,96.13285555555557,95.57345555555554,94.93965555555558,92.22152222222222,94.61237777777777,90.98333333333335,90.43039999999996,90.64361111111106,91.5777777777778,94.29915555555557,94.66082222222225,89.19731111111112,92.83318888888894,94.74525555555556,94.36677777777778,96.04814444444443,97.65715555555553,98.32073333333338,96.57739999999998,97.52421111111113,97.50659999999999,99.18307777777778,96.11587777777775,95.40674444444448,101.7776333333333,104.51882222222225,102.52795555555551,101.79191111111112,102.24650000000001,100.56564444444442,101.44785555555555,102.2423888888889,106.44043333333329,103.4846222222222,104.45989999999998,104.73975555555555,106.41766666666669,107.68943333333334,107.05507777777777,107.4074
10 day,95.97927,95.93262,95.69246000000001,95.37787,94.5909,93.93294,93.37917,92.66166000000001,92.46616,91.7159,91.33978000000002,91.59086000000002,91.02916000000002,91.26436000000001,91.70201,92.09599,92.93357999999999,93.40398,93.87835,94.12844,94.70899,95.56841000000001,96.21546,96.42585000000001,96.53601,97.11656,97.78047999999998,98.18636999999998,98.68454999999999,99.20971999999999,99.63453999999999,100.15364,101.11057,102.28211,102.53666999999999,102.62998999999999,102.91600000000001,103.50200000000002,104.003,104.63199999999999,105.18999999999998
10 min,94.7036,96.026,95.90799999999999,94.63,91.862,94.7665,90.80449999999999,89.964,90.4702,92.56049999999998,94.16279999999999,94.37640000000002,89.071,92.78399999999999,94.57849999999999,94.3294,96.083,97.774,98.64899999999999,96.4325,97.34460000000001,97.498,99.19,96.21900000000001,95.5199,102.02720000000002,104.36399999999999,102.65989999999996,101.47310000000002,102.0042,100.66550000000001,101.72999999999999,102.1951,106.65149999999998,103.7995,104.35499999999999,104.7846,106.422,107.14829999999999,107.14649999999999,107.5019
100 day,102.78129200000001,102.60682400000002,102.43588300000005,102.25777500000002,102.06212000000004,101.89168400000004,101.68830100000002,101.49108,101.293001,100.890837,100.32841800000001,100.12281000000003,99.87983300000002,99.71856700000001,99.57465600000002,99.42561800000001,99.30232000000004,99.19567700000002,99.095306,98.97850899999999,98.71065899999999,98.57271200000001,98.441221,98.26610199999999,98.082032,97.959032,97.88749199999998,97.80055399999999,97.69903899999997,97.62699799999999,97.54271799999997,97.49544799999998,97.42739699999998,97.463597,97.461986,97.470818,97.49808300000001,97.530242,97.54529699999999,97.547532,97.54041699999999
125 day,104.29854879999998,104.16116639999997,104.01486320000001,103.86775839999997,103.7077904,103.56408240000002,103.40521200000002,103.24073519999999,103.0959424,102.80674320000001,102.46649360000002,102.36379520000001,102.1965224,102.05177119999999,101.9245768,101.78359119999999,101.67279440000003,101.54180800000002,101.4232088,101.29120719999999,101.02572,100.9030904,100.79217680000002,100.6616168,100.52889599999999,100.45311359999998,100.39512479999998,100.32887999999997,100.26049839999997,100.20136959999998,100.13307999999996,100.06574559999997,99.92015439999997,99.86079679999999,99.7773304,99.7137104,99.685224,99.6713584,99.66002399999999,99.6530744,99.65249919999998
15 min,94.81473333333332,96.10733333333333,95.92753333333333,94.69133333333333,91.80886666666667,94.80253333333333,90.70166666666665,90.03133333333335,90.45113333333335,92.4703333333333,94.22713333333334,94.36726666666667,89.08699999999999,92.75706666666666,94.60406666666668,94.33720000000001,96.08733333333333,97.80926666666667,98.63133333333332,96.44500000000001,97.3848666666667,97.54766666666667,99.21733333333331,96.24933333333333,95.5176,101.97973333333334,104.42786666666665,102.64159999999997,101.53373333333334,102.02746666666664,100.65146666666668,101.69533333333332,102.17086666666665,106.62299999999999,103.7973333333333,104.32533333333332,104.78373333333333,106.40259999999998,107.14720000000001,107.16733333333335,107.52093333333333
150 day,105.26067199999997,105.19302466666664,105.109724,105.02066666666664,104.90706066666665,104.82011733333333,104.69235666666667,104.56866533333331,104.44572133333331,104.19832933333332,103.89006466666666,103.79123999999997,103.64962799999998,103.53422066666663,103.41054666666663,103.27994666666663,103.14912733333334,103.02516399999999,102.91263199999997,102.7949333333333,102.57884733333331,102.48050466666663,102.38990333333331,102.27314466666664,102.1586953333333,102.0926733333333,102.03821666666663,101.9862093333333,101.9236413333333,101.88575933333331,101.82953333333329,101.7998493333333,101.72973799999995,101.72046333333331,101.70239799999999,101.67197199999998,101.635118,101.61350866666666,101.58593399999998,101.57001066666665,101.53147133333331
175 day,104.47976114285713,104.44388457142854,104.41912799999999,104.40086228571427,104.36738171428571,104.33458571428572,104.27916057142855,104.21067999999997,104.15557542857142,104.01973828571427,103.91551199999998,103.90593885714281,103.86294457142853,103.81729085714278,103.78226742857136,103.74773028571423,103.72974399999998,103.70920114285711,103.6960371428571,103.66649999999996,103.60144457142852,103.56490228571425,103.52739085714283,103.46041371428568,103.39105428571425,103.35135028571425,103.33279885714283,103.29219085714281,103.25002342857138,103.21559599999998,103.1735531428571,103.13647942857139,103.0625731428571,103.04724285714282,103.02040742857143,102.99242685714286,102.96531085714287,102.93163542857143,102.89676114285712,102.85012228571428,102.80439599999998
2 day,93.4546,94.45195,95.09700000000001,94.3279,92.3828,92.52175,91.832,89.6239,89.5644,89.7033,93.4397,93.7573,90.96865,90.1995,92.98814999999999,93.72255,94.58595,96.24324999999999,97.4093,96.71960000000001,96.66005,96.6154,97.73185,97.27535,95.3253,98.0395,102.4656,102.75835000000001,101.23995,101.36,101.41,101.33500000000001,102.06,104.4,105.17,104.205,104.655,105.6,106.795,107.06,107.27
