,2018-12-11,2018-12-12,2018-12-13,2018-12-14,2018-12-17,2018-12-18,2018-12-19,2018-12-20,2018-12-21,2018-12-26,2018-12-31,2019-01-02,2019-01-03,2019-01-04,2019-01-07,2019-01-08,2019-01-09,2019-01-10,2019-01-11,2019-01-15,2019-01-16,2019-01-17,2019-01-18,2019-01-22,2019-01-23,2019-01-24,2019-01-25,2019-01-28,2019-01-29,2019-01-30,2019-01-31,2019-02-01,2019-02-04,2019-02-05,2019-02-06,2019-02-07,2019-02-08,2019-02-11,2019-02-12,2019-02-13,2019-02-14
1 hr,88.17673333333333,89.8373833333333,87.31080000000001,87.96939999999998,86.3474166666667,87.80614999999997,86.13449999999999,84.5503666666667,82.75803333333333,83.2003333333333,83.30163333333333,83.76361666666666,79.83016666666667,82.85279999999997,83.31331666666665,82.1807333333333,83.74613333333335,81.52340000000001,79.96803333333334,81.08936666666665,86.59856666666671,86.59783333333338,85.83783333333332,83.24621666666668,83.00165000000001,84.06388333333335,84.29681666666666,84.47055000000002,85.58661666666666,87.39290000000001,87.08618333333335,87.67773333333338,88.34201666666668,89.43789999999998,89.75193333333331,87.79428333333335,87.97191666666666,89.19519999999997,88.5802,88.65090000000001,88.42611666666667
1 min,88.14,89.63,87.45,87.74,86.21,87.8,86.37,84.39,81.63,83.81,83.73,84.18,79.993,82.69,83.23,82.38,83.77,81.38,80.09,81.24,86.36,86.74,85.6,83.38,82.88,84.03,84.14,84.57,85.67,87.48,87.25,87.48,88.61,89.45,89.73,87.86,88.17,89.13,87.97,88.58,88.16
1.5 hr,88.2427111111111,89.70733333333334,87.20935555555558,88.00273333333332,86.45011111111114,87.9262111111111,86.54461111111114,84.51607777777781,82.86042222222224,82.86251111111109,83.26481111111109,83.82876666666665,79.81302222222223,82.99364444444443,83.26658888888886,82.2323222222222,83.67297777777777,81.39404444444446,79.94834444444443,81.0593,86.57470000000004,86.64654444444444,85.82133333333331,83.24124444444448,83.00675555555557,84.06637777777782,84.33248888888889,84.4972,85.57847777777775,87.43813333333335,87.16623333333338,87.76651111111111,88.28273333333335,89.42126666666664,89.72081111111109,87.8551111111111,88.00923333333334,89.1538222222222,88.95077777777777,88.68042222222222,88.4726888888889
10 day,92.59800000000001,92.223,91.523,90.79,89.74100000000001,88.875,88.318,87.45599999999999,86.78,85.403,83.912,83.709,82.929,82.56,82.44200000000001,82.53299999999999,82.99699999999999,82.75399999999999,82.45700000000001,81.878,82.096,82.77000000000001,83.061,83.072,83.12199999999999,83.14900000000002,83.426,83.879,84.45500000000001,85.08200000000001,85.173,85.248,85.551,86.16299999999998,86.85,87.233,87.636,88.091,88.321,88.432,88.52000000000001
10 min,88.0545,89.75450000000001,87.45049999999999,87.818,86.09200000000001,87.95349999999999,86.48299999999999,84.3735,82.2365,83.652,83.239,83.99449999999999,79.92549999999999,82.721,83.2385,82.1985,83.71430000000001,81.51299999999999,80.0865,81.1457,86.4815,86.578,85.7302,83.04220000000001,82.78550000000001,84.05350000000001,84.17569999999999,84.47299999999998,85.5317,87.39450000000001,87.1625,87.53849999999998,88.455,89.352,89.72900000000001,87.768,88.0697,89.15799999999999,88.10710000000002,88.52450000000002,88.315
100 day,86.83229999999998,86.91949999999999,86.97839999999998,87.05539999999998,87.11189999999999,87.1775,87.24109999999999,87.28450000000001,87.29520000000002,87.31569999999999,87.36020000000002,87.3741,87.3466,87.3562,87.37640000000003,87.38580000000002,87.4047,87.39940000000003,87.38000000000004,87.28230000000005,87.30060000000005,87.32060000000006,87.32510000000006,87.29910000000005,87.25970000000005,87.22890000000005,87.20110000000005,87.17290000000007,87.14660000000005,87.13940000000004,87.14080000000006,87.13890000000005,87.14420000000005,87.14760000000004,87.16710000000005,87.14990000000007,87.12830000000005,87.11820000000006,87.09680000000006,87.08910000000003,87.07940000000002
125 day,83.94151999999998,84.0744,84.18312,84.28912,84.3948,84.50464000000001,84.60024,84.69200000000002,84.77312000000002,84.95176000000001,85.27056000000003,85.38272000000002,85.45536000000001,85.54912000000003,85.64064000000003,85.72928000000003,85.84832000000003,85.93096000000004,85.99472000000004,86.12456000000005,86.18344000000005,86.23264000000005,86.27008000000005,86.28408000000005,86.30680000000004,86.33456000000004,86.35776000000006,86.39448000000006,86.43928000000004,86.49584000000004,86.55384000000004,86.60696000000003,86.66520000000004,86.72624000000003,86.78568000000004,86.82624000000006,86.86960000000003,86.92904000000004,86.98312000000006,87.04024000000004,87.09048000000003
15 min,88.031,89.82400000000001,87.45806666666667,87.74066666666666,86.096,87.98033333333333,86.42333333333333,84.403,82.45033333333332,83.7,83.26033333333335,83.93699999999997,79.93066666666665,82.724,83.28800000000001,82.18033333333332,83.71386666666668,81.55733333333333,80.08666666666666,81.18879999999999,86.53633333333333,86.53133333333334,85.76579999999997,83.0778,82.85106666666667,84.02686666666666,84.21180000000001,84.466,85.5262,87.41866666666668,87.12366666666665,87.58433333333333,88.38933333333334,89.34533333333333,89.74199999999999,87.76466666666666,88.05146666666668,89.17099999999999,88.1534,88.48766666666668,88.35600000000001
150 day,81.53259999999999,81.69146666666666,81.83453333333333,81.97333333333331,82.10379999999999,82.2356,82.34646666666666,82.44593333333334,82.53293333333335,82.68533333333335,82.94033333333336,83.03806666666668,83.10606666666668,83.19333333333334,83.28653333333335,83.36920000000002,83.46546666666669,83.53886666666669,83.60906666666669,83.73553333333336,83.8286666666667,83.92360000000004,84.00740000000005,84.07040000000005,84.12633333333338,84.19986666666671,84.26700000000005,84.33486666666673,84.41973333333338,84.52733333333337,84.63566666666671,84.75513333333338,84.88300000000004,85.01453333333338,85.1400666666667,85.25806666666672,85.37306666666672,85.49433333333337,85.60220000000005,85.71740000000004,85.84586666666671
175 day,79.64125714285714,79.75348571428573,79.84942857142858,79.95862857142858,80.0597142857143,80.17520000000002,80.29805714285715,80.40268571428574,80.48800000000001,80.64954285714286,80.86314285714289,80.94228571428573,81.00542857142858,81.08640000000001,81.18131428571431,81.26428571428572,81.35697142857144,81.43120000000002,81.50062857142859,81.6450285714286,81.75268571428575,81.86137142857146,81.97445714285718,82.07342857142861,82.1646285714286,82.26400000000004,82.35605714285718,82.44097142857147,82.5334285714286,82.64228571428575,82.74057142857146,82.84057142857147,82.94960000000003,83.05811428571431,83.16137142857146,83.26617142857147,83.37114285714289,83.48291428571432,83.58988571428576,83.69617142857146,83.80377142857147
