,2018-12-14,2018-12-17
1 hr,108.61393333333334,104.82349999999998
1 min,108.54,103.9
1.5 hr,108.67773333333331,105.04752222222223
10 day,109.49453000000001,108.99147
10 min,108.578,103.89699999999998
100 day,93.67395499999999,93.85153399999999
125 day,92.09875279999999,92.2313624
15 min,108.41799999999998,103.88666666666667
150 day,90.54944999999998,90.70907999999997
175 day,87.9438234285714,88.14437428571426
2 day,109.34479999999999,106.0909
2 hr,108.7331416666667,105.09436666666666
2.5 hr,108.7327666666667,105.19731333333333
20 day,109.44362500000003,109.05735000000001
20 min,108.39949999999999,104.05789999999998
200 day,85.62163199999999,85.80570349999999
25 min,108.39739999999998,104.18891999999998
3 hr,108.85812777777784,105.26412777777776
3.5 hr,109.02347619047625,105.42696666666671
30 day,105.73109000000001,106.12954
30 min,108.42323333333333,104.30076666666666
4 hr,109.13527916666672,105.67334583333339
4.5 hr,109.31877407407411,105.83581111111118
40 day,101.43113749999999,101.785495
45 min,108.5300888888889,104.62528888888889
5 day,109.69814,108.69202
5 hr,109.50098000000003,105.99065000000006
5 min,108.73200000000001,103.98899999999999
5.5 hr,109.61485757575768,106.0754303030303
50 day,98.78424,98.97451000000001
50 min,108.57728000000002,104.72035999999999
55 min,108.59065454545454,104.77914545454544
6 hr,109.71723333333347,106.1000027777778
6.5 hr,109.67306410256424,106.11203846153848
60 day,98.61241333333332,98.73113666666667
70 day,97.97565714285713,98.17259857142858
80 day,96.49565874999999,96.74593375
90 day,94.81103222222221,95.08414444444445
Tomorrow,103.7453,101.7291
