,2019-01-02,2019-01-18,2019-01-28,2019-01-30,2019-01-31,2019-02-01,2019-02-05
1 hr,31.601099999999988,35.07141666666665,35.094566666666665,35.33371666666667,35.236966666666675,35.669533333333334,36.42101666666668
1 min,31.81,35.09,35.01,35.27,35.38,35.79,36.29
1.5 hr,31.62904444444444,35.0531888888889,35.05805555555555,35.3778111111111,35.23197777777776,35.68346666666666,36.42987777777777
10 day,30.454,33.900999999999996,34.598,34.851,34.916000000000004,35.024,35.29600000000001
10 min,31.6995,35.056000000000004,35.0035,35.2185,35.339,35.778999999999996,36.3145
100 day,35.073633,34.50815500000001,34.32447600000001,34.25673200000001,34.22485,34.196878000000005,34.15367700000001
125 day,35.33276639999999,35.1166392,35.04916639999999,35.0283288,35.016166399999996,35.000852800000004,34.986306400000004
15 min,31.679666666666666,35.05726666666667,35.016,35.21366666666666,35.30733333333333,35.75833333333333,36.33866666666667
150 day,35.50266133333333,35.303668,35.22961733333332,35.20146,35.19099799999999,35.18902866666666,35.19456733333332
175 day,35.334992000000014,35.33764914285716,35.35042285714285,35.353772571428564,35.35172114285714,35.35024,35.35732171428571
2 day,31.46,34.905,34.855000000000004,35.22,35.325,35.59,36.3
2 hr,31.64643333333332,35.05410000000002,35.03168333333333,35.39123333333332,35.19864166666666,35.70394999999998,36.429208333333335
2.5 hr,31.64744666666665,35.06346666666669,35.03416666666668,35.37316000000003,35.14811333333332,35.73893999999998,36.41189333333335
20 day,31.731009999999998,32.3455,33.51950000000001,33.9425,34.12050000000001,34.33150000000001,34.70700000000001
20 min,31.654750000000007,35.07095,35.037000000000006,35.20975,35.2947,35.7415,36.365050000000004
200 day,35.173752500000006,35.11798800000001,35.14472150000001,35.15883300000001,35.16676050000001,35.17883250000001,35.20957750000001
25 min,31.638400000000004,35.075160000000004,35.055080000000004,35.217639999999996,35.29035999999999,35.731,36.379039999999996
3 hr,31.639949999999995,35.070011111111135,35.03889444444445,35.369744444444464,35.09947777777777,35.7588111111111,36.391183333333366
3.5 hr,31.61188571428571,35.06910476190479,35.022723809523804,35.37437619047619,35.05663333333332,35.76661428571429,36.36742857142859
30 day,32.77146666666667,32.27488999999999,32.556999999999995,32.77533333333333,32.89833333333333,33.062000000000005,33.480000000000004
30 min,31.613733333333343,35.072633333333336,35.06506666666667,35.228199999999994,35.2848,35.72530000000001,36.39053333333334
4 hr,31.590733333333333,35.05436666666669,34.98716249999998,35.381104166666674,35.0115,35.78070833333334,36.33179166666668
4.5 hr,31.605922222222215,35.03407777777778,34.959751851851834,35.37489629629631,34.99894444444445,35.783203703703734,36.32052222222222
40 day,33.199895000000005,32.90713749999999,32.942785,32.93652,32.925754999999995,32.928960000000004,33.062065000000004
45 min,31.599466666666654,35.08197777777776,35.08568888888889,35.28388888888888,35.239311111111114,35.70053333333335,36.41002222222224
5 day,30.952000000000005,34.488,34.708000000000006,34.916000000000004,35.104,35.328,35.812
5 hr,31.612259999999992,35.01698333333332,34.943116666666654,35.37155333333335,35.002890000000015,35.78254000000004,36.331203333333335
5 min,31.744999999999997,35.057,35.016000000000005,35.267,35.382999999999996,35.814,36.281
5.5 hr,31.603330303030294,34.995987878787865,34.93308787878788,35.35459393939396,35.01466969696972,35.78630909090913,36.33912727272728
50 day,33.064798,33.243331999999995,33.26630600000001,33.303262,33.31108,33.325324,33.403698000000006
50 min,31.599119999999985,35.08017999999998,35.08862,35.2985,35.23536000000001,35.68878000000001,36.41282000000002
55 min,31.596654545454527,35.07525454545452,35.08934545454545,35.31550909090909,35.236509090909095,35.67707272727273,36.415654545454565
6 hr,31.57829999999998,34.97241388888887,34.92004166666667,35.33594722222225,35.019405555555586,35.78840833333337,36.34522777777779
6.5 hr,31.530174358974346,34.951261538461516,34.913294871794875,35.31778205128207,35.017446153846166,35.776258974358996,36.34793076923078
60 day,33.30268333333333,33.17003166666667,33.39917666666667,33.476328333333335,33.50676333333333,33.53463333333334,33.58229333333334
70 day,33.71453142857143,33.28537285714286,33.30786428571429,33.34118857142857,33.36642714285713,33.40106285714285,33.50526
80 day,34.250937500000006,33.60497250000001,33.519735000000004,33.51165375,33.50713749999999,33.511585,33.525183750000004
90 day,34.725704444444446,34.06687444444446,33.882810000000006,33.833505555555554,33.80474666666666,33.78417555555556,33.767120000000006
Tomorrow,31.59,34.8,35.16,35.37,35.81,36.32,36.27
