,2018-12-12,2018-12-13,2018-12-17,2018-12-18,2018-12-20,2018-12-21,2018-12-26,2019-01-02,2019-01-04,2019-01-07,2019-01-10,2019-01-11,2019-01-17,2019-01-18,2019-01-23,2019-01-31,2019-02-04,2019-02-05
1 hr,255.8784666666667,251.4389000000001,241.4809833333333,240.12113333333323,233.81234999999995,230.84113333333335,239.2806333333333,247.09270000000004,254.00653333333332,269.8717,276.0847,282.6011166666667,282.41671666666673,291.0501666666666,288.9703,291.16171666666656,288.1051833333333,294.04028333333343
1 min,255.26,251.56,242.06,241.02,234.014,230.48,242.38,247.96,255.11,271.03,277.03,284.16,283.95,291.55,288.13,292.07,289.04,293.87
1.5 hr,256.17541111111103,251.41855555555568,241.86675555555553,239.84941111111107,233.6954111111111,231.2772333333333,238.57539999999997,247.19522222222227,254.3151888888889,269.3991444444444,275.9571888888889,282.6098000000001,282.1650555555557,291.10567777777766,288.93922222222216,291.10921111111105,287.74278888888887,293.5671444444445
10 day,279.242,274.88,263.94399999999996,257.386,246.30499999999998,243.90699999999998,241.13700000000003,239.04299999999998,240.86800000000002,244.567,257.81399999999996,261.99799999999993,276.36600000000004,280.01300000000003,283.018,289.07800000000003,289.578,290.0969999999999
10 min,255.41170000000002,251.44050000000007,241.47270000000003,241.74099999999999,233.65380000000005,230.09099999999998,241.3473,247.55150000000003,254.51800000000003,270.912,276.62,283.7965,283.4182,291.3035,288.15150000000006,291.855,288.3225,294.1549
100 day,271.082,271.0467,270.90840000000003,270.79870000000005,270.5958,270.4568,270.44129999999996,270.72489999999993,270.98209999999995,271.35769999999997,272.6882,273.1789,274.8158999999999,275.31419999999997,276.2515999999999,277.92389999999995,278.0103,278.0834
125 day,266.24175999999994,266.27088,266.23312,266.15016,265.9352,265.84623999999997,265.81792,266.08656,266.22991999999994,266.39232,266.98864000000003,267.1825600000001,268.00391999999994,268.29975999999994,268.88183999999984,270.93895999999995,271.82352,272.28704
15 min,255.47426666666664,251.45126666666673,241.29766666666671,241.7378,233.6375333333334,230.2243333333333,240.9596,247.33000000000004,254.36806666666672,270.70866666666666,276.4996,283.4936666666666,283.4954666666667,291.20946666666663,288.367,291.75620000000004,288.1517333333333,294.1006
150 day,263.8226666666666,263.8494666666666,263.7945333333333,263.73133333333334,263.4888,263.32146666666665,263.08013333333344,262.84746666666666,262.8341333333332,263.0064666666666,263.45873333333327,263.64,264.43059999999997,264.7299333333333,265.2759999999999,267.01146666666665,267.70933333333323,268.11319999999995
175 day,259.66011428571426,259.91497142857145,260.30577142857146,260.41920000000005,260.6599428571429,260.71485714285717,260.7705142857144,260.9626857142857,261.12411428571426,261.28062857142857,261.75994285714285,261.96388571428577,262.6289714285714,262.87239999999997,263.3269714285713,264.58937142857144,265.01645714285706,265.25828571428565
2 day,251.505,253.335,244.39999999999998,241.43,236.62,232.25,235.63,246.405,249.195,263.015,279.11,280.57,282.955,287.7,288.525,290.26,290.20000000000005,291.54
2 hr,256.2712916666666,251.36525000000015,242.05262499999992,239.92662499999997,233.16590833333336,231.78170833333328,238.35576666666674,247.28643333333338,254.85718333333335,269.15792499999986,276.0621499999999,282.57789166666663,281.9302333333334,291.1589499999999,289.0794833333332,291.0435249999999,287.5540666666667,293.2880083333334
2.5 hr,256.3674799999999,251.4440000000002,242.38316666666657,239.96364666666665,233.19717999999997,232.06766,238.2026200000001,247.52995333333334,255.2411666666666,269.04171333333323,275.94526666666656,282.27453333333335,281.85875333333337,291.19332666666656,289.0911733333332,290.94081333333315,287.35845333333333,293.01306666666676
20 day,293.2805000000001,290.14400000000006,283.337,279.7045,272.5955,268.93199999999996,262.2735,251.49349999999998,246.532,245.436,249.4755,250.92350000000002,257.827,260.44050000000004,266.06800000000004,280.69499999999994,284.7954999999999,285.9474999999999
20 min,255.65120000000002,251.51810000000006,241.24525000000003,241.54535,233.83450000000008,230.18710000000002,240.77324999999996,247.21450000000004,254.15810000000002,270.45425,276.47040000000004,283.15775,283.5591,291.15385,288.5063,291.70430000000005,288.05485000000004,294.08615
200 day,252.9307499999999,253.17159999999993,253.64204999999995,253.85719999999998,254.21694999999997,254.33669999999995,254.62529999999998,255.30589999999995,255.64169999999996,255.93169999999998,257.01505,257.411,258.92305,259.34895,260.15829999999994,262.28430000000003,262.85314999999997,263.15254999999996
25 min,255.72384,251.46752000000004,241.2272,241.34768,234.03120000000007,230.10828,240.51123999999996,247.20392000000007,254.0586,270.32004,276.42591999999996,282.9722,283.50376,291.11987999999997,288.62764,291.61592,287.92928,294.06251999999995
3 hr,256.33627777777764,251.37637222222241,242.74349999999993,240.03985555555562,233.39120555555547,232.09630555555546,237.96020555555563,247.6457388888889,255.54889444444441,269.0801277777776,275.96864444444435,282.06466666666677,281.83081111111125,291.2302333333332,288.9516277777777,290.9208166666665,287.1737055555555,292.7258277777779
3.5 hr,256.0810095238094,251.45218095238113,243.05798095238086,240.10100952380955,233.7306285714285,232.1161904761903,237.80609523809534,247.47263333333328,255.66308571428576,268.9962952380951,276.0894142857142,282.01419047619055,281.8057333333335,291.2622142857142,288.76692380952363,291.1883666666665,287.1474523809524,292.4281428571429
30 day,291.7016666666667,291.18600000000004,289.2303333333333,287.86233333333337,284.40633333333335,282.40566666666666,277.6940000000001,268.57233333333335,264.29066666666665,263.25266666666664,260.78700000000003,260.363,257.68,257.69233333333335,258.681,266.811,270.15299999999996,272.15399999999994
30 min,255.7115333333333,251.39450000000002,241.18973333333332,241.20510000000002,234.0527666666667,230.19286666666667,240.23013333333333,247.13736666666674,253.98149999999998,270.22353333333336,276.4436666666667,282.7941666666666,283.37106666666665,291.0625666666666,288.7579666666667,291.5332666666667,287.91156666666666,294.09846666666664
4 hr,255.74703333333335,251.52526666666685,243.4655083333333,240.06238749999994,234.0526541666666,232.34216666666654,237.54200833333346,247.37525833333322,255.7438083333333,268.82662083333327,275.87832499999985,281.76078333333345,281.7396083333334,291.09080416666654,288.559625,291.48217499999987,287.2651041666668,292.1400375000001
4.5 hr,255.3595074074074,251.62371851851861,243.84085925925928,239.89935925925926,234.38914814814805,232.68208148148142,237.1723370370372,247.25947407407403,255.69409629629627,268.63116296296283,275.6428111111109,281.49150740740765,281.6731740740741,290.91346296296297,288.5512296296296,291.5909518518518,287.35552592592614,292.0465962962964
40 day,287.54800000000006,286.7007500000001,285.03675000000004,284.2900000000001,282.45450000000005,281.54100000000005,279.6442500000001,276.6835,274.96625,274.44649999999996,272.724,272.102,268.76575,268.22125000000005,267.5,266.09425,265.66375,265.69174999999996
45 min,255.71575555555557,251.46875555555565,241.3046,240.57444444444437,234.0174888888889,230.4322888888889,239.63786666666667,247.1466,253.94091111111112,270.0952,276.3035333333333,282.6611111111111,282.84637777777783,291.0789111111111,288.97346666666664,291.1780222222222,288.0695555555555,294.15962222222225
5 day,260.3,252.01999999999998,248.666,247.276,240.58999999999997,237.31799999999998,234.998,243.346,246.13000000000002,252.44,272.05,277.866,280.68199999999996,282.16,286.89199999999994,290.068,289.948,290.992
5 hr,255.12596333333335,251.67507333333336,244.1987133333334,239.85150666666664,234.85288666666656,232.9239533333333,236.6934666666667,247.08214333333322,255.62408000000002,268.29801666666657,275.45829333333313,281.2659066666669,281.5985033333334,290.7006566666666,288.6967366666666,291.60869,287.2953266666668,292.16383666666667
5 min,255.28040000000001,251.526,241.6674,241.368,233.8406,230.38600000000002,241.908,247.73200000000003,254.95299999999997,270.937,276.84999999999997,284.133,283.8646,291.338,288.12100000000004,291.95,288.817,294.1364
5.5 hr,254.91624848484847,251.7480575757576,244.36606060606067,240.0797212121211,235.33146060606046,233.14764242424246,236.324293939394,246.71293030303033,255.35275454545453,267.89043636363624,275.30433636363614,281.0413484848488,281.54836060606056,290.51620606060595,288.89150909090904,291.6321787878788,287.23260000000016,292.46425757575764
50 day,284.957,284.38800000000003,283.0866,282.50780000000003,280.98920000000004,280.2364,278.7974000000001,275.838,274.89799999999997,274.877,275.2782,275.3904,275.8482,275.97560000000004,275.87059999999997,273.4214,272.4926,272.3306
50 min,255.77926000000002,251.46508000000009,241.40224,240.40599999999992,233.98752000000002,230.54676000000003,239.52086,247.1336,253.97126,270.03264,276.21804,282.65704000000005,282.70076,291.06836,288.95304,291.16182,288.08027999999996,294.13836000000003
55 min,255.83281818181823,251.43907272727282,241.44765454545453,240.26532727272718,233.88583636363632,230.68305454545455,239.4029636363636,247.10790909090912,254.00076363636362,269.96312727272726,276.16221818181816,282.64721818181823,282.5559636363637,291.06083636363627,288.9568181818181,291.15696363636357,288.1020727272726,294.0923272727273
6 hr,254.64968611111104,251.93596666666673,244.35395833333334,240.4741361111109,235.58068888888874,233.34413888888892,235.99858888888892,246.40203333333326,254.93860833333335,267.4595194444443,275.0815833333332,280.847191666667,281.53712777777775,290.29586111111104,289.03825833333315,291.599013888889,287.1034444444445,292.65953333333334
6.5 hr,254.34821025641028,252.12339487179497,244.29570256410247,240.90116153846137,235.72037948717943,233.4603333333334,235.78648974358987,246.0178179487178,254.38979999999998,266.95326153846145,274.8721743589741,280.59717692307714,281.5423230769231,290.1374435897434,289.1401769230768,291.3423512820514,287.02897435897444,292.5106076923077
60 day,284.40916666666664,283.8866666666666,282.5013333333334,281.8370000000001,280.4168333333334,279.61949999999996,278.1171666666667,275.746,274.9968333333333,274.91883333333334,275.3001666666667,275.3398333333334,275.469,275.75050000000005,276.3833333333333,278.02066666666667,278.24266666666665,278.2801666666666
70 day,283.89571428571423,283.5692857142856,282.68657142857137,282.04528571428574,280.62457142857147,279.86542857142854,278.60314285714287,276.29299999999995,275.38771428571425,275.2954285714286,275.2167142857143,275.2331428571429,275.4561428571428,275.71342857142855,276.1882857142856,277.22571428571433,277.72585714285714,278.04
80 day,278.74275,278.8952499999999,279.04425,279.063125,278.94725,278.79749999999996,278.6115,277.2311249999999,276.31399999999996,276.117375,276.0045,276.03775,275.83449999999993,275.965875,276.2316249999999,276.98325,277.44649999999996,277.676
90 day,273.92099999999994,274.0923333333333,274.2451111111111,274.298,274.33444444444444,274.27299999999997,274.3408888888889,274.5996666666666,274.792111111111,275.1272222222222,276.30066666666664,276.5685555555555,276.66344444444434,276.72499999999997,276.79933333333327,277.2712222222222,277.4783333333333,277.6625555555555
Tomorrow,251.52,246.85,240.91,239.23,230.49,229.06,242.27,243.36,271.0,276.0,284.11,274.9,291.5,288.85,287.99,291.36,294.04,293.45
