,2019-02-05,2019-02-06,2019-02-07
1 hr,332.08080000000007,332.25926666666675,331.9943833333333
1 min,332.01,331.8,332.06
1.5 hr,332.23396666666684,332.2092333333334,332.00885555555544
10 day,283.80499999999995,290.36699999999996,296.84099999999995
10 min,332.13449999999995,332.08779999999996,332.009
100 day,272.9360999999999,273.00339999999994,273.04509999999993
125 day,278.0304799999999,278.41672000000005,278.80176
15 min,332.10433333333333,332.1575333333333,332.0186666666667
150 day,278.44973333333326,278.92999999999995,279.41653333333323
175 day,276.8186857142857,277.1977142857143,277.59445714285715
2 day,332.27,331.9,331.93
2 hr,332.36661666666674,332.16621666666657,331.9965583333332
2.5 hr,332.4827533333335,332.11181333333326,332.0033599999998
20 day,272.26050000000004,275.86600000000004,279.6040000000001
20 min,332.08,332.22115,332.049
200 day,273.92589999999996,274.36154999999997,274.79859999999996
25 min,332.07088,332.26372000000003,332.04159999999996
3 hr,332.5180611111112,332.0893277777778,332.00902222222214
3.5 hr,332.47848571428574,332.109657142857,332.0137999999998
30 day,261.05,264.668,268.40433333333334
30 min,332.0634,332.30410000000006,332.0405
4 hr,332.500825,332.13750833333324,332.02572499999957
4.5 hr,332.52517777777774,332.1582777777775,331.9988666666661
40 day,257.09000000000003,259.13025,261.099
45 min,332.0502888888889,332.2915111111111,332.0221777777778
5 day,297.27599999999995,309.448,321.246
5 hr,332.5425733333334,332.18554666666637,331.9779499999995
5 min,332.239,331.946,331.986
5.5 hr,332.5705181818183,332.2090242424239,331.96963030302976
50 day,256.50260000000003,258.25440000000003,260.019
50 min,332.02966,332.28166,332.00836000000004
55 min,332.0489636363637,332.27101818181825,331.9984181818182
6 hr,332.5949777777778,332.19816944444415,331.9633972222216
6.5 hr,332.575835897436,332.2120102564099,331.96157179487125
60 day,255.52050000000006,256.6056666666667,257.85766666666666
70 day,257.42314285714286,258.17814285714286,258.87642857142856
80 day,262.0952499999999,262.67499999999995,263.2833749999999
90 day,267.64077777777766,267.7848888888888,267.9039999999999
Tomorrow,331.8,332.06,332.41
