,2019-02-05
1 hr,66.0134833333333
1 min,66.03
1.5 hr,66.00237777777775
10 day,66.421
10 min,66.0295
100 day,65.809239
125 day,67.58936560000001
15 min,66.05233333333334
150 day,68.89846400000003
175 day,70.08989142857148
2 day,66.035
2 hr,66.01253333333331
2.5 hr,66.00688666666663
20 day,65.9465
20 min,66.06424999999999
200 day,70.94852700000006
25 min,66.05779999999999
3 hr,65.99737777777776
3.5 hr,65.9963
30 day,64.29866666666666
30 min,66.05596666666665
4 hr,65.97418333333331
4.5 hr,65.97064444444442
40 day,63.675249999999984
45 min,66.02997777777775
5 day,64.92
5 hr,65.98165333333331
5 min,65.998
5.5 hr,65.98116363636362
50 day,64.00785999999998
50 min,66.02297999999996
55 min,66.01489090909088
6 hr,65.97471666666664
6.5 hr,65.97422564102563
60 day,64.14732333333332
70 day,63.94578714285714
80 day,64.23331875000001
90 day,65.0029388888889
Tomorrow,66.21
