,2019-01-22
1 hr,0.9073816666666666
1 min,0.9105
1.5 hr,0.9094577777777784
10 day,0.8868
10 min,0.9063700000000001
100 day,1.203295
125 day,1.2481959999999996
15 min,0.9059400000000003
150 day,1.3824966666666658
175 day,1.461111428571428
2 day,0.95215
2 hr,0.9130541666666675
2.5 hr,0.9191726666666684
20 day,0.838595
20 min,0.9057200000000003
200 day,1.6290724999999997
25 min,0.9055840000000005
3 hr,0.9254361111111135
3.5 hr,0.9338190476190489
30 day,0.8835533333333333
30 min,0.9055100000000006
4 hr,0.9403937500000005
4.5 hr,0.945228888888889
40 day,0.9979149999999999
45 min,0.9065755555555561
5 day,0.85274
5 hr,0.9479883333333331
5 min,0.9076600000000001
5.5 hr,0.948401212121212
50 day,1.127732
50 min,0.9068520000000005
55 min,0.9071400000000002
6 hr,0.9450458333333331
6.5 hr,0.9420066666666661
60 day,1.1622766666666668
70 day,1.1983800000000002
80 day,1.1899937500000002
90 day,1.1967722222222223
Tomorrow,0.8501
