,2018-12-11,2018-12-12,2018-12-13,2018-12-14,2018-12-17,2018-12-19,2019-01-04,2019-01-07,2019-01-08,2019-01-10,2019-01-11,2019-01-16,2019-01-17,2019-01-22,2019-01-23,2019-01-25,2019-01-28,2019-01-29,2019-01-30,2019-02-01,2019-02-05,2019-02-06,2019-02-08,2019-02-13
1 hr,34.98623333333334,35.525400000000005,33.70065000000001,33.13286666666669,33.24201666666668,33.07145,32.47953333333334,32.52694999999998,32.76635,32.37398333333333,32.43379999999999,32.00236666666667,31.970833333333335,31.9782,31.917200000000022,32.239850000000004,32.47988333333334,32.13791666666669,32.21388333333332,31.239233333333328,31.53808333333334,31.141783333333343,30.903566666666684,30.796850000000003
1 min,35.15,35.18,33.62,33.22,33.4,33.06,32.29,32.49,32.75,32.56,32.64,31.94,31.92,31.99,32.02,32.25,32.52,32.01,32.24,31.24,31.5,31.12,30.89,30.8
1.5 hr,34.96857777777777,35.50023333333333,33.694833333333335,33.10713333333336,33.25538888888889,33.148266666666665,32.55752222222222,32.560044444444436,32.7454111111111,32.31935555555553,32.46068888888888,32.031699999999994,31.974588888888892,31.97912222222221,31.925299999999996,32.23468888888888,32.49875555555557,32.15634444444445,32.241155555555565,31.27838888888888,31.52291111111111,31.151744444444457,30.927511111111134,30.780011111111115
10 day,37.480999999999995,37.286,36.85000000000001,36.464,35.995,34.99400000000001,32.868,32.842,32.928,32.976,32.873999999999995,32.51200000000001,32.45,32.42399999999999,32.352,32.098,32.088,32.06400000000001,32.092000000000006,32.063,31.921,31.831,31.701999999999998,31.355
10 min,35.093999999999994,35.366,33.6455,33.127500000000005,33.3038,33.1425,32.2685,32.547000000000004,32.7375,32.517,32.54619999999999,31.952999999999996,31.881,31.939,31.9315,32.29600000000001,32.455000000000005,32.059000000000005,32.17530000000001,31.237000000000002,31.520000000000003,31.127500000000005,30.843,30.799000000000007
100 day,41.61959999999999,41.51169999999999,41.38319999999999,41.26369999999999,41.139299999999984,40.91079999999999,39.63219999999999,39.483299999999986,39.32329999999999,39.07699999999999,38.93699999999999,38.491199999999985,38.33869999999999,38.07839999999998,37.944499999999984,37.67449999999999,37.534899999999986,37.372599999999984,37.21749999999999,36.98309999999999,36.72739999999998,36.596099999999986,36.352699999999984,36.039999999999985
125 day,42.43512,42.3488,42.25167999999999,42.15327999999999,42.05775999999999,41.84839999999999,40.820479999999975,40.714159999999964,40.609519999999975,40.422159999999984,40.32663999999997,40.00111999999997,39.88063999999997,39.65735999999997,39.552159999999965,39.32791999999997,39.23823999999997,39.14287999999997,39.04551999999997,38.84631999999998,38.62559999999998,38.50263999999998,38.248159999999984,37.83927999999998
15 min,35.111666666666665,35.40833333333333,33.669333333333334,33.115,33.272333333333336,33.12766666666667,32.2758,32.525333333333336,32.76366666666667,32.52166666666667,32.53713333333333,31.961333333333336,31.91,31.938,31.924333333333333,32.29466666666667,32.446333333333335,32.07933333333334,32.17553333333334,31.23066666666667,31.520999999999997,31.125000000000004,30.86466666666667,30.80266666666667
150 day,42.53606666666666,42.50546666666666,42.468999999999994,42.4246,42.37633333333333,42.267533333333326,41.66779999999999,41.59919999999999,41.52273333333333,41.34299999999999,41.25113333333332,40.94986666666665,40.85006666666664,40.668733333333314,40.578733333333304,40.39253333333331,40.29833333333331,40.20486666666664,40.118266666666635,39.92986666666664,39.7469333333333,39.6537333333333,39.45559999999997,39.158466666666634
175 day,42.039257142857146,42.02862857142857,42.00039999999999,41.96999999999999,41.944399999999995,41.88719999999999,41.52885714285714,41.486171428571424,41.44011428571428,41.36222857142857,41.321142857142846,41.20354285714284,41.163028571428555,41.081142857142844,41.03622857142855,40.93502857142855,40.87902857142855,40.81771428571426,40.76034285714283,40.64639999999998,40.532857142857125,40.46959999999998,40.349885714285705,40.14851428571427
2 day,36.415,35.175,34.405,33.415,33.31,33.400000000000006,32.415,32.4,32.625,33.135000000000005,32.59,31.939999999999998,31.925,32.269999999999996,32.005,31.865000000000002,32.38,32.275000000000006,32.129999999999995,31.78,31.560000000000002,31.32,31.22,31.08
2 hr,34.8504,35.52353333333333,33.69609999999998,33.077625000000026,33.248583333333336,33.189283333333336,32.62233333333334,32.65032499999999,32.73600833333332,32.313816666666646,32.543183333333324,32.023399999999995,31.977274999999985,31.983408333333323,31.93500833333331,32.22912499999998,32.51459166666668,32.18218333333334,32.22260833333333,31.310641666666665,31.507649999999988,31.144933333333345,30.93852500000003,30.759891666666658
2.5 hr,34.81497333333334,35.56319333333333,33.72636666666666,33.07547333333334,33.28616666666666,33.28308000000001,32.7357,32.74893999999999,32.71577999999999,32.26332666666666,32.592146666666665,32.02358666666667,31.981999999999978,31.983326666666652,31.92627333333331,32.22882666666663,32.51224666666669,32.19404,32.19029333333334,31.352093333333347,31.479639999999993,31.146966666666668,30.929633333333356,30.74116666666667
20 day,37.49249999999999,37.259,36.976,36.7255,36.49649999999999,36.20399999999999,33.931,33.6645,33.44949999999999,33.121500000000005,32.99249999999999,32.7885,32.697500000000005,32.632999999999996,32.64,32.537,32.481,32.4135,32.364999999999995,32.2565,32.1725,32.09150000000001,31.9,31.723499999999994
20 min,35.098,35.452999999999996,33.681000000000004,33.107000000000006,33.25650000000001,33.10724999999999,32.2996,32.495749999999994,32.77750000000002,32.509750000000004,32.5201,31.971249999999998,31.93125,31.963,31.91875,32.28150000000001,32.45675000000001,32.09375,32.16790000000001,31.228500000000007,31.535000000000004,31.120750000000005,30.88515000000001,30.81265000000001
