,2019-02-08
1 hr,3.7433333333333336
1 min,3.797
1.5 hr,3.7300555555555572
10 day,5.6579999999999995
10 min,3.8259
100 day,5.608499999999998
125 day,7.463599999999998
15 min,3.8169333333333335
150 day,8.656333333333329
175 day,9.380571428571423
2 day,3.5999999999999996
2 hr,3.727916666666668
2.5 hr,3.7272200000000026
20 day,5.499499999999999
20 min,3.81
200 day,9.594999999999994
25 min,3.7998000000000003
3 hr,3.740961111111115
3.5 hr,3.7574285714285756
30 day,5.077333333333333
30 min,3.7911666666666664
4 hr,3.761845833333334
4.5 hr,3.7473814814814834
40 day,4.734
45 min,3.7655777777777777
5 day,5.502
5 hr,3.7319533333333332
5 min,3.8144
5.5 hr,3.723539393939396
50 day,4.7128
50 min,3.75846
55 min,3.7512727272727275
6 hr,3.7159555555555586
6.5 hr,3.7079769230769255
60 day,4.759583333333333
70 day,4.90292857142857
80 day,5.032374999999998
90 day,5.237777777777776
Tomorrow,3.69
