,2018-12-13,2018-12-17,2018-12-18,2019-01-09,2019-01-10,2019-01-15,2019-02-13,2019-02-14,2019-02-15
1 hr,6.901416666666668,8.336366666666668,8.324383333333328,3.618766666666667,3.6781333333333333,3.5779500000000035,3.786650000000001,3.633416666666664,4.022533333333332
1 min,7.16,8.4,8.27,3.55,3.75,3.57,3.78,3.59,4.03
1.5 hr,6.549288888888895,8.354544444444446,8.343244444444439,3.6096555555555563,3.664277777777776,3.589122222222228,3.7890666666666695,3.6407777777777786,4.036788888888892
10 day,4.724,5.617,6.115,4.601999999999999,4.145999999999999,3.5520000000000005,3.3810000000000002,3.3989999999999996,3.4599999999999995
10 min,7.1629999999999985,8.357499999999998,8.315,3.5281,3.731300000000001,3.5750000000000006,3.7909999999999995,3.6129,4.0098
100 day,5.697249999999998,5.703549999999998,5.716649999999998,5.644150000000001,5.6259500000000005,5.564849999999998,5.1168499999999995,5.099749999999999,5.085749999999999
125 day,5.9358799999999965,6.011239999999996,6.050759999999996,5.91732,5.879719999999999,5.761399999999997,5.21948,5.206119999999999,5.193959999999999
15 min,7.169999999999999,8.343666666666666,8.338,3.5424,3.7203333333333344,3.575000000000001,3.7895333333333325,3.6169333333333333,4.005199999999999
150 day,5.526766666666664,5.582899999999998,5.614166666666663,5.832299999999998,5.832633333333332,5.834499999999998,5.534366666666665,5.506766666666665,5.477433333333332
175 day,5.584142857142854,5.6252857142857104,5.6490571428571394,5.682085714285714,5.648942857142857,5.563171428571427,5.491571428571427,5.492542857142855,5.494542857142855
2 day,7.21,7.95,8.344999999999999,3.38,3.65,3.44,3.54,3.69,3.82
2 hr,6.484841666666673,8.343683333333335,8.332808333333327,3.594541666666667,3.6740666666666684,3.595516666666674,3.7930750000000035,3.6435833333333307,4.054516666666668
2.5 hr,6.4216600000000055,8.3163,8.305086666666668,3.558293333333334,3.68972,3.603113333333338,3.7966333333333364,3.6463599999999965,4.063193333333336
20 day,4.69775,4.960749999999999,5.1107499999999995,6.2829999999999995,6.176500000000001,5.609999999999999,3.4210000000000003,3.4204999999999997,3.445499999999999
20 min,7.165399999999998,8.33915,8.338949999999999,3.5654000000000003,3.7101000000000006,3.5725000000000007,3.7884,3.6209500000000006,4.008149999999999
200 day,5.561199999999999,5.582999999999999,5.596399999999999,5.615599999999998,5.607949999999999,5.581049999999999,5.427074999999998,5.4035749999999965,5.3760749999999975
25 min,7.175519999999998,8.3342,8.335959999999998,3.58324,3.700200000000001,3.5708,3.788320000000001,3.6239600000000003,4.00944
3 hr,6.351361111111116,8.271344444444447,8.279555555555559,3.52788888888889,3.706316666666664,3.6047111111111168,3.7879777777777806,3.6511277777777718,4.060444444444443
3.5 hr,6.3076428571428576,8.261376190476192,8.238914285714289,3.5042714285714305,3.7212380952380926,3.60180000000001,3.778271428571432,3.6531095238095137,4.058542857142856
