,2019-01-03,2019-02-07
1 hr,57.675066666666666,75.30921666666664
1 min,57.81,75.67
1.5 hr,57.74185555555557,75.20647777777778
10 day,60.772000000000006,76.81800000000001
10 min,57.70200000000001,75.68379999999999
100 day,86.54109999999999,76.99410000000003
125 day,94.20504,84.05304
15 min,57.65126666666667,75.65953333333333
150 day,100.24546666666666,90.90553333333334
175 day,104.09394285714285,96.5381714285714
2 day,59.41,77.89500000000001
2 hr,57.79395000000001,75.14210833333335
2.5 hr,57.864466666666665,75.13830666666671
20 day,62.88250000000001,73.65950000000001
20 min,57.63345,75.6149
200 day,105.31040000000002,100.32049999999995
25 min,57.636359999999996,75.51852
3 hr,57.95897222222223,75.17546666666671
3.5 hr,58.057047619047644,75.23129523809527
30 day,67.59766666666668,69.94533333333332
30 min,57.67613333333333,75.44593333333333
4 hr,58.12923750000004,75.36105000000005
4.5 hr,58.19587407407411,75.48517037037041
40 day,70.62925,67.80100000000002
45 min,57.69453333333333,75.31784444444445
5 day,60.620000000000005,77.718
5 hr,58.17045000000002,75.61788
5 min,57.822,75.613
5.5 hr,58.13940606060608,75.78093636363636
50 day,71.915,68.932
50 min,57.681180000000005,75.31345999999999
55 min,57.6747090909091,75.3166
6 hr,58.12996944444447,75.81299722222224
6.5 hr,58.125125641025654,75.94475384615386
60 day,73.46783333333335,70.5365
70 day,76.37200000000001,71.78342857142859
80 day,79.76950000000002,72.47850000000003
90 day,83.23755555555557,74.37455555555557
Tomorrow,60.9,73.48
