,2019-01-17
1 hr,17.966216666666664
1 min,17.94
1.5 hr,18.00997777777778
10 day,17.823
10 min,17.948999999999998
100 day,14.843200000000003
125 day,14.113360000000007
15 min,17.947999999999993
150 day,13.505466666666669
175 day,13.522685714285716
2 day,17.744999999999997
2 hr,18.01112499999999
2.5 hr,18.000226666666652
20 day,16.9745
20 min,17.947999999999993
200 day,13.357725000000006
25 min,17.946799999999993
3 hr,17.960605555555542
3.5 hr,17.938657142857135
30 day,17.08666666666667
30 min,17.949499999999997
4 hr,17.914075000000004
4.5 hr,17.89508518518518
40 day,17.097000000000005
45 min,17.943533333333338
5 day,17.596
5 hr,17.881076666666672
5 min,17.948
5.5 hr,17.875921212121217
50 day,16.887000000000008
50 min,17.944280000000003
55 min,17.954600000000003
6 hr,17.878522222222216
6.5 hr,17.869092307692295
60 day,15.955666666666671
70 day,15.480285714285719
80 day,15.334625000000006
90 day,15.105777777777783
Tomorrow,17.99
