,2018-12-12,2018-12-19,2018-12-21,2018-12-26,2019-01-03,2019-01-07,2019-01-08,2019-01-09,2019-01-14,2019-01-15,2019-01-18,2019-01-22,2019-01-23,2019-02-12
1 hr,82.34278333333333,82.81955,82.53126666666668,82.02663333333334,83.13223333333333,82.90190000000004,82.9134166666667,83.19046666666668,83.30325,83.3580833333333,83.59116666666665,83.73418333333329,83.90943333333338,84.83354999999999
1 min,82.36,82.67,82.54,82.04,83.13,82.855,82.917,83.22,83.29,83.36,83.59,83.72,83.91,84.82
1.5 hr,82.35543333333337,82.82922222222224,82.5321111111111,82.03619999999998,83.12926666666665,82.92746666666672,82.92918888888893,83.18803333333335,83.31805555555562,83.35748888888885,83.60173333333333,83.74691111111107,83.89942222222228,84.83614444444449
10 day,81.65388999999999,81.96822,82.04077000000001,82.04854,82.29807000000001,82.41568000000001,82.46903,82.56576,82.84497999999999,82.89384,83.04193000000001,83.12469,83.22241,84.72936
10 min,82.3575,82.71440000000001,82.5342,82.0398,83.10940000000001,82.89999999999999,82.9082,83.2198,83.29159999999999,83.35029999999999,83.58309999999999,83.7245,83.91059999999999,84.8413
100 day,81.95859299999995,81.96872799999997,81.96972499999997,81.96709099999997,81.98080699999998,81.98645699999999,81.98849899999999,81.992945,82.00157000000002,82.00554,82.02052900000001,82.0274,82.03842900000001,82.327214
125 day,81.90485679999996,81.9361128,81.95036160000001,81.95752080000001,81.99392480000002,82.00632320000003,82.01334720000001,82.02206080000003,82.04475680000004,82.05372000000003,82.08331280000002,82.09702560000001,82.11124080000003,82.37221279999999
15 min,82.35633333333334,82.7226,82.53099999999999,82.04226666666666,83.10973333333332,82.90433333333334,82.9058,83.22206666666668,83.29213333333334,83.35166666666665,83.58373333333333,83.72433333333333,83.91146666666667,84.8382
150 day,81.79326733333332,81.83098599999998,81.84945733333332,81.86365266666665,81.89726666666667,81.91213200000001,81.92124333333334,81.93182933333334,81.96554000000002,81.97783200000002,82.01774600000002,82.03138866666669,82.04681933333336,82.32447533333334
175 day,81.74806799999999,81.74992228571429,81.75101771428574,81.75055942857145,81.78459200000003,81.80371714285718,81.81220114285718,81.82267314285718,81.85613542857148,81.8674148571429,81.90597085714288,81.9189662857143,81.93293771428574,82.1982897142857
2 day,81.8609,82.2286,82.1093,81.93455,82.832,82.6924,82.67250000000001,82.86195000000001,83.0863,83.0863,83.31315000000001,83.40785,83.5749,84.815
2 hr,82.36531666666671,82.83190833333333,82.5284583333333,82.03976666666662,83.11932499999998,82.95257500000005,82.93769166666665,83.19200833333333,83.3288666666667,83.36090833333333,83.61302499999995,83.75716666666663,83.8929083333334,84.83463333333336
2.5 hr,82.37206,82.84254666666669,82.52331333333335,82.03934000000001,83.11337333333334,82.97139333333338,82.94383333333329,83.19079333333337,83.33608,83.36932666666668,83.6173933333333,83.76404666666666,83.88578666666669,84.83038000000003
20 day,81.538825,81.70453,81.77665,81.82882000000001,82.100845,82.20984000000001,82.2549,82.31094000000002,82.47707499999999,82.53164,82.69915999999999,82.770185,82.84572,84.15537499999999
20 min,82.3492,82.73294999999999,82.5296,82.0381,83.1126,82.90050000000002,82.90455000000001,83.21995000000001,83.2929,83.35264999999997,83.58379999999998,83.71995000000001,83.91405,84.83675
200 day,81.74369199999997,81.75236549999998,81.75554949999999,81.75819499999999,81.778639,81.79166800000002,81.79772550000001,81.80586050000002,81.82639650000004,81.83169300000003,81.85233350000003,81.86034400000003,81.86848100000003,82.06765700000001
25 min,82.3444,82.74959999999999,82.528,82.03324,83.11476,82.90000000000002,82.90576000000003,83.21576,83.29320000000001,83.35303999999998,83.58403999999999,83.72228,83.91680000000001,84.83439999999999
3 hr,82.3749,82.8504111111111,82.51936666666666,82.03543888888893,83.10496111111114,82.98442777777782,82.94511111111106,83.18715000000005,83.34103888888889,83.37288333333332,83.6148722222222,83.76703333333336,83.88865555555562,84.82786111111113
3.5 hr,82.37756666666664,82.8547476190476,82.51438095238098,82.04356190476194,83.09900952380954,82.99540476190484,82.94822380952374,83.18137619047623,83.3427380952381,83.37499047619043,83.61018095238103,83.76441904761904,83.89266190476194,84.82533333333332
30 day,81.52323,81.62316333333334,81.66331666666666,81.69677333333334,81.87750333333337,81.9641266666667,82.00744333333336,82.06007333333335,82.21696666666668,82.27358,82.45551333333334,82.51478999999999,82.57740333333335,83.71857666666665
30 min,82.343,82.76223333333331,82.52853333333336,82.03036666666667,83.11616666666666,82.90183333333336,82.90550000000005,83.21166666666666,83.29343333333335,83.35326666666666,83.5862333333333,83.72649999999999,83.9179,84.83446666666666
4 hr,82.38175833333324,82.8624958333333,82.51800416666673,82.0489458333334,83.10168333333345,83.00040416666674,82.94646666666657,83.17567916666668,83.34019583333334,83.37110833333334,83.60720416666683,83.76120833333331,83.89606249999999,84.82323749999998
4.5 hr,82.38428148148141,82.86874444444442,82.52717407407414,82.05641481481486,83.10765925925934,83.00271851851858,82.94595925925915,83.17409259259259,83.33768518518517,83.3701888888889,83.60633333333345,83.7560111111111,83.8974333333333,84.82162592592593
40 day,81.5457575,81.6193675,81.642585,81.65286750000001,81.77298750000004,81.83671750000005,81.86474500000004,81.90570250000005,82.02040000000004,82.06409750000003,82.20184500000002,82.25426750000001,82.31118500000002,83.316225
45 min,82.34324444444444,82.79397777777776,82.5276666666667,82.02535555555559,83.12395555555554,82.90355555555556,82.90824444444446,83.20042222222223,83.29602222222223,83.3561111111111,83.58864444444444,83.73168888888888,83.9166888888889,84.8338222222222
5 day,81.82212,82.11431999999999,82.15206,82.05034,82.5458,82.73528000000002,82.75124000000001,82.80708000000001,82.95468,83.03644,83.21294,83.2947,83.40838,84.80799999999999
5 hr,82.38618999999996,82.87256999999997,82.5357633333334,82.06581666666666,83.10898000000005,83.00792000000006,82.94487333333322,83.16924333333334,83.33715666666669,83.3721866666667,83.60707000000019,83.75295666666668,83.89547333333327,84.81972333333334
5 min,82.35600000000001,82.703,82.545,82.045,83.11600000000001,82.89,82.91040000000001,83.21700000000001,83.293,83.352,83.583,83.724,83.9162,84.8382
5.5 hr,82.38772727272723,82.87333030303026,82.54638787878795,82.07570606060602,83.10847575757579,83.01140303030309,82.94363636363629,83.1677303030303,83.33553030303028,83.37135454545455,83.60945757575774,83.7490484848485,83.89263939393938,84.8166090909091
50 day,81.57645799999999,81.609666,81.63357400000001,81.643184,81.74048000000003,81.78810600000003,81.80787400000003,81.83560200000004,81.91246200000005,81.94415800000003,82.05356200000004,82.09431200000003,82.13627800000003,82.99233
50 min,82.34349999999999,82.80112,82.52854000000004,82.02548000000003,83.12919999999998,82.90312000000002,82.90934000000003,83.19570000000002,83.29796000000002,83.35719999999998,83.58952,83.73215999999998,83.91484000000003,84.83357999999997
55 min,82.34299999999999,82.81134545454545,82.52998181818182,82.0259090909091,83.13136363636363,82.90278181818184,82.91136363636367,83.1927090909091,83.30001818181819,83.35738181818178,83.59079999999997,83.73269090909088,83.91220000000004,84.8334727272727
6 hr,82.3891722222222,82.87558055555552,82.55459444444452,82.08689722222218,83.1000638888889,83.01170833333335,82.94208888888882,83.16029722222225,83.33444444444444,83.36861666666667,83.61322500000014,83.74589444444449,83.88730555555559,84.8133833333333
6.5 hr,82.38987179487175,82.87630769230765,82.56263076923084,82.09657179487176,83.08598205128206,83.01579230769234,82.93903846153839,83.15153076923082,83.33303076923077,83.36811794871797,83.61504615384628,83.73913589743593,83.87935897435896,84.81257692307692
60 day,81.66989833333332,81.67265833333335,81.673235,81.66191333333335,81.71352666666668,81.75239333333337,81.77281666666669,81.7944416666667,81.86079833333336,81.88737666666667,81.97929833333336,82.01087000000003,82.04363000000004,82.73205833333334
70 day,81.77634285714284,81.75001142857145,81.74347142857144,81.73067285714286,81.75977857142858,81.77960571428574,81.78692000000002,81.79724285714289,81.82996142857147,81.8465342857143,81.92095000000002,81.94843571428574,81.97990142857145,82.55329428571429
80 day,81.89370749999996,81.85087125,81.83660624999999,81.82054874999999,81.82162000000001,81.83035125000004,81.83416625000002,81.84110625000002,81.87017375000002,81.88328375,81.92928375000001,81.94774125,81.96635625000002,82.43444249999999
90 day,81.95291777777773,81.94287777777777,81.93510666666664,81.92083444444441,81.90858333333333,81.90547888888891,81.90687555555557,81.91214222222223,81.92622555555558,81.93328333333335,81.96093333333336,81.97416666666668,81.98841555555558,82.34671999999999
Tomorrow,82.005,82.0447,82.0492,82.0691,82.7472,82.7074,83.0165,82.8769,83.1162,83.2658,83.4652,83.6846,83.884,84.71
