,2018-12-11,2018-12-12,2019-01-18
1 hr,7.642916666666664,7.900899999999999,8.789549999999998
1 min,7.6,7.84,8.84
1.5 hr,7.632566666666668,7.900488888888883,8.80336666666667
10 day,8.309999999999999,8.268,8.346
10 min,7.6315,7.860500000000002,8.797999999999998
100 day,10.324349999999999,10.24835,9.099199999999998
125 day,11.336679999999998,11.259879999999999,9.74436
15 min,7.632999999999999,7.875666666666669,8.792666666666667
150 day,12.2909,12.232233333333333,10.6713
175 day,12.909057142857145,12.858200000000005,11.588828571428571
2 day,7.505,7.725,8.76
2 hr,7.615908333333334,7.910158333333328,8.811275000000006
2.5 hr,7.608633333333325,7.923346666666666,8.817119999999989
20 day,8.165500000000002,8.1705,7.8145
20 min,7.633749999999997,7.8832,8.79275
200 day,13.592925000000005,13.537425000000008,12.216975
25 min,7.635519999999997,7.889359999999999,8.789400000000002
3 hr,7.616111111111115,7.938849999999997,8.819561111111094
3.5 hr,7.622052380952389,7.94788095238095,8.826085714285693
30 day,8.415166666666668,8.377500000000001,7.731333333333334
30 min,7.6405999999999965,7.8918,8.785833333333334
4 hr,7.622125000000007,7.950062500000001,8.837262499999987
4.5 hr,7.636214814814821,7.948122222222227,8.847833333333314
40 day,8.616125,8.583124999999999,7.9079999999999995
45 min,7.643999999999994,7.896755555555552,8.786111111111108
5 day,7.9,7.746,8.564
5 hr,7.65252333333334,7.945909999999998,8.852816666666648
5 min,7.623,7.854000000000001,8.822
5.5 hr,7.666233333333343,7.936887878787882,8.846718181818169
50 day,8.883700000000003,8.830700000000002,7.995099999999999
50 min,7.6462799999999955,7.899479999999999,8.785859999999996
55 min,7.645181818181814,7.900799999999999,8.787145454545453
6 hr,7.671250000000007,7.920994444444444,8.834016666666653
6.5 hr,7.672656410256416,7.904946153846151,8.82050256410255
60 day,9.16475,9.119750000000002,8.141416666666666
70 day,9.475142857142856,9.415857142857144,8.329357142857141
80 day,9.665125,9.627625,8.581812499999998
90 day,9.857333333333335,9.815666666666667,8.826055555555554
Tomorrow,7.85,7.71,8.5
