,2018-12-11,2018-12-12,2018-12-13,2018-12-14,2018-12-17,2018-12-18,2018-12-19,2018-12-20,2018-12-21,2018-12-26,2018-12-31,2019-01-02,2019-01-03,2019-01-04,2019-01-07,2019-01-08,2019-01-09,2019-01-10,2019-01-11,2019-01-14,2019-01-15,2019-01-16,2019-01-17,2019-01-18,2019-01-22,2019-01-23,2019-01-24,2019-01-25,2019-01-28,2019-01-29,2019-01-30,2019-01-31,2019-02-01,2019-02-04,2019-02-05,2019-02-06,2019-02-07,2019-02-08,2019-02-12,2019-02-13,2019-02-14,2019-02-15
1 hr,29.50946666666666,29.556099999999994,29.03615,28.66799999999999,28.135333333333335,27.324083333333324,26.775299999999994,26.352966666666667,25.79026666666667,25.908350000000002,25.523566666666675,26.711383333333337,26.38825000000001,26.987233333333336,28.159499999999998,28.751933333333323,29.003433333333316,29.299766666666663,29.41316666666668,29.940933333333348,29.948000000000018,29.687816666666663,29.689949999999985,30.089716666666664,29.166516666666663,29.165749999999992,29.277649999999987,29.069350000000018,29.109849999999994,28.80013333333334,28.54761666666667,29.404199999999996,29.253883333333327,29.49814999999999,30.303949999999993,29.645816666666654,29.23745000000002,29.072116666666677,28.39571666666668,28.615566666666666,28.678249999999995,29.130849999999988
1 min,29.52,29.51,29.07,28.56,28.08,27.32,26.73,26.3,25.67,26.28,25.7,26.76,26.4,26.88,28.17,28.71,28.99,29.32,29.42,29.89,30.01,29.59,29.78,30.08,29.25,29.16,29.14,28.99,29.12,28.84,28.63,29.42,29.52,29.49,30.34,29.625,29.38,29.19,28.39,28.53,28.56,29.15
1.5 hr,29.479333333333326,29.56747777777776,28.998511111111107,28.702066666666674,28.17644444444445,27.34221111111109,26.87417777777777,26.344900000000003,25.867222222222217,25.812433333333335,25.497244444444455,26.736455555555555,26.41827777777778,27.00980000000001,28.12356666666666,28.754111111111094,29.00832222222221,29.277055555555556,29.425388888888904,29.967355555555578,29.91192222222224,29.713500000000003,29.688311111111098,30.12243333333333,29.180644444444443,29.10678888888887,29.265233333333324,29.083177777777788,29.122488888888892,28.781277777777767,28.531911111111103,29.422844444444443,29.254533333333352,29.505166666666646,30.304566666666652,29.65222222222219,29.219077777777787,29.077177777777788,28.406833333333353,28.629800000000007,28.718266666666658,29.134544444444437
10 day,30.55142,30.353790000000004,30.05784,29.733869999999996,29.477099999999997,29.082749999999997,28.68999,28.34062,27.938190000000002,27.2497,26.321000000000005,26.188,26.096000000000004,26.112000000000002,26.299,26.601999999999997,26.966999999999995,27.272999999999996,27.627999999999997,28.027000000000005,28.456,28.74,29.079999999999995,29.397999999999996,29.504999999999995,29.549,29.563,29.529000000000003,29.498,29.395,29.259000000000004,29.242000000000008,29.215999999999998,29.153,29.262,29.308999999999997,29.333000000000006,29.353,29.246999999999996,29.237000000000005,29.15,29.112000000000002
10 min,29.501500000000004,29.5058,29.073,28.573,28.043,27.387100000000004,26.7435,26.209000000000003,25.678999999999995,26.1791,25.581500000000002,26.749000000000002,26.383499999999998,26.9236,28.177,28.75,28.997999999999998,29.332,29.442999999999994,29.883,29.9835,29.607,29.7555,30.0637,29.1615,29.149999999999995,29.208499999999994,29.0015,29.109500000000004,28.868000000000002,28.5425,29.461499999999994,29.3798,29.453500000000002,30.316499999999998,29.646800000000002,29.336000000000002,29.0925,28.360999999999997,28.5365,28.585500000000003,29.177500000000002
100 day,30.663587999999987,30.685563999999985,30.701985999999984,30.718168999999985,30.723927999999983,30.72021099999998,30.69806799999998,30.677147999999985,30.647363999999985,30.598288999999987,30.512844999999988,30.49800299999999,30.46259299999999,30.432282999999995,30.414968999999992,30.397431999999995,30.383583999999995,30.379941999999996,30.371283,30.364164000000002,30.348969999999998,30.329874999999998,30.322151999999996,30.317329,30.307854,30.299451999999995,30.29095,30.286374000000002,30.288821,30.287382999999995,30.283251999999997,30.288797,30.298204000000002,30.305922999999996,30.324316000000003,30.328112000000004,30.325167000000008,30.320620000000005,30.291266000000004,30.271380000000008,30.24076900000001,30.21079500000001
125 day,30.384555999999993,30.390929599999993,30.38993999999999,30.38418239999999,30.37742479999999,30.35724639999999,30.331244799999986,30.30267039999999,30.272135199999987,30.214091999999987,30.127584799999987,30.112633599999988,30.09164559999999,30.07008079999999,30.05473039999999,30.04369999999999,30.037988799999987,30.035706399999988,30.03446159999999,30.03918399999999,30.053546399999988,30.064866399999985,30.082206399999986,30.105891199999988,30.121908799999986,30.13949519999999,30.15258239999999,30.163048799999988,30.164454399999986,30.16811839999999,30.167891199999993,30.176746399999992,30.187271199999994,30.193288799999994,30.206346399999997,30.214276,30.223442400000003,30.2175144,30.1942152,30.178745600000003,30.164067200000005,30.159713600000007
15 min,29.499600000000004,29.51246666666666,29.07266666666667,28.568333333333335,28.037333333333333,27.391333333333332,26.735866666666666,26.226533333333336,25.67386666666666,26.135800000000003,25.595666666666666,26.7272,26.377000000000002,26.94506666666667,28.195000000000004,28.755,28.99433333333333,29.324666666666666,29.44033333333333,29.89,29.981333333333335,29.618333333333332,29.752333333333336,30.054133333333333,29.190333333333335,29.16033333333333,29.20799999999999,29.00666666666666,29.10166666666667,28.872999999999998,28.50766666666667,29.45873333333333,29.3472,29.467200000000002,30.307000000000006,29.65986666666667,29.326000000000004,29.078000000000007,28.362999999999996,28.551333333333332,28.601066666666668,29.184666666666665
150 day,29.881515999999987,29.880668666666654,29.873773999999987,29.866901999999993,29.866427999999985,29.863759333333324,29.857421333333313,29.84886799999999,29.842189333333316,29.82703866666665,29.808302666666652,29.81117333333332,29.809553999999988,29.81192266666665,29.825304666666653,29.84078466666666,29.85734933333332,29.872065333333328,29.887057333333324,29.904003333333325,29.91926666666666,29.931797999999986,29.946576666666655,29.95697466666666,29.95854999999999,29.95761866666665,29.959053999999995,29.95343866666666,29.947703999999995,29.94089199999999,29.935112666666658,29.935981333333324,29.935609999999997,29.935363333333328,29.939207333333336,29.94298733333334,29.948061333333335,29.949237999999994,29.930808666666664,29.920416666666668,29.912657333333335,29.909555333333337
175 day,29.902195428571414,29.898614857142846,29.8914177142857,29.881721714285703,29.8688337142857,29.851153714285697,29.83318342857141,29.812642857142844,29.787551999999987,29.73045942857141,29.654453714285694,29.633461714285694,29.611196571428554,29.590390285714264,29.578016571428552,29.569959999999988,29.566862857142837,29.566770857142842,29.56904228571427,29.57539542857141,29.577227999999984,29.574479999999983,29.57796799999998,29.5816017142857,29.577749142857126,29.575173142857125,29.58082399999999,29.58813657142856,29.59636114285713,29.60360114285713,29.614733714285702,29.62920514285713,29.643633142857134,29.659730857142847,29.68035371428571,29.695688,29.71317714285714,29.727789142857134,29.75186114285714,29.764101142857143,29.775728,29.78731314285715
2 day,29.252449999999996,29.316999999999997,29.098499999999998,28.725,28.325,27.695,27.025,26.52,25.990000000000002,25.810000000000002,25.795,26.225,26.57,26.645,27.535,28.44,28.855,29.165,29.384999999999998,29.66,29.935,29.79,29.689999999999998,29.935,29.659999999999997,29.195,29.145,29.064999999999998,29.06,28.990000000000002,28.740000000000002,29.025,29.475,29.490000000000002,29.89,29.975,29.5,29.285,28.46,28.46,28.54,28.85
2 hr,29.426641666666658,29.590058333333324,28.948916666666666,28.754849999999998,28.184874999999995,27.383949999999988,26.95771666666666,26.25784166666667,25.886833333333342,25.765641666666667,25.476175000000005,26.742050000000003,26.438016666666673,27.00835,28.111358333333328,28.761449999999982,29.010991666666662,29.2502,29.44875833333335,29.97465833333334,29.908525000000008,29.704625000000007,29.676024999999985,30.1551,29.253008333333344,29.076891666666658,29.25180833333332,29.08950000000001,29.136566666666667,28.773308333333322,28.528125,29.421449999999997,29.25345833333335,29.518233333333328,30.252349999999993,29.66173333333329,29.17095000000003,29.05672500000001,28.42945833333334,28.625108333333337,28.75734166666665,29.13216666666666
2.5 hr,29.392346666666647,29.61643999999999,28.92796000000001,28.791746666666654,28.200619999999994,27.420999999999992,27.045933333333323,26.233526666666673,25.917313333333336,25.72584666666667,25.46926,26.75191333333335,26.43593333333334,27.017680000000002,28.095779999999994,28.751959999999986,29.02033999999999,29.20815333333334,29.473246666666693,29.970833333333335,29.92786,29.695026666666685,29.638459999999977,30.168673333333334,29.30006666666667,29.05696666666665,29.232346666666647,29.094820000000006,29.12767333333332,28.77446666666666,28.502293333333327,29.402459999999998,29.263366666666684,29.53834666666666,30.22103333333333,29.666646666666608,29.143406666666692,29.034586666666673,28.449146666666692,28.593693333333334,28.77178666666665,29.13699999999999
20 day,31.037055,30.885604999999998,30.738124999999997,30.588059999999995,30.411505,30.138849999999998,29.915654999999997,29.699755,29.407175000000002,28.900560000000002,28.027435000000004,27.832550000000005,27.589375,27.400995,27.31981,27.270094999999998,27.260699999999996,27.26135,27.267500000000002,27.317500000000006,27.3885,27.46399999999999,27.587999999999994,27.75499999999999,27.901999999999994,28.075499999999998,28.264999999999997,28.401,28.563,28.711000000000002,28.857499999999998,28.990999999999996,29.147999999999996,29.275499999999994,29.383500000000005,29.429000000000002,29.448000000000008,29.441000000000003,29.320999999999998,29.248,29.195999999999998,29.164000000000005
20 min,29.4942,29.52059999999999,29.073649999999997,28.5803,28.033950000000004,27.377249999999997,26.735900000000004,26.249900000000004,25.648649999999996,26.106050000000003,25.606900000000003,26.705650000000002,26.37375,26.9467,28.196500000000004,28.752499999999998,29.00549999999999,29.322750000000003,29.426,29.8945,29.973750000000003,29.624499999999994,29.75095,30.050599999999996,29.21015,29.165249999999997,29.212699999999995,29.00849999999999,29.095000000000006,28.869149999999998,28.494500000000006,29.44429999999999,29.322899999999997,29.480399999999996,30.30460000000001,29.66055,29.320749999999997,29.070249999999998,28.369999999999994,28.569799999999997,28.61105,29.187249999999995
200 day,30.07624649999999,30.061175999999985,30.043287499999987,30.02487099999999,29.999331499999986,29.969017499999985,29.936193999999983,29.903896499999988,29.872392999999985,29.811464999999984,29.718562499999983,29.697304999999982,29.675667999999984,29.658392999999982,29.645949999999985,29.639487999999986,29.636875999999983,29.63615899999999,29.632857499999986,29.63297999999999,29.630811999999988,29.629141999999984,29.63400599999998,29.634687999999986,29.630190499999983,29.62460649999998,29.618629499999987,29.611559499999984,29.607785499999988,29.602562499999987,29.595357999999987,29.588380999999984,29.58205199999999,29.57620449999999,29.577205999999993,29.575146999999994,29.56992899999999,29.564446999999987,29.54466449999999,29.536714999999994,29.531754999999993,29.530774499999996
25 min,29.49556,29.517279999999992,29.0596,28.595039999999994,28.03156,27.362639999999995,26.74484,26.284119999999994,25.629920000000002,26.078200000000002,25.60472,26.69772,26.375,26.950039999999994,28.198600000000006,28.762759999999993,29.00559999999999,29.314399999999996,29.41736,29.89624,29.96511999999999,29.63407999999999,29.75056,30.049679999999988,29.203319999999994,29.164799999999993,29.220959999999994,29.01423999999999,29.089600000000004,28.859840000000005,28.493400000000005,29.436039999999988,29.309919999999998,29.49311999999999,30.30448,29.660119999999996,29.30608,29.057799999999997,28.37499999999999,28.586599999999994,28.617839999999998,29.18599999999999
3 hr,29.390305555555535,29.65260000000001,28.904966666666667,28.824516666666653,28.207977777777767,27.45031111111111,27.097816666666652,26.2322611111111,25.936144444444462,25.688422222222233,25.46879999999999,26.756777777777796,26.426250000000028,27.046872222222216,28.087177777777768,28.723694444444437,29.019022222222222,29.207877777777767,29.50769444444446,29.969761111111104,29.93921111111111,29.69563333333332,29.615294444444416,30.180588888888895,29.307172222222217,29.01956111111111,29.199277777777766,29.100938888888905,29.111827777777766,28.77778888888887,28.488488888888874,29.388905555555542,29.27060555555558,29.563416666666647,30.21591666666665,29.66971111111105,29.12000555555559,29.010433333333353,28.45216111111113,28.565944444444433,28.79189999999998,29.140433333333323
3.5 hr,29.394785714285693,29.684933333333348,28.905509523809524,28.846580952380933,28.216604761904758,27.480595238095226,27.13543333333332,26.2422238095238,25.950290476190492,25.6765380952381,25.452442857142856,26.735000000000007,26.42384761904765,27.06124285714285,28.076623809523802,28.649047619047607,29.019866666666665,29.22824285714286,29.529804761904774,29.969147619047607,29.94569047619046,29.696028571428542,29.594204761904724,30.195476190476185,29.302057142857134,28.997271428571437,29.177309523809527,29.105938095238113,29.10611428571428,28.791776190476174,28.482604761904753,29.370042857142842,29.28340000000001,29.57275714285713,30.21881904761902,29.671014285714218,29.112000000000034,28.992776190476214,28.450719047619067,28.550176190476176,28.82067619047617,29.142023809523792
30 day,31.28401,31.25289333333333,31.167816666666663,31.061483333333328,30.91233333333333,30.774259999999995,30.592689999999997,30.391486666666665,30.1769,29.774603333333335,29.165706666666672,29.003670000000007,28.79123333333334,28.647770000000005,28.566170000000007,28.47211666666667,28.411233333333332,28.358040000000006,28.29626333333334,28.230946666666675,28.17029,28.135033333333332,28.086249999999996,28.066663333333327,28.048206666666662,28.029729999999997,28.028133333333333,28.01723333333333,28.011,28.009999999999998,28.011999999999997,28.05666666666666,28.130666666666663,28.220999999999993,28.35533333333333,28.486666666666668,28.621000000000002,28.718333333333337,28.889666666666667,28.984,29.044,29.136000000000006
30 min,29.506700000000006,29.514899999999994,29.062833333333337,28.604533333333325,28.0458,27.35626666666667,26.74703333333333,26.3121,25.638433333333335,26.046733333333336,25.59826666666667,26.69143333333333,26.376666666666665,26.954866666666664,28.192400000000003,28.769966666666665,29.005633333333325,29.31566666666667,29.408333333333335,29.908033333333336,29.960099999999994,29.643566666666654,29.75186666666667,30.05039999999999,29.198066666666655,29.164999999999985,29.23513333333332,29.01703333333332,29.08820000000001,28.852866666666674,28.48933333333334,29.43053333333332,29.29576666666667,29.498099999999987,30.302899999999998,29.659433333333325,29.29156666666667,29.04923333333333,28.382166666666652,28.598833333333324,28.625033333333324,29.180866666666653
4 hr,29.38944999999997,29.709225000000004,28.912637499999995,28.86420833333331,28.25678333333334,27.517241666666663,27.156945833333328,26.24392916666665,25.973445833333354,25.66425833333334,25.440045833333347,26.69500416666666,26.42993750000002,27.051904166666667,28.058320833333322,28.587300000000003,29.017783333333345,29.221454166666668,29.531300000000012,29.95779583333333,29.956874999999993,29.69623749999997,29.5779708333333,30.207562499999998,29.304066666666664,28.94740833333335,29.190416666666668,29.11400000000002,29.099187500000017,28.822924999999987,28.480249999999987,29.353816666666656,29.29489166666666,29.563324999999985,30.22669166666664,29.675374999999935,29.112925000000033,28.974904166666697,28.456129166666692,28.53260833333332,28.844174999999986,29.14399166666665
4.5 hr,29.398066666666622,29.732411111111126,28.92655185185185,28.900437037037012,28.29930740740741,27.547759259259266,27.170666666666662,26.245696296296284,26.015296296296306,25.62780000000001,25.422029629629648,26.672048148148146,26.44705925925928,27.04893333333333,28.036248148148132,28.54717777777777,29.011718518518517,29.221692592592596,29.52712592592593,29.944588888888884,29.96046666666666,29.69672222222218,29.567459259259223,30.21326666666666,29.321948148148156,28.915285185185194,29.202314814814816,29.120577777777807,29.09790000000002,28.857337037037038,28.468803703703703,29.339007407407394,29.31294814814813,29.550918518518507,30.259007407407385,29.685999999999947,29.111229629629666,28.960292592592626,28.464788888888915,28.52183333333333,28.85351851851851,29.145470370370347
