,2018-12-20,2019-02-05,2019-02-06
1 hr,9.85106666666667,11.02705,11.852883333333342
1 min,9.83,10.93,11.87
1.5 hr,9.832177777777774,11.052322222222225,11.833433333333339
10 day,10.111,10.897,11.033
10 min,9.826000000000002,10.98,11.8417
100 day,10.953100000000001,10.783900000000003,10.790000000000003
125 day,10.812880000000002,10.842000000000002,10.85288
15 min,9.828200000000002,10.999666666666666,11.843466666666666
150 day,10.656133333333333,10.747933333333334,10.758266666666668
175 day,10.547257142857141,10.62222857142857,10.633485714285712
2 day,9.875,10.98,11.395
2 hr,9.813324999999997,11.069849999999994,11.792050000000014
2.5 hr,9.814259999999992,11.078033333333314,11.780420000000014
20 day,10.042,10.655000000000001,10.750000000000002
20 min,9.839150000000002,10.999750000000002,11.849100000000002
200 day,10.475399999999997,10.52775,10.536749999999998
25 min,9.850720000000003,11.007400000000002,11.851040000000003
3 hr,9.817522222222209,11.083033333333313,11.765150000000014
3.5 hr,9.822190476190459,11.085742857142842,11.767295238095258
30 day,10.091666666666669,10.356,10.434666666666667
30 min,9.856100000000001,11.014000000000005,11.851033333333337
4 hr,9.82459166666665,11.08883333333332,11.773379166666684
4.5 hr,9.826266666666653,11.09470370370369,11.78125555555557
40 day,10.38575,10.29475,10.334
45 min,9.860400000000002,11.024222222222226,11.857688888888891
5 day,9.97,10.985999999999999,11.186
5 hr,9.831693333333321,11.096703333333323,11.788823333333342
5 min,9.82,10.946000000000002,11.839
5.5 hr,9.846799999999988,11.094239393939384,11.795051515151528
50 day,10.6954,10.230400000000001,10.277999999999999
50 min,9.858660000000004,11.023060000000003,11.857060000000004
55 min,9.854436363636367,11.023872727272726,11.855327272727276
6 hr,9.86563333333332,11.091516666666656,11.80583333333334
6.5 hr,9.878333333333323,11.085830769230766,11.826823076923082
60 day,10.916333333333336,10.223833333333335,10.238000000000001
70 day,10.967285714285717,10.373000000000001,10.377857142857145
80 day,11.004000000000003,10.568125,10.569625
90 day,11.017444444444447,10.729555555555558,10.73677777777778
Tomorrow,9.51,11.87,11.77
