,2018-12-20,2018-12-21,2018-12-26,2019-01-02,2019-01-04,2019-01-16,2019-01-18,2019-01-22,2019-01-24,2019-01-29,2019-01-30,2019-02-01,2019-02-12,2019-02-14
1 hr,7.867383333333336,7.1877,7.892199999999998,8.251716666666661,8.17791666666667,8.078566666666667,8.685599999999999,8.02431666666667,8.384899999999998,7.924166666666667,8.253400000000001,8.186033333333336,9.067150000000002,9.058116666666661
1 min,7.76,7.3,7.99,8.33,8.24,7.99,8.77,8.11,8.44,7.93,8.32,8.22,8.97,9.053
1.5 hr,7.841822222222223,7.198355555555559,7.8700555555555525,8.245955555555554,8.179311111111113,8.072466666666662,8.650966666666667,8.00437777777778,8.384455555555554,7.927622222222222,8.240733333333337,8.185166666666674,9.133422222222224,9.024377777777783
10 day,8.959999999999999,8.725,8.347000000000001,7.749,7.687,8.275,8.398,8.349999999999998,8.311,8.247,8.228,8.239,8.201,8.34
10 min,7.783799999999999,7.267999999999999,7.939000000000002,8.277899999999999,8.1959,7.995500000000002,8.7405,8.086500000000001,8.383600000000001,7.900799999999999,8.2829,8.206400000000002,8.964500000000001,9.068800000000001
100 day,12.499500000000005,12.470300000000003,12.412100000000002,12.305000000000001,12.260800000000003,12.101200000000004,12.043200000000002,12.009400000000001,11.939200000000003,11.792000000000005,11.750500000000004,11.684100000000008,11.406900000000002,11.199500000000002
125 day,12.06328,12.038560000000002,11.99744,11.92856,11.892560000000001,11.772000000000002,11.738640000000002,11.714960000000001,11.674960000000002,11.615440000000005,11.600480000000003,11.563760000000006,11.445680000000005,11.419760000000004
15 min,7.794,7.262666666666666,7.935666666666667,8.263933333333334,8.1842,8.008000000000001,8.728666666666667,8.072733333333334,8.3704,7.9021333333333335,8.2786,8.203400000000002,8.959000000000003,9.067533333333335
150 day,11.539066666666669,11.552866666666668,11.586866666666667,11.6542,11.66,11.587200000000001,11.549666666666667,11.518799999999999,11.464533333333334,11.399266666666668,11.385666666666667,11.359600000000002,11.273800000000001,11.261666666666668
175 day,10.527542857142858,10.540457142857143,10.570685714285714,10.642285714285714,10.686514285714287,10.880285714285716,10.9296,10.949657142857143,10.992114285714287,11.044800000000002,11.062628571428572,11.098800000000004,11.166457142857144,11.161657142857145
2 day,7.8999999999999995,7.52,7.58,7.985,7.915,8.26,8.53,8.445,8.27,7.99,8.125,8.195,8.54,8.940000000000001
2 hr,7.799708333333336,7.209008333333334,7.873641666666661,8.192475000000002,8.154750000000002,8.097941666666664,8.624783333333328,8.011058333333331,8.382208333333333,7.927524999999995,8.225891666666671,8.182716666666664,9.131300000000003,8.97971666666667
2.5 hr,7.789180000000003,7.232773333333333,7.876506666666661,8.173246666666664,8.139819999999999,8.11700666666667,8.620113333333322,8.007633333333333,8.376066666666654,7.924593333333337,8.20106,8.180940000000007,9.09919333333333,8.935960000000003
20 day,10.0505,9.8015,9.379000000000001,8.7195,8.4385,8.011999999999999,8.0425,8.059999999999999,8.165000000000001,8.233500000000001,8.2675,8.292,8.224000000000002,8.292000000000002
20 min,7.8095,7.252999999999998,7.9385,8.2439,8.172649999999999,8.018699999999999,8.722,8.0668,8.3596,7.90525,8.274,8.200550000000002,8.9478,9.068900000000003
200 day,9.830549999999999,9.838799999999999,9.855349999999998,9.899249999999999,9.9248,10.076850000000002,10.118400000000001,10.137,10.174150000000001,10.2215,10.238050000000001,10.270650000000005,10.405699999999998,10.454649999999999
25 min,7.823599999999999,7.2314799999999995,7.9312000000000005,8.23884,8.165479999999999,8.033439999999999,8.71588,8.059440000000002,8.365680000000001,7.907639999999999,8.275599999999999,8.19924,8.94008,9.071560000000002
3 hr,7.796349999999997,7.220261111111116,7.873894444444441,8.173494444444446,8.13548888888888,8.140305555555557,8.629105555555553,8.00902777777778,8.357994444444433,7.916577777777781,8.184833333333321,8.1809888888889,9.039427777777775,8.901088888888891
3.5 hr,7.806771428571426,7.2044190476190515,7.871757142857139,8.148500000000004,8.133176190476185,8.174076190476192,8.63422380952381,8.014119047619046,8.342285714285705,7.9167047619047715,8.166009523809507,8.182019047619063,8.976719047619039,8.870266666666671
30 day,10.705333333333332,10.479999999999999,10.136333333333333,9.643333333333333,9.39433333333333,8.571333333333333,8.425,8.36,8.275,8.129666666666667,8.107666666666667,8.083333333333334,8.222666666666669,8.286333333333335
30 min,7.832566666666666,7.2163,7.925566666666667,8.235166666666665,8.166666666666664,8.043933333333333,8.708899999999998,8.056100000000002,8.3735,7.912,8.274533333333332,8.1985,8.942633333333335,9.071500000000002
4 hr,7.80424583333333,7.191604166666666,7.861087499999996,8.130175000000003,8.128520833333328,8.20770833333334,8.632387499999998,8.026283333333327,8.338954166666651,7.916087500000011,8.144204166666652,8.18712083333335,8.929883333333322,8.84197083333334
4.5 hr,7.80755185185185,7.186996296296304,7.8275592592592504,8.120955555555563,8.113877777777772,8.236644444444451,8.624974074074075,8.039188888888882,8.333851851851843,7.9123703703703825,8.126181481481465,8.187385185185196,8.892496296296292,8.822618518518523
40 day,11.469249999999999,11.341249999999999,11.030499999999998,10.416749999999997,10.100249999999999,9.30125,9.14525,9.05525,8.858,8.63425,8.56775,8.4155,8.147500000000003,8.152000000000003
45 min,7.862222222222224,7.178044444444445,7.908999999999998,8.247977777777773,8.17797777777778,8.078244444444445,8.695644444444447,8.044133333333336,8.385422222222223,7.920444444444445,8.26548888888889,8.194266666666667,9.000022222222224,9.068177777777777
5 day,8.382000000000001,8.040000000000001,7.648000000000001,7.768000000000001,7.874,8.280000000000001,8.382,8.338,8.342,8.156,8.203999999999999,8.14,8.198,8.588
5 hr,7.831373333333328,7.199256666666671,7.783486666666659,8.118740000000006,8.103456666666657,8.262196666666675,8.619180000000004,8.057286666666652,8.320423333333325,7.910006666666678,8.110026666666647,8.186216666666677,8.872076666666658,8.798393333333346
5 min,7.787599999999999,7.278999999999999,7.983000000000001,8.286999999999999,8.2242,8.0,8.760000000000002,8.109,8.402000000000001,7.906999999999999,8.2898,8.212800000000001,8.959999999999999,9.074000000000002
5.5 hr,7.864948484848478,7.214990909090915,7.750124242424233,8.093515151515158,8.093018181818168,8.289421212121221,8.609890909090913,8.073727272727256,8.309648484848475,7.91630303030304,8.101263636363615,8.185918181818188,8.853954545454535,8.780354545454557
50 day,12.010200000000003,11.884400000000001,11.621000000000002,11.0626,10.831799999999998,9.988399999999999,9.7598,9.6472,9.4344,9.2074,9.154599999999999,9.021600000000001,8.547600000000003,8.459600000000002
50 min,7.867680000000002,7.178600000000001,7.905239999999999,8.248099999999996,8.17908,8.07922,8.694780000000002,8.038080000000003,8.38508,7.9225,8.26008,8.1904,9.023720000000003,9.06546
55 min,7.868418181818184,7.181454545454546,7.898309090909089,8.248363636363631,8.178636363636366,8.079127272727272,8.69049090909091,8.029909090909094,8.385345454545455,7.9244545454545445,8.256327272727274,8.188000000000002,9.045890909090911,9.061563636363635
6 hr,7.8887305555555445,7.220213888888897,7.720038888888879,8.072938888888896,8.074258333333322,8.335319444444451,8.59131666666667,8.091366666666651,8.296141666666653,7.931322222222233,8.099649999999983,8.182900000000007,8.849933333333322,8.77446111111112
6.5 hr,7.900828205128192,7.246297435897442,7.701779487179479,8.036225641025647,8.050894871794862,8.367610256410263,8.573505128205129,8.11864102564101,8.277758974358969,7.9423153846153935,8.09288205128204,8.18117948717949,8.860602564102553,8.772882051282059
60 day,12.693333333333337,12.513500000000002,12.178500000000005,11.64433333333334,11.40316666666667,10.597999999999997,10.426166666666665,10.33283333333333,10.180166666666667,9.9045,9.816666666666665,9.594833333333334,9.039666666666669,8.964833333333335
70 day,13.12871428571429,13.075857142857148,12.985571428571433,12.448000000000006,12.138571428571433,11.163000000000002,10.973857142857145,10.881571428571428,10.725857142857144,10.444714285714285,10.35142857142857,10.181714285714284,9.661142857142858,9.503714285714286
80 day,12.996750000000002,12.944250000000002,12.822000000000003,12.578250000000004,12.492375000000004,11.926375000000004,11.671000000000003,11.535000000000002,11.292875000000002,10.985000000000003,10.891875000000002,10.706375000000003,10.164250000000001,10.0215
90 day,12.741333333333339,12.703444444444449,12.638888888888891,12.526333333333335,12.448222222222224,12.100111111111117,12.037444444444448,12.002333333333336,11.943000000000003,11.763111111111114,11.637333333333334,11.406444444444448,10.67566666666667,10.525000000000004
Tomorrow,7.28,7.16,7.3,7.58,8.59,8.28,8.11,8.09,8.26,8.33,8.16,8.31,8.82,9.07
