,2018-12-13,2018-12-19,2019-01-09,2019-01-16,2019-01-31,2019-02-01,2019-02-14
1 hr,9.49875,8.837033333333332,9.867750000000004,10.160283333333329,10.008650000000001,10.168083333333328,10.49091666666667
1 min,9.48,8.85,9.87,10.13,10.11,10.15,10.49
1.5 hr,9.492222222222228,8.889333333333335,9.860211111111122,10.161888888888875,10.001722222222227,10.185344444444448,10.484411111111122
10 day,10.035060000000001,9.48466,9.19,9.721,10.325000000000001,10.312,10.418000000000001
10 min,9.484,8.8701,9.8615,10.125000000000002,10.067,10.150500000000001,10.483
100 day,10.925122000000002,10.805693999999999,10.491634000000003,10.401167000000003,10.254873,10.237934999999998,10.122534999999997
125 day,11.210972799999997,11.101245599999997,10.773664800000002,10.6780144,10.535978399999998,10.523916799999997,10.451147199999998
15 min,9.487333333333334,8.859733333333335,9.865333333333334,10.124666666666668,10.051999999999998,10.147333333333332,10.485666666666669
150 day,11.429435999999997,11.340689333333328,11.045240666666665,10.952118666666664,10.809525333333331,10.796469999999996,10.692920666666664
175 day,11.513389142857141,11.452804571428567,11.240573714285715,11.176903999999997,11.05599371428571,11.042014857142853,10.937234857142853
2 day,9.595,8.965,9.774999999999999,10.08,10.26,10.129999999999999,10.545
2 hr,9.490041666666674,8.926141666666666,9.852833333333342,10.160549999999994,9.996199999999996,10.196258333333336,10.47994166666668
2.5 hr,9.493320000000006,8.96644666666667,9.847700000000001,10.158513333333342,9.993193333333327,10.207799999999999,10.47276000000001
20 day,10.036669999999999,9.876665,9.155125000000002,9.281999999999996,10.023000000000001,10.0805,10.371500000000001
20 min,9.491249999999999,8.847800000000003,9.867250000000002,10.132450000000002,10.036499999999998,10.146499999999996,10.488000000000003
200 day,11.622073000000002,11.557441,11.3290935,11.2762965,11.198616000000001,11.191240500000001,11.121652
25 min,9.4942,8.839240000000004,9.8698,10.137160000000002,10.0278,10.151599999999997,10.490200000000002
3 hr,9.495600000000005,8.993877777777787,9.84303888888889,10.152033333333339,9.983549999999996,10.218266666666667,10.46755000000001
3.5 hr,9.50287142857143,9.01813809523811,9.837133333333332,10.147895238095245,9.970985714285716,10.226523809523815,10.464780952380965
30 day,9.993703333333332,9.892633333333333,9.519056666666668,9.446023333333331,9.629666666666669,9.665666666666668,10.154666666666666
30 min,9.500666666666664,8.83486666666667,9.871166666666666,10.142300000000002,10.023066666666667,10.157166666666663,10.489333333333338
4 hr,9.508945833333343,9.032350000000015,9.827979166666665,10.146554166666673,9.949825000000002,10.23939583333334,10.46656666666667
4.5 hr,9.517174074074084,9.04066296296298,9.817929629629624,10.14758888888889,9.934437037037041,10.24620740740742,10.46694814814815
40 day,9.991249999999997,9.871202499999999,9.620435,9.629684999999998,9.6657675,9.6537775,9.82675
45 min,9.506333333333327,8.834800000000001,9.871444444444446,10.154711111111114,10.010600000000004,10.165999999999999,10.490777777777783
5 day,9.658080000000002,9.197999999999999,9.482,9.959999999999999,10.366000000000001,10.319999999999999,10.495999999999999
5 hr,9.524533333333345,9.050730000000014,9.805679999999988,10.147510000000002,9.932226666666672,10.252793333333345,10.464716666666664
5 min,9.482000000000001,8.868,9.859,10.124,10.102,10.162,10.482000000000001
5.5 hr,9.532878787878799,9.05663333333335,9.790563636363625,10.143215151515154,9.938348484848488,10.2656090909091,10.4629606060606
50 day,10.193667999999999,10.020107999999999,9.675924,9.685101999999999,9.768748,9.772604,9.816213999999999
50 min,9.503399999999996,8.835860000000002,9.869900000000003,10.157340000000003,10.009240000000004,10.1666,10.491000000000003
55 min,9.501363636363633,8.834872727272728,9.868636363636368,10.1594,10.009854545454548,10.167090909090906,10.49136363636364
6 hr,9.540488888888898,9.056775000000021,9.782877777777761,10.143008333333336,9.954358333333339,10.277458333333339,10.466172222222214
6.5 hr,9.552433333333342,9.056417948717971,9.775335897435882,10.141169230769234,9.968584615384618,10.28478205128206,10.469307692307687
60 day,10.404753333333336,10.226663333333331,9.76153,9.713641666666666,9.791751666666668,9.795953333333332,9.876956666666665
70 day,10.594664285714288,10.440987142857141,9.962662857142856,9.874294285714285,9.80097857142857,9.799354285714283,9.881215714285712
80 day,10.745661250000003,10.61058125,10.171482500000002,10.06029375,9.9306325,9.917839999999998,9.878106249999998
90 day,10.83425888888889,10.729753333333333,10.349014444444446,10.247081111111111,10.089705555555556,10.07042333333333,9.984784444444443
Tomorrow,9.31,8.92,9.8,10.28,10.15,10.31,10.54
