,2019-01-17,2019-02-04,2019-02-06,2019-02-13
1 hr,30.745233333333317,25.51396666666664,19.97186666666668,18.579666666666665
1 min,30.82,25.31,20.06,18.43
1.5 hr,30.77264444444441,25.502699999999972,19.97371111111112,18.629444444444452
10 day,28.993000000000002,28.176000000000005,26.805,21.651999999999997
10 min,30.665,25.355,19.968999999999994,18.506999999999998
100 day,23.22584999999999,24.200199999999995,24.28439999999999,24.2461
125 day,22.815079999999988,23.49655999999999,23.508519999999987,23.38507999999999
15 min,30.664266666666663,25.388666666666662,19.971333333333327,18.515733333333337
150 day,22.25139999999999,22.948799999999988,22.994599999999984,22.957899999999988
175 day,21.54034285714285,22.27782857142856,22.33879999999999,22.370057142857135
2 day,30.495,25.75,22.56,18.415
2 hr,30.752624999999956,25.494991666666635,19.973849999999995,18.607691666666657
2.5 hr,30.737033333333276,25.493393333333312,19.99274,18.59296666666667
20 day,27.1565,28.749500000000005,28.119999999999997,25.5845
20 min,30.686199999999996,25.42399999999999,19.974999999999994,18.514300000000002
200 day,20.739799999999992,21.448849999999993,21.52644999999999,21.625049999999984
25 min,30.70615999999999,25.44999999999998,19.978399999999997,18.515040000000003
3 hr,30.72501111111105,25.49158888888885,19.98893333333333,18.561383333333342
3.5 hr,30.714304761904707,25.47301904761901,19.978757142857134,18.524652380952393
30 day,27.158,27.710333333333335,27.601,26.455333333333332
30 min,30.720799999999986,25.46683333333331,19.9794,18.518866666666668
4 hr,30.70998333333328,25.459483333333306,19.99672083333333,18.46132083333334
4.5 hr,30.70176666666663,25.465629629629607,20.041274074074067,18.393744444444454
40 day,26.576749999999997,27.465250000000005,27.16775,26.117
45 min,30.73037777777777,25.499888888888872,19.97320000000001,18.53377777777778
5 day,29.436,27.072000000000003,24.75,18.554
5 hr,30.697026666666638,25.495386666666654,20.08183666666666,18.358056666666677
5 min,30.746000000000002,25.341,19.974999999999998,18.453
5.5 hr,30.68490606060603,25.528906060606058,20.14574545454545,18.34010606060608
50 day,25.727199999999993,27.045600000000004,26.992000000000004,26.439000000000007
50 min,30.73453999999999,25.510499999999976,19.971880000000013,18.550800000000002
55 min,30.740290909090895,25.512999999999973,19.971800000000012,18.56418181818182
6 hr,30.689949999999968,25.568555555555545,20.186625,18.35291944444446
6.5 hr,30.69287179487177,25.603510256410257,20.247120512820512,18.389471794871806
60 day,24.83166666666666,26.315999999999995,26.391999999999996,26.024666666666672
70 day,24.451857142857136,25.440714285714286,25.490571428571425,25.397142857142857
80 day,24.171999999999997,25.017999999999997,25.023625,24.815875
90 day,23.616222222222216,24.734666666666666,24.757111111111104,24.523555555555554
Tomorrow,31.05,25.06,18.99,20.12
