,2018-12-12
1 hr,47.646633333333334
1 min,47.5
1.5 hr,47.55766666666666
10 day,45.26200000000001
10 min,47.6411
100 day,46.6197
125 day,46.545760000000016
15 min,47.679733333333324
150 day,45.97713333333335
175 day,45.33497142857144
2 day,46.730000000000004
2 hr,47.55289166666666
2.5 hr,47.577979999999975
20 day,44.444500000000005
20 min,47.714299999999994
200 day,44.602350000000015
25 min,47.70423999999999
3 hr,47.58139999999998
3.5 hr,47.551514285714276
30 day,44.975
30 min,47.693533333333335
4 hr,47.5221125
4.5 hr,47.50660370370369
40 day,45.0775
45 min,47.67035555555555
5 day,45.82800000000001
5 hr,47.50300999999999
5 min,47.57299999999999
5.5 hr,47.48974848484847
50 day,45.35759999999999
50 min,47.67192
55 min,47.66087272727273
6 hr,47.452736111111136
6.5 hr,47.407746153846176
60 day,45.91533333333332
70 day,46.30742857142857
80 day,46.61899999999999
90 day,46.67133333333334
Tomorrow,46.71
