,2018-12-19,2018-12-20,2019-01-02,2019-01-17,2019-01-25,2019-02-01
1 hr,110.43575000000003,108.87219999999999,108.05134999999997,113.05058333333331,117.09560000000002,118.46004999999998
1 min,110.23,108.51,108.65,113.15,117.23,118.76
1.5 hr,111.0335888888889,108.84973333333332,108.12821111111109,113.10294444444442,117.11392222222223,118.37844444444441
10 day,113.94100000000003,112.98800000000001,108.131,111.72200000000001,114.415,116.83399999999999
10 min,110.48499999999999,108.277,108.38200000000002,112.99209999999998,117.0981,118.696
100 day,118.19689999999999,118.18739999999998,117.6858,117.02059999999994,116.92169999999996,116.77949999999997
125 day,116.67335999999996,116.67799999999995,116.69863999999997,116.63911999999993,116.76663999999995,116.96791999999995
15 min,110.47266666666665,108.35633333333334,108.29466666666667,113.02339999999998,117.1140666666667,118.66333333333334
150 day,115.19819999999997,115.2241333333333,115.28186666666666,115.47693333333324,115.70946666666659,116.05439999999994
175 day,113.82102857142856,113.83319999999999,113.83982857142855,114.24994285714283,114.56622857142852,114.89628571428567
2 day,110.69,109.35,108.845,113.07,116.695,118.09
2 hr,111.42133333333335,108.63635833333329,108.15021666666667,113.06179166666662,117.18909999999997,118.35164166666662
2.5 hr,111.78090666666672,108.62969333333331,108.21175333333329,113.03803333333332,117.23430666666663,118.38343333333333
20 day,117.92750000000001,117.3375,112.221,109.63550000000001,111.9835,114.27800000000002
20 min,110.3865,108.4903,108.19024999999999,113.05199999999998,117.09080000000003,118.6265
200 day,112.61660000000002,112.63830000000002,112.73220000000003,113.16274999999997,113.44704999999996,113.71724999999998
25 min,110.37156,108.64532000000001,108.13759999999998,113.08519999999999,117.07232000000005,118.6134
3 hr,112.00158333333337,108.70209444444441,108.23316666666662,113.00064999999995,117.24916111111106,118.43548333333332
3.5 hr,112.17272380952382,108.80137142857137,108.18665238095235,113.00039999999993,117.27596666666663,118.50452857142857
30 day,119.29866666666666,118.95166666666665,115.49366666666667,111.40933333333332,111.41933333333333,112.03500000000001
30 min,110.38033333333333,108.74973333333335,108.10156666666666,113.10133333333332,117.06360000000004,118.60186666666668
4 hr,112.29722500000003,108.85955416666663,108.0853708333333,113.00942499999994,117.30630416666665,118.591275
4.5 hr,112.34151851851855,108.91464074074072,108.06731481481481,113.01827777777773,117.33548518518519,118.67188518518519
40 day,118.39750000000001,118.223,116.78400000000002,114.08825000000002,113.54524999999998,112.7655
45 min,110.41560000000001,108.91277777777779,108.0640222222222,113.07655555555553,117.09284444444444,118.53555555555552
5 day,112.34400000000001,110.946,108.482,112.39000000000001,116.44000000000001,117.228
5 hr,112.35975333333339,109.01332999999998,108.05669333333333,113.03367666666665,117.35481333333333,118.72560999999999
5 min,110.38600000000001,108.28600000000002,108.53800000000001,113.056,117.2222,118.79
5.5 hr,112.3651181818182,109.09987575757575,108.01051818181816,113.03722727272728,117.3811575757576,118.75722121212122
50 day,117.89399999999998,117.65199999999997,116.57320000000001,115.56720000000003,115.15420000000002,114.6374
50 min,110.43064,108.9304,108.05561999999998,113.06579999999997,117.09092000000003,118.51419999999996
55 min,110.41263636363638,108.90400000000001,108.04819999999998,113.05981818181814,117.09210909090912,118.48932727272725
6 hr,112.33827222222226,109.19600277777778,107.98009722222218,113.06590555555556,117.39447777777782,118.78665277777777
6.5 hr,112.2998435897436,109.25801794871795,107.92775897435898,113.0710153846154,117.40099230769238,118.75492564102568
60 day,118.27250000000001,118.067,116.55433333333332,115.58450000000002,115.71650000000002,115.77833333333335
70 day,118.66057142857146,118.486,117.09100000000001,115.66214285714287,115.65128571428573,115.763
80 day,118.77049999999997,118.65037499999997,117.59362500000002,116.23612499999994,115.97749999999999,115.808625
90 day,118.61111111111109,118.52388888888886,117.74333333333331,116.77344444444441,116.49444444444443,116.30255555555551
Tomorrow,108.47,106.01,105.33,115.7,116.23,119.35
