,2019-01-03,2019-01-04,2019-01-22,2019-02-01,2019-02-04,2019-02-05,2019-02-08,2019-02-11
1 hr,143.07875,148.9218333333333,162.19258333333332,170.06765000000001,173.32288333333327,173.71471666666667,172.5158833333334,170.51083333333335
1 min,142.59,148.99,163.08,170.52,173.26,173.78,173.09,170.52
1.5 hr,143.20354444444445,149.00158888888888,162.13316666666665,169.9722,173.37128888888887,173.63677777777778,172.54227777777785,170.57897777777777
10 day,145.83499999999998,145.761,159.82600000000002,165.86499999999998,166.74999999999997,167.821,170.571,171.008
10 min,142.7894,148.92799999999997,162.43210000000005,170.27429999999998,173.125,173.7072,172.5688,170.482
100 day,152.5825,152.54300000000003,153.14590000000004,153.7955,153.9128,154.0344,154.36390000000003,154.45510000000004
125 day,151.77296,151.82944000000006,152.87424,153.99111999999997,154.16943999999998,154.34319999999997,154.84096000000005,154.98184000000006
15 min,142.88726666666665,148.94266666666667,162.45520000000002,170.2475333333333,173.12733333333333,173.67013333333333,172.523,170.4666666666667
150 day,149.5339333333334,149.65746666666678,151.21900000000005,152.6422,152.87980000000002,153.12220000000002,153.78993333333338,153.98073333333338
175 day,145.9338285714286,146.10731428571435,148.51720000000006,150.31074285714288,150.56834285714288,150.82897142857146,151.58262857142867,151.81171428571437
2 day,145.175,145.78,163.755,169.895,171.905,173.535,173.07,171.81
2 hr,143.26657500000005,149.04250833333327,162.1950333333333,169.90216666666666,173.37946666666664,173.57147500000005,172.60704166666667,170.74849166666672
2.5 hr,143.32206000000008,149.09927999999994,162.26422,169.91539999999998,173.31908666666666,173.46236000000007,172.6695533333333,170.9157800000001
20 day,150.09449999999998,149.8655,153.01250000000002,161.48849999999996,162.70449999999997,163.8235,166.30900000000003,166.93900000000002
20 min,142.96895,148.90494999999999,162.52265000000006,170.2459,173.1415,173.67759999999996,172.49575,170.41250000000002
200 day,142.81440000000003,142.93325000000007,145.1286,146.93345000000002,147.16670000000002,147.40965000000003,148.17645000000005,148.43605000000005
25 min,143.08556000000002,148.89484,162.46212000000003,170.24367999999998,173.15443999999997,173.67728,172.51144,170.37760000000003
3 hr,143.41468888888895,149.1903611111111,162.30770000000004,169.92985000000002,173.26914444444444,173.38715000000008,172.6566277777778,171.0409333333334
3.5 hr,143.57115238095244,149.20425714285713,162.38686666666672,169.94725714285707,173.22889047619046,173.3852047619048,172.6698428571429,171.14233809523807
30 day,151.00966666666665,151.002,152.98566666666667,156.27066666666664,157.05666666666667,157.94866666666667,161.01500000000004,161.76400000000004
30 min,143.16963333333334,148.89219999999997,162.41603333333336,170.22023333333334,173.17753333333332,173.7024,172.4975333333333,170.36813333333336
4 hr,143.6821708333334,149.18635833333332,162.46462916666667,170.00623749999994,173.20954583333332,173.41172083333333,172.69456666666673,171.22090416666666
4.5 hr,143.82584074074074,149.12109259259262,162.56349259259264,170.06803703703696,173.20335925925923,173.47087777777782,172.72832592592601,171.31908888888887
40 day,152.424,152.12825000000004,153.31325000000004,155.79149999999998,156.285,156.6945,158.03600000000006,158.37125000000006
45 min,143.11566666666667,148.88773333333333,162.2852444444444,170.1330888888889,173.29902222222222,173.72997777777775,172.53117777777777,170.42995555555555
5 day,146.71599999999998,146.898,162.602,167.722,169.148,171.022,173.42,172.868
5 hr,143.85628999999997,149.0457166666667,162.6643200000001,170.0982666666666,173.16697999999997,173.48736333333335,172.87629333333336,171.44377333333338
5 min,142.6868,148.98200000000003,162.562,170.42260000000002,173.21600000000004,173.80599999999998,172.7156,170.548
5.5 hr,143.81031212121206,148.97041212121212,162.76890000000014,170.11082727272725,173.11285454545455,173.51726969696972,172.9787454545455,171.53567272727273
50 day,150.246,150.35600000000002,153.55280000000005,155.2012,155.68300000000002,156.21480000000003,157.54800000000006,157.94260000000006
50 min,143.08730000000003,148.89895999999996,162.24591999999996,170.11108000000002,173.30813999999998,173.72038,172.53516000000002,170.46456
55 min,143.08427272727272,148.90745454545453,162.21118181818179,170.09334545454544,173.3140545454545,173.71925454545453,172.52790909090913,170.49545454545458
6 hr,143.8207944444444,148.82385277777774,162.88471111111124,170.0575638888889,173.01611388888895,173.50564444444453,172.92897500000007,171.5723027777778
6.5 hr,143.97958461538454,148.54017179487175,162.9906846153847,169.98451282051283,172.87120512820525,173.47530769230778,172.95725897435904,171.6900641025641
60 day,149.23133333333334,149.20116666666672,152.10583333333338,155.44549999999995,155.65366666666665,155.93083333333334,156.59666666666672,156.8838333333334
70 day,150.51542857142857,150.37271428571435,150.76728571428575,153.45814285714283,153.88414285714285,154.35085714285714,155.94528571428575,156.44828571428576
80 day,151.87225,151.71487500000006,151.44075000000004,152.295625,152.577,152.899,154.09937500000004,154.44962500000003
90 day,152.55211111111112,152.47311111111114,152.5025555555556,152.95388888888888,153.11311111111112,153.2607777777778,153.7257777777778,153.8435555555556
Tomorrow,148.97,151.4,163.09,173.29,173.78,173.89,170.53,174.29
