,2018-12-12,2018-12-13,2018-12-17,2018-12-18,2018-12-19,2018-12-20,2018-12-21,2018-12-26,2018-12-31,2019-01-02,2019-01-03,2019-01-04,2019-01-07,2019-01-08,2019-01-09,2019-01-10,2019-01-11,2019-01-15,2019-01-17,2019-01-18,2019-01-22,2019-01-29,2019-01-30,2019-02-01,2019-02-04,2019-02-06,2019-02-12,2019-02-13
1 hr,176.51815,172.97510000000003,166.1345166666666,162.4665833333333,158.16199999999998,161.86155,157.22034999999994,159.70154999999994,165.1976999999999,163.3251999999999,164.48724999999996,172.2407,175.75276666666667,178.10398333333336,182.11261666666667,185.71003333333329,188.1114333333332,186.0036666666667,190.11665000000002,194.15966666666665,193.30470000000003,186.0676333333333,187.17643333333328,191.43208333333334,187.37419999999986,183.5668166666666,183.6668333333333,185.69301666666667
1 min,175.45,173.35,166.22,163.42,158.52,161.31,156.5,161.84,165.8,164.09,163.65,172.71,175.82,178.18,182.31,186.05,188.16,186.68,190.52,194.7,193.911,186.39,187.05,191.5,187.91,182.38,184.0,185.27
1.5 hr,176.49003333333337,172.6923222222223,166.5915666666666,162.6421777777778,159.00335555555557,161.8243666666667,157.4854,159.16795555555552,165.02746666666658,163.5344555555555,164.64735555555555,172.28933333333336,175.6893222222222,177.9821333333334,181.88016666666667,185.56663333333333,188.2262444444443,185.93940000000003,189.96432222222222,193.9868888888889,193.24678888888891,186.04858888888887,187.30945555555553,191.40084444444446,187.36564444444443,183.62933333333334,183.5766444444444,185.7388222222223
10 day,177.548,177.05200000000002,174.651,172.52900000000002,170.602,168.77100000000002,167.20000000000002,163.874,160.931,160.722,160.752,162.156,163.61100000000002,165.78000000000003,168.819,171.238,173.817,178.16299999999998,183.049,185.24899999999997,187.05200000000002,189.23700000000002,189.274,189.85000000000002,189.17800000000003,187.742,185.393,185.213
10 min,175.95600000000002,173.4425,165.7784,163.7319,158.86829999999998,160.87499999999997,157.1326,160.81430000000003,164.81159999999997,163.9843,164.118,172.3983,175.97510000000003,178.1485,182.0145,185.81,188.0115,186.11769999999999,190.44070000000002,194.363,193.29810000000003,186.0198,187.10909999999998,191.5118,187.63400000000001,182.5577,184.0167,185.2045
100 day,177.15729999999994,177.1260999999999,176.9714999999999,176.84709999999987,176.7126999999999,176.5814999999999,176.3959999999999,175.97589999999994,175.60129999999998,175.48909999999995,175.3759,175.35469999999998,175.36270000000002,175.38530000000003,175.47830000000002,175.58900000000006,175.7098,175.88999999999996,176.11929999999995,176.29789999999997,176.44349999999997,176.65319999999997,176.69159999999997,176.92069999999993,177.00769999999994,177.13229999999993,177.285,177.37150000000005
125 day,175.09943999999993,175.24663999999993,175.48695999999995,175.53335999999993,175.55007999999992,175.56695999999994,175.58087999999995,175.69887999999995,175.71759999999998,175.68839999999997,175.64231999999998,175.63631999999996,175.64983999999995,175.67448,175.7328,175.79488,175.85616,175.91039999999992,176.03375999999994,176.17215999999993,176.31087999999994,176.84175999999997,176.93775999999994,177.15111999999993,177.25863999999993,177.39455999999993,177.60928,177.68384000000003
15 min,176.13733333333337,173.471,165.56026666666668,163.6806,158.63439999999997,160.97,157.28973333333334,160.59480000000002,164.90706666666665,163.84666666666666,164.28246666666664,172.33993333333333,176.02680000000004,178.13299999999998,182.05366666666666,185.82826666666662,188.03,186.11426666666665,190.51926666666665,194.33573333333334,193.38613333333336,185.98880000000003,187.10506666666666,191.4992,187.52700000000002,182.63606666666666,183.97313333333332,185.18400000000003
150 day,171.48813333333334,171.63753333333335,171.78953333333337,171.84213333333332,171.8588,171.89186666666666,171.8869333333333,171.89526666666666,172.0156,172.0745333333333,172.1218,172.24646666666666,172.40513333333334,172.5954,172.83926666666667,173.10633333333334,173.38906666666665,173.8651333333333,174.3567333333333,174.62146666666663,174.8805333333333,175.9529333333333,176.16819999999998,176.72439999999995,176.99366666666663,177.19259999999994,177.4741333333333,177.54173333333333
175 day,169.28811428571427,169.37817142857142,169.52228571428572,169.5352,169.5338857142857,169.53,169.50205714285715,169.44525714285714,169.49348571428573,169.52428571428572,169.5703428571429,169.67062857142858,169.768,169.8945142857143,170.0610285714286,170.2527428571429,170.47382857142858,170.88274285714286,171.33360000000002,171.59434285714286,171.83931428571432,172.7477142857143,172.91805714285715,173.31765714285712,173.49479999999997,173.80874285714282,174.43234285714286,174.63577142857145
2 day,174.33999999999997,174.435,168.115,164.8,161.04500000000002,159.98000000000002,158.9,156.875,163.565,164.895,163.905,168.21499999999997,174.27499999999998,177.01999999999998,180.245,184.16500000000002,187.095,185.29500000000002,188.335,192.61,194.29,187.235,186.715,191.215,189.75,184.70499999999998,182.76999999999998,184.63
2 hr,176.60643333333337,172.5665666666667,166.833875,163.04993333333334,159.6042833333333,161.7774916666667,157.70792500000002,158.90952499999995,164.86853333333335,163.64380833333325,164.90950000000004,172.35264166666676,175.7296416666667,177.83405833333336,181.77115833333343,185.45811666666668,188.15879999999984,186.01917500000002,189.7677,193.87502499999997,193.29779166666668,186.05187500000002,187.1921833333334,191.3058333333333,187.38814166666668,183.831175,183.59041666666673,185.69731666666672
2.5 hr,176.70920666666674,172.59631333333337,167.07845333333339,163.42820000000003,160.22983333333335,161.90865333333335,157.9510533333334,158.84750666666662,164.90465333333347,163.85747333333322,165.11917999999997,172.45062000000004,175.79854666666677,177.65438,181.69958000000005,185.27404666666664,187.95930666666655,186.09493333333333,189.6259466666667,193.81601333333325,193.45695333333336,186.0783066666667,187.03253999999998,191.2952933333333,187.37259333333336,184.07032666666663,183.57010000000005,185.67049333333344
20 day,171.3235,171.47899999999998,171.728,171.64400000000003,171.52349999999996,171.60049999999998,171.41299999999998,170.71099999999998,168.52200000000002,167.6865,166.64050000000003,166.37900000000002,166.191,166.49,166.916,167.55599999999998,168.1915,169.54699999999997,171.90050000000002,173.7025,175.3315,182.6515,183.7185,186.4495,187.2135,187.982,187.315,187.24349999999998
20 min,176.3145,173.42075,165.5357,163.51239999999999,158.3663,161.23579999999998,157.21105,160.5351,165.07959999999997,163.65069999999997,164.35029999999998,172.24095000000003,175.97410000000005,178.12449999999998,182.127,185.86864999999997,188.01299999999998,186.08389999999997,190.56919999999997,194.31754999999998,193.51045000000002,185.99165,187.1018,191.509,187.46425,182.76955000000004,183.93185,185.24485
200 day,169.14515,169.1821,169.18380000000002,169.13514999999995,169.08484999999993,169.04049999999995,168.96359999999996,168.76539999999997,168.59634999999997,168.53844999999998,168.50324999999998,168.50939999999994,168.53695,168.59740000000002,168.70425,168.80390000000003,168.94300000000004,169.18315,169.49315000000007,169.65605000000002,169.83715,170.5741,170.7024,170.99610000000004,171.11920000000006,171.37775000000005,171.87145000000004,172.01745000000005
