,2019-01-02
1 hr,2.9024000000000005
1 min,2.79
1.5 hr,2.8710000000000004
10 day,1.6130000000000002
10 min,2.88
100 day,1.8465392899999995
125 day,1.7564714319999994
15 min,2.8768
150 day,1.7460928599999992
175 day,1.7431081657142844
2 day,2.735
2 hr,2.870166666666668
2.5 hr,2.86416
20 day,1.7285
20 min,2.8733499999999994
200 day,1.9052211449999985
25 min,2.8702799999999997
3 hr,2.849183333333333
3.5 hr,2.846471428571429
30 day,1.7239999999999998
30 min,2.8751
4 hr,2.8379208333333326
4.5 hr,2.835992592592593
40 day,1.8935
45 min,2.890577777777779
5 day,1.966
5 hr,2.8312366666666664
5 min,2.8688000000000002
5.5 hr,2.819621212121212
50 day,2.1431999999999998
50 min,2.8922000000000008
55 min,2.897581818181819
6 hr,2.803097222222222
6.5 hr,2.793338461538461
60 day,2.329166666666666
70 day,2.1907414285714286
80 day,2.0253203625
90 day,1.923510322222222
Tomorrow,2.58
