,2018-12-17,2018-12-18,2018-12-20,2018-12-21,2018-12-26,2018-12-31,2019-02-07
1 hr,47.88716666666665,48.016050000000014,47.471899999999984,46.71296666666668,46.559200000000004,47.119666666666646,50.338383333333326
1 min,47.95,48.04,47.428,46.64,46.82,47.19,50.38
1.5 hr,47.927277777777775,48.030288888888904,47.46663333333333,46.75296666666667,46.48728888888892,47.10225555555554,50.336655555555524
10 day,48.45158000000001,48.16565000000001,47.76496000000001,47.57302,47.27166999999999,46.88546,50.647
10 min,47.875099999999996,48.0875,47.4088,46.68399999999999,46.72350000000001,47.1107,50.3665
100 day,51.33146599999999,51.26222300000001,51.11039099999999,51.02621699999999,50.868452,50.65924099999998,49.804138999999985
125 day,51.76743839999998,51.717544000000004,51.61200959999999,51.55687839999999,51.4520112,51.31157919999999,50.40436719999998
15 min,47.85173333333333,48.0904,47.41786666666666,46.6914,46.704466666666676,47.124599999999994,50.364133333333335
150 day,52.321767333333305,52.267788666666654,52.14938799999997,52.087219999999974,51.959096666666646,51.79621066666664,50.999452666666656
175 day,52.78460742857143,52.73817314285715,52.63974742857142,52.5862937142857,52.477642285714275,52.32522685714283,51.45313999999998
2 day,47.67295,47.4998,46.955650000000006,46.56485,46.28,47.165,50.685
2 hr,47.950900000000004,48.06705833333333,47.42016666666666,46.781258333333355,46.444933333333346,47.108308333333326,50.32858333333329
2.5 hr,47.97302666666667,48.08874,47.41990666666664,46.81323333333336,46.40138666666667,47.126980000000025,50.33557333333328
20 day,48.877990000000004,48.77015000000001,48.58959,48.449595,48.17575,47.778835,50.039
20 min,47.8446,48.079499999999996,47.43884999999999,46.67905,46.698100000000004,47.13589999999999,50.36475
200 day,53.080449000000016,53.04267200000003,52.95749400000002,52.910708000000014,52.81216850000001,52.68023550000001,51.951170999999974
25 min,47.84184000000001,48.07019999999999,47.46127999999999,46.66575999999999,46.68396000000001,47.137640000000005,50.35512
3 hr,48.00337222222223,48.108761111111086,47.42453333333328,46.822083333333346,46.35877777777779,47.14834444444449,50.33059999999997
3.5 hr,48.03324285714287,48.125447619047605,47.4321952380952,46.835100000000004,46.333714285714265,47.15505238095242,50.31957619047616
30 day,49.18832333333333,49.10521666666667,48.89646000000001,48.74277666666667,48.496230000000004,48.287686666666666,49.22699999999998
30 min,47.83963333333334,48.06013333333332,47.47453333333332,46.66636666666667,46.661300000000004,47.13783333333333,50.34943333333333
4 hr,48.07269166666665,48.134833333333326,47.4283333333333,46.85433750000002,46.31194166666664,47.156554166666716,50.310391666666646
4.5 hr,48.09932592592591,48.13065925925927,47.42512962962959,46.89339999999999,46.27706296296294,47.15237407407413,50.30214444444442
40 day,49.10801999999999,49.04816249999999,48.916825,48.8732925,48.7695125,48.66949749999999,48.763814999999994
45 min,47.861688888888885,48.034688888888894,47.48848888888887,46.67955555555557,46.60733333333333,47.125822222222205,50.343622222222216
5 day,48.07562,48.00834,47.35734000000001,47.02292,46.535000000000004,46.748000000000005,50.888
5 hr,48.128333333333316,48.12801333333335,47.4392133333333,46.91737999999998,46.228093333333305,47.14876000000006,50.311763333333325
5 min,47.9138,48.064,47.425599999999996,46.67699999999999,46.762,47.11899999999999,50.362
5.5 hr,48.138899999999985,48.13570000000002,47.45944242424239,46.947090909090896,46.18039393939391,47.15469393939398,50.336254545454516
50 day,49.41699999999999,49.327956,49.138392,49.055284,48.909732000000005,48.706841999999995,48.8565
50 min,47.87297999999999,48.02906000000001,47.48701999999999,46.688960000000016,46.59122,47.121179999999974,50.34063999999999
55 min,47.88083636363635,48.02245454545455,47.478327272727256,46.70147272727274,46.57534545454547,47.12032727272725,50.338509090909085
6 hr,48.145502777777764,48.14420277777781,47.481344444444424,46.97520833333333,46.14324999999996,47.16782222222228,50.35430277777775
6.5 hr,48.153928205128175,48.15147948717951,47.49570256410253,46.99189743589743,46.125412820512764,47.181902564102636,50.36715641025637
60 day,50.086123333333326,49.9804,49.755895,49.6281,49.383465,49.074886666666664,48.909548333333326
70 day,50.43004571428571,50.37036857142857,50.23180428571429,50.148404285714285,49.97070428571429,49.71993285714286,48.984332857142846
80 day,50.780041250000004,50.71317875000001,50.54406250000001,50.446967500000014,50.25702125000001,50.04461,49.07009874999999
90 day,51.00412666666664,50.93200333333334,50.80224333333332,50.73015666666666,50.60332333333334,50.412982222222226,49.40448888888887
Tomorrow,47.5295,46.9853,46.2037,45.72,46.85,47.13,50.16
