,2018-12-12,2018-12-13,2018-12-18,2018-12-20,2018-12-21,2018-12-26,2018-12-31,2019-01-03,2019-01-04,2019-01-08,2019-01-09,2019-01-10,2019-01-11,2019-01-14,2019-01-15,2019-01-17,2019-01-18,2019-01-22,2019-01-23,2019-01-24,2019-01-25,2019-01-29,2019-01-31,2019-02-05,2019-02-06,2019-02-07,2019-02-08,2019-02-12,2019-02-13,2019-02-15
1 hr,65.09408333333334,63.434100000000015,60.54091666666666,55.15626666666666,55.48008333333334,59.469266666666684,58.18505000000002,55.82569999999999,61.02756666666665,59.077116666666676,60.85761666666667,59.3432,57.16538333333334,54.27073333333332,54.67713333333333,58.227416666666656,60.910900000000034,52.41855000000002,51.94825,54.40770000000001,58.325633333333336,57.58585,60.629300000000015,62.183533333333344,62.19721666666666,59.84576666666668,61.191483333333345,65.36491666666669,66.76338333333335,64.19300000000003
1 min,64.72,63.76,60.57,55.38,55.46,60.08,58.43,56.03,61.12,59.07,60.56,59.59,57.13,54.23,54.67,58.23,60.8,52.49,52.26,54.39,58.19,57.64,60.63,62.15,62.38,60.06,61.02,65.32,66.1,64.28
1.5 hr,65.05477777777779,63.395977777777766,60.571799999999975,55.171744444444435,55.691866666666655,59.10734444444446,58.235422222222255,56.02862222222224,60.94883333333329,59.22180000000004,60.857933333333335,59.19976666666667,57.3306,54.351322222222215,54.63915555555555,58.297133333333335,60.954788888888935,52.53565555555557,51.85456666666668,54.38070000000001,58.276799999999994,57.47092222222224,60.72943333333335,62.15528888888888,62.17705555555556,59.87006666666668,61.19781111111112,65.26875555555556,66.92273333333333,64.26007777777777
10 day,63.07000000000001,63.246,62.82900000000001,61.23700000000001,60.620000000000005,59.802,58.11099999999999,57.463,57.949,59.03700000000001,59.46900000000001,59.42100000000001,59.247,58.785000000000004,58.407999999999994,58.464,58.42100000000001,57.409000000000006,56.721000000000004,56.09400000000001,55.95400000000001,56.419000000000004,57.185,58.513999999999996,59.529999999999994,60.1,60.38399999999999,61.54699999999999,62.274,63.099000000000004
10 min,64.8303,63.638,60.7735,55.2198,55.2285,59.93429999999999,58.178,55.80930000000001,61.423,58.919399999999996,60.71319999999999,59.427,57.0397,54.0203,54.55899999999999,58.169,60.730500000000006,52.282500000000006,52.13099999999999,54.30499999999999,58.198699999999995,57.702,60.714999999999996,62.170500000000004,62.24649999999999,59.90990000000001,61.11710000000001,65.3808,66.239,64.123
100 day,69.1969,68.9508,68.15039999999999,67.57639999999999,67.3034,66.84769999999999,66.13539999999999,65.68239999999999,65.48919999999998,65.18199999999997,65.06049999999998,64.91679999999998,64.73899999999999,64.51359999999998,64.27869999999999,63.86049999999997,63.68279999999998,63.40019999999997,63.12119999999996,62.86629999999997,62.68379999999998,62.31619999999998,62.06619999999998,61.79079999999999,61.72119999999998,61.588399999999986,61.470099999999974,61.301699999999975,61.204299999999975,60.951399999999985
125 day,73.92616,73.55871999999998,72.54487999999999,71.86432,71.56144,71.05728000000002,70.34024000000002,69.85072000000001,69.61704,69.14072000000002,68.91687999999999,68.6684,68.4,68.11160000000001,67.82296000000001,67.33408,67.11568,66.82887999999998,66.54031999999998,66.25751999999997,66.01903999999998,65.59375999999997,65.23248,64.76007999999999,64.59119999999999,64.43103999999998,64.27831999999998,64.04015999999997,63.964799999999975,63.829279999999976
15 min,64.89286666666666,63.6056,60.8394,55.1956,55.219199999999994,59.92633333333333,58.138,55.777533333333345,61.4334,58.97533333333333,60.733999999999995,59.40833333333333,57.02713333333334,54.099533333333326,54.575333333333326,58.180933333333336,60.75766666666667,52.26673333333335,52.118666666666655,54.32000000000001,58.233200000000004,57.710666666666675,60.66873333333333,62.192666666666675,62.231,59.88526666666667,61.16406666666667,65.41120000000001,66.33666666666667,64.15533333333335
150 day,79.05706666666666,78.73046666666666,77.839,77.21306666666669,76.90526666666668,76.32046666666668,75.43833333333336,74.8412666666667,74.57006666666669,73.99700000000003,73.69333333333334,73.38946666666669,73.06893333333335,72.72013333333335,72.39226666666669,71.74033333333334,71.40360000000001,71.02246666666667,70.65506666666667,70.34306666666666,70.03633333333333,69.49746666666665,69.05733333333333,68.53066666666668,68.3526,68.1662,67.98593333333332,67.62733333333333,67.46659999999999,67.13686666666665
175 day,84.48765714285712,84.18834285714284,83.22628571428571,82.45628571428571,82.12068571428571,81.43188571428573,80.40525714285717,79.73571428571431,79.4634285714286,78.88188571428573,78.574,78.25451428571431,77.91617142857145,77.56485714285715,77.21845714285715,76.44200000000001,76.16188571428572,75.81771428571429,75.50274285714285,75.19742857142857,74.93251428571429,74.42022857142858,73.94302857142857,73.2361142857143,73.00634285714285,72.76554285714288,72.52994285714286,72.08657142857143,71.86828571428572,71.40228571428571
