,2018-12-11,2018-12-12,2018-12-13,2018-12-14,2018-12-17,2018-12-18,2018-12-19,2018-12-20,2018-12-21,2018-12-26,2018-12-31,2019-01-02,2019-01-03,2019-01-04,2019-01-07,2019-01-08,2019-01-09,2019-01-10,2019-01-11,2019-01-14,2019-01-15,2019-01-16,2019-01-17,2019-01-18,2019-01-22,2019-01-23,2019-01-24,2019-01-25,2019-01-28,2019-01-29,2019-01-30,2019-01-31,2019-02-01,2019-02-05,2019-02-06,2019-02-07,2019-02-08,2019-02-11,2019-02-12,2019-02-13,2019-02-14,2019-02-15
1 hr,81.93953333333333,82.6266,82.30461666666669,78.77773333333334,76.29834999999997,75.65119999999997,73.13381666666665,69.77458333333333,67.43135,66.95478333333334,68.1549666666667,67.75871666666667,67.55058333333335,69.51028333333332,70.04763333333335,71.46173333333331,72.34076666666668,72.4411166666667,71.61711666666666,70.64431666666668,71.72840000000001,72.12973333333333,71.97623333333331,72.44571666666666,71.41366666666667,71.83670000000002,71.24838333333334,71.9481666666667,71.54164999999999,71.52150000000002,71.81611666666667,71.88931666666667,71.83976666666668,71.29356666666665,71.54536666666667,71.00791666666667,70.03545,70.46354999999998,71.6249833333333,72.56280000000002,72.26400000000002,73.42221666666664
1 min,81.81,82.43,82.32,78.74,76.07,75.47,73.34,69.62,67.26,67.79,68.37,68.04,67.3,69.56,69.96,71.38,72.23,72.46,71.71,70.67,71.79,71.98,72.0,72.42,71.6,71.71,71.3,71.88,71.58,71.5,71.6,72.26,71.88,71.32,71.46,71.2,70.12,70.48,71.56,72.42,72.11,73.44
1.5 hr,81.88315555555552,82.56638888888887,82.23700000000001,78.7673777777778,76.51596666666663,75.75646666666665,73.47634444444445,69.7697111111111,67.4512111111111,66.81014444444448,68.1479777777778,67.85106666666667,67.6128777777778,69.57362222222226,70.02223333333335,71.35787777777777,72.34563333333335,72.38863333333339,71.57885555555555,70.6472111111111,71.6816888888889,72.14711111111109,71.97526666666666,72.46784444444441,71.39366666666668,71.78875555555558,71.191,71.96843333333334,71.52455555555555,71.48823333333335,71.83072222222222,71.88943333333333,71.86447777777781,71.27282222222222,71.50408888888886,70.97163333333333,70.03988888888888,70.42559999999999,71.63792222222217,72.56944444444446,72.28683333333336,73.44204444444442
10 day,82.82277000000002,82.71543000000001,82.48484,81.87756,81.0377,80.02291000000001,79.07570000000001,77.7508,76.36626000000001,73.38547,69.53301000000002,68.71998,67.90993,67.54019000000001,67.57597000000001,67.98447,68.67724,69.15035,69.48332,69.74174000000001,70.08564000000001,70.47923,70.94239999999999,71.22666000000001,71.38768000000002,71.42148,71.33103000000001,71.27239,71.25947000000001,71.34394999999999,71.32606,71.3519,71.34096,71.21672,71.19286000000001,71.18093999999999,71.00501,70.89468,70.90065,70.98215,71.01105,71.20972
10 min,81.83340000000001,82.531,82.248,78.65880000000001,76.115,75.645,73.46700000000001,69.44,67.22650000000002,67.47900000000001,68.037,67.863,67.4345,69.44349999999999,70.02149999999999,71.45270000000001,72.12050000000002,72.46950000000001,71.65650000000001,70.559,71.7295,72.0475,71.9634,72.2655,71.412,71.77300000000001,71.2602,71.8733,71.45100000000001,71.494,71.672,72.13999999999999,71.81149999999998,71.277,71.511,71.1335,70.01650000000001,70.4761,71.538,72.425,72.162,73.428
100 day,73.07840699999998,73.25947599999996,73.43581499999996,73.57490299999996,73.67725399999996,73.76399799999997,73.81816899999995,73.83065499999996,73.83491199999999,73.845998,73.899684,73.922795,73.941992,73.98031,74.02270100000001,74.05759200000001,74.10034300000001,74.136836,74.157669,74.16796600000002,74.18702400000002,74.21419900000002,74.24483400000003,74.28053400000002,74.30561100000003,74.33346300000002,74.36356700000002,74.40783900000002,74.44151700000002,74.48369100000002,74.52083000000002,74.56650500000002,74.60682100000002,74.66614700000002,74.68073800000003,74.69165800000003,74.69382000000003,74.69778000000002,74.70832400000003,74.72356000000002,74.72408000000001,74.73671200000001
125 day,71.1286352,71.27435439999999,71.41181119999999,71.53376879999999,71.6320744,71.6978544,71.74787119999998,71.77004079999999,71.7764328,71.78993839999998,71.99670079999996,72.06021999999999,72.10536239999999,72.16108559999998,72.21660959999998,72.28743119999999,72.361476,72.43577999999998,72.49382319999998,72.5435168,72.59858160000002,72.65115039999999,72.71330640000002,72.778568,72.83432080000003,72.8896928,72.93261120000003,72.97346080000001,73.00320080000002,73.02821760000002,73.06621200000004,73.11864800000004,73.16381840000004,73.24094480000002,73.28230560000003,73.32592080000003,73.36346240000002,73.40127280000002,73.44782880000001,73.48417040000001,73.52092160000002,73.56123840000002
15 min,81.84393333333334,82.56233333333333,82.28933333333335,78.62153333333336,76.0632,75.68653333333332,73.426,69.43820000000001,67.23300000000002,67.3944,68.09753333333333,67.83466666666666,67.489,69.4258,70.05133333333333,71.48913333333333,72.13173333333334,72.47633333333334,71.65093333333334,70.57233333333333,71.74733333333333,72.07433333333333,71.97193333333333,72.30426666666668,71.42766666666667,71.79533333333335,71.26493333333333,71.89753333333334,71.48026666666667,71.49700000000001,71.69733333333333,72.11239999999998,71.81946666666664,71.28899999999999,71.5252,71.13699999999999,70.01366666666668,70.4874,71.54733333333334,72.43466666666667,72.20193333333333,73.47066666666665
150 day,69.70857800000002,69.84515866666668,69.97528133333333,70.07986000000001,70.16116600000001,70.24075866666668,70.29848466666667,70.32756866666666,70.35188733333334,70.38999199999999,70.49677266666664,70.53699999999999,70.567022,70.61941733333333,70.67138466666667,70.72974733333334,70.796494,70.86319466666666,70.92184599999999,70.97478333333335,71.03095200000003,71.09087000000001,71.14934666666669,71.20445133333335,71.24790000000003,71.30294933333334,71.35240200000003,71.38343066666668,71.4137806666667,71.44477866666669,71.47892933333337,71.52177466666669,71.56413200000003,71.72614600000001,71.79938266666669,71.87325400000003,71.92935933333334,71.98175866666666,72.03856466666667,72.10460666666667,72.16843600000001,72.23962466666667
175 day,68.76329714285714,68.86602742857141,68.97287428571427,69.06597199999999,69.14821657142856,69.22118114285715,69.27975428571428,69.31781714285715,69.34376057142859,69.36151485714286,69.43383999999999,69.45986171428572,69.47961942857144,69.50679885714287,69.5318422857143,69.56277314285717,69.60227085714288,69.64893485714288,69.70110114285715,69.75516914285717,69.80689714285718,69.8682422857143,69.92919600000003,69.9894125714286,70.04000457142861,70.08971600000002,70.13157657142861,70.17940914285717,70.2191765714286,70.25484000000003,70.30039085714289,70.34873485714289,70.39643600000004,70.49261600000003,70.54191828571432,70.59434628571431,70.63592514285716,70.68594685714288,70.73952114285716,70.79556685714287,70.85460000000002,70.91971657142858
